date,SBET_Open,SBET_High,SBET_Low,SBET_Close,SBET_Volume,SBET_Dividends,SBET_Stock Splits
1997-05-21 00:00:00+00:00,300.0,330.0,290.0,310.0,32108,,
1997-05-22 00:00:00+00:00,315.0,330.0,300.0,315.0,6493,,
1997-05-23 00:00:00+00:00,300.0,340.0,300.0,320.0,5108,,
1997-05-27 00:00:00+00:00,320.0,335.0,310.0,330.0,2798,,
1997-05-28 00:00:00+00:00,315.0,355.0,315.0,350.0,2925,,
1997-05-29 00:00:00+00:00,355.0,370.0,340.0,355.0,3165,,
1997-05-30 00:00:00+00:00,345.0,365.0,340.0,340.0,1678,,
1997-06-02 00:00:00+00:00,340.0,355.0,330.0,350.0,1323,,
1997-06-03 00:00:00+00:00,335.0,345.0,335.0,335.0,938,,
1997-06-04 00:00:00+00:00,335.0,345.0,325.0,325.0,783,,
1997-06-05 00:00:00+00:00,325.0,335.0,300.0,317.5,1503,,
1997-06-06 00:00:00+00:00,315.0,330.0,305.0,320.0,1065,,
1997-06-09 00:00:00+00:00,320.0,335.0,320.0,335.0,435,,
1997-06-10 00:00:00+00:00,335.0,335.0,315.0,325.0,955,,
1997-06-11 00:00:00+00:00,315.0,330.0,315.0,330.0,283,,
1997-06-12 00:00:00+00:00,320.0,325.0,310.0,312.5,868,,
1997-06-13 00:00:00+00:00,315.0,325.0,305.0,317.5,1373,,
1997-06-16 00:00:00+00:00,325.0,345.0,310.0,340.0,898,,
1997-06-17 00:00:00+00:00,355.0,355.0,325.0,325.0,983,,
1997-06-18 00:00:00+00:00,335.0,355.0,325.0,340.0,1765,,
1997-06-19 00:00:00+00:00,350.0,370.0,340.0,360.0,1728,,
1997-06-20 00:00:00+00:00,350.0,360.0,340.0,340.0,133,,
1997-06-23 00:00:00+00:00,340.0,345.0,330.0,330.0,285,,
1997-06-24 00:00:00+00:00,335.0,345.0,325.0,345.0,330,,
1997-06-25 00:00:00+00:00,350.0,350.0,335.0,345.0,1330,,
1997-06-26 00:00:00+00:00,335.0,335.0,315.0,322.5,248,,
1997-06-27 00:00:00+00:00,310.0,330.0,310.0,330.0,250,,
1997-06-30 00:00:00+00:00,310.0,330.0,310.0,325.0,135,,
1997-07-01 00:00:00+00:00,330.0,335.0,310.0,335.0,270,,
1997-07-02 00:00:00+00:00,340.0,340.0,310.0,310.0,95,,
1997-07-03 00:00:00+00:00,335.0,335.0,311.25,322.5,45,,
1997-07-07 00:00:00+00:00,320.0,340.0,315.0,340.0,163,,
1997-07-08 00:00:00+00:00,322.5,335.0,315.0,330.0,125,,
1997-07-09 00:00:00+00:00,320.0,335.0,310.0,310.0,168,,
1997-07-10 00:00:00+00:00,305.0,325.0,305.0,310.0,118,,
1997-07-11 00:00:00+00:00,320.0,320.0,305.0,320.0,168,,
1997-07-14 00:00:00+00:00,320.0,340.0,300.0,315.0,350,,
1997-07-15 00:00:00+00:00,315.0,325.0,310.0,320.0,1363,,
1997-07-16 00:00:00+00:00,310.0,330.0,310.0,315.0,863,,
1997-07-17 00:00:00+00:00,330.0,330.0,300.0,300.0,363,,
1997-07-18 00:00:00+00:00,310.0,310.0,300.0,300.0,290,,
1997-07-21 00:00:00+00:00,315.0,315.0,310.0,310.0,85,,
1997-07-22 00:00:00+00:00,325.0,325.0,300.0,300.0,190,,
1997-07-23 00:00:00+00:00,315.0,315.0,295.0,297.5,438,,
1997-07-24 00:00:00+00:00,305.0,320.0,295.0,300.0,1488,,
1997-07-25 00:00:00+00:00,300.0,320.0,300.0,300.0,750,,
1997-07-28 00:00:00+00:00,315.0,315.0,300.0,305.0,478,,
1997-07-29 00:00:00+00:00,300.0,300.0,300.0,300.0,70,,
1997-07-30 00:00:00+00:00,300.0,315.0,300.0,315.0,300,,
1997-07-31 00:00:00+00:00,315.0,315.0,315.0,315.0,0,,
1997-08-01 00:00:00+00:00,300.0,315.0,290.0,310.0,305,,
1997-08-04 00:00:00+00:00,300.0,300.0,300.0,300.0,150,,
1997-08-05 00:00:00+00:00,300.0,300.0,295.0,300.0,463,,
1997-08-06 00:00:00+00:00,300.0,310.0,290.0,300.0,373,,
1997-08-07 00:00:00+00:00,310.0,335.0,310.0,335.0,2593,,
1997-08-08 00:00:00+00:00,340.0,340.0,320.0,320.0,88,,
1997-08-11 00:00:00+00:00,315.0,315.0,315.0,315.0,85,,
1997-08-12 00:00:00+00:00,315.0,325.0,300.0,300.0,95,,
1997-08-13 00:00:00+00:00,305.0,320.0,300.0,315.0,225,,
1997-08-14 00:00:00+00:00,325.0,327.5,315.0,320.0,98,,
1997-08-15 00:00:00+00:00,315.0,316.25,305.0,305.0,228,,
1997-08-18 00:00:00+00:00,300.0,300.0,300.0,300.0,20,,
1997-08-19 00:00:00+00:00,300.0,310.0,295.0,310.0,458,,
1997-08-20 00:00:00+00:00,300.0,320.0,300.0,300.0,155,,
1997-08-21 00:00:00+00:00,300.0,300.0,300.0,300.0,200,,
1997-08-22 00:00:00+00:00,305.0,315.0,300.0,310.0,285,,
1997-08-25 00:00:00+00:00,300.0,300.0,300.0,300.0,23,,
1997-08-26 00:00:00+00:00,300.0,320.0,300.0,305.0,205,,
1997-08-27 00:00:00+00:00,300.0,305.0,300.0,305.0,53,,
1997-08-28 00:00:00+00:00,317.5,317.5,300.0,300.0,83,,
1997-08-29 00:00:00+00:00,295.0,315.0,290.0,310.0,368,,
1997-09-02 00:00:00+00:00,300.0,310.0,300.0,305.0,1255,,
1997-09-03 00:00:00+00:00,295.0,295.0,280.0,295.0,1325,,
1997-09-04 00:00:00+00:00,290.0,310.0,290.0,305.0,5493,,
1997-09-05 00:00:00+00:00,315.0,320.0,300.0,310.0,138,,
1997-09-08 00:00:00+00:00,305.0,315.0,305.0,315.0,25,,
1997-09-09 00:00:00+00:00,315.0,315.0,315.0,315.0,140,,
1997-09-10 00:00:00+00:00,320.0,325.0,320.0,320.0,60,,
1997-09-11 00:00:00+00:00,320.0,320.0,305.0,305.0,170,,
1997-09-12 00:00:00+00:00,315.0,315.0,315.0,315.0,40,,
1997-09-15 00:00:00+00:00,315.0,325.0,310.0,325.0,660,,
1997-09-16 00:00:00+00:00,330.0,335.0,315.0,315.0,270,,
1997-09-17 00:00:00+00:00,315.0,325.0,310.0,320.0,205,,
1997-09-18 00:00:00+00:00,320.0,320.0,305.0,305.0,435,,
1997-09-19 00:00:00+00:00,315.0,315.0,305.0,315.0,90,,
1997-09-22 00:00:00+00:00,305.0,305.0,305.0,305.0,28,,
1997-09-23 00:00:00+00:00,300.0,315.0,295.0,315.0,175,,
1997-09-24 00:00:00+00:00,315.0,315.0,315.0,315.0,38,,
1997-09-25 00:00:00+00:00,315.0,315.0,305.0,305.0,38,,
1997-09-26 00:00:00+00:00,315.0,315.0,315.0,315.0,15,,
1997-09-29 00:00:00+00:00,315.0,315.0,315.0,315.0,0,,
1997-09-30 00:00:00+00:00,315.0,315.0,315.0,315.0,0,,
1997-10-01 00:00:00+00:00,295.0,300.0,290.0,290.0,128,,
1997-10-02 00:00:00+00:00,290.0,290.0,290.0,290.0,8,,
1997-10-03 00:00:00+00:00,295.0,310.0,295.0,310.0,38,,
1997-10-06 00:00:00+00:00,295.0,295.0,287.5,287.5,93,,
1997-10-07 00:00:00+00:00,292.5,295.0,285.0,295.0,193,,
1997-10-08 00:00:00+00:00,290.0,310.0,290.0,310.0,363,,
1997-10-09 00:00:00+00:00,310.0,310.0,310.0,310.0,50,,
1997-10-10 00:00:00+00:00,310.0,310.0,310.0,310.0,0,,
1997-10-13 00:00:00+00:00,285.0,285.0,285.0,285.0,88,,
1997-10-14 00:00:00+00:00,295.0,295.0,285.0,285.0,183,,
1997-10-15 00:00:00+00:00,305.0,305.0,295.0,295.0,88,,
1997-10-16 00:00:00+00:00,305.0,305.0,285.0,305.0,163,,
1997-10-17 00:00:00+00:00,305.0,305.0,280.0,280.0,170,,
1997-10-20 00:00:00+00:00,270.0,280.0,270.0,270.0,73,,
1997-10-21 00:00:00+00:00,275.0,280.0,275.0,280.0,255,,
1997-10-22 00:00:00+00:00,270.0,290.0,270.0,290.0,140,,
1997-10-23 00:00:00+00:00,295.0,295.0,280.0,292.5,198,,
1997-10-24 00:00:00+00:00,280.0,280.0,280.0,280.0,130,,
1997-10-27 00:00:00+00:00,270.0,270.0,270.0,270.0,45,,
1997-10-28 00:00:00+00:00,255.0,280.0,225.0,280.0,593,,
1997-10-29 00:00:00+00:00,275.0,275.0,262.5,270.0,285,,
1997-10-30 00:00:00+00:00,250.0,250.0,230.0,230.0,205,,
1997-10-31 00:00:00+00:00,240.0,240.0,220.0,220.0,100,,
1997-11-03 00:00:00+00:00,220.0,220.0,220.0,220.0,0,,
1997-11-04 00:00:00+00:00,220.0,230.0,205.0,230.0,403,,
1997-11-05 00:00:00+00:00,230.0,230.0,230.0,230.0,0,,
1997-11-06 00:00:00+00:00,210.0,210.0,210.0,210.0,25,,
1997-11-07 00:00:00+00:00,210.0,210.0,210.0,210.0,165,,
1997-11-10 00:00:00+00:00,235.0,250.0,230.0,250.0,503,,
1997-11-11 00:00:00+00:00,250.0,255.0,240.0,240.0,270,,
1997-11-12 00:00:00+00:00,240.0,250.0,220.0,225.0,693,,
1997-11-13 00:00:00+00:00,220.0,220.0,205.0,205.0,245,,
1997-11-14 00:00:00+00:00,205.0,205.0,195.0,195.0,300,,
1997-11-17 00:00:00+00:00,195.0,200.0,180.0,200.0,235,,
1997-11-18 00:00:00+00:00,190.0,200.0,180.0,180.0,760,,
1997-11-19 00:00:00+00:00,175.0,175.0,130.0,160.0,1248,,
1997-11-20 00:00:00+00:00,155.0,155.0,120.0,130.0,1593,,
1997-11-21 00:00:00+00:00,140.0,140.0,130.0,135.0,350,,
1997-11-24 00:00:00+00:00,140.0,140.0,115.0,135.0,305,,
1997-11-25 00:00:00+00:00,125.0,145.0,125.0,130.0,275,,
1997-11-26 00:00:00+00:00,130.0,130.0,130.0,130.0,23,,
1997-11-28 00:00:00+00:00,130.0,130.0,130.0,130.0,25,,
1997-12-01 00:00:00+00:00,135.0,140.0,130.0,140.0,123,,
1997-12-02 00:00:00+00:00,130.0,140.0,120.0,140.0,65,,
1997-12-03 00:00:00+00:00,140.0,140.0,140.0,140.0,0,,
1997-12-04 00:00:00+00:00,125.0,135.0,125.0,130.0,43,,
1997-12-05 00:00:00+00:00,125.0,140.0,125.0,127.5,475,,
1997-12-08 00:00:00+00:00,135.0,135.0,120.0,120.0,375,,
1997-12-09 00:00:00+00:00,120.0,130.0,120.0,125.0,363,,
1997-12-10 00:00:00+00:00,115.0,130.0,110.0,130.0,2355,,
1997-12-11 00:00:00+00:00,120.0,130.0,110.0,130.0,195,,
1997-12-12 00:00:00+00:00,130.0,137.5,115.0,137.5,498,,
1997-12-15 00:00:00+00:00,142.5,160.0,130.0,130.0,360,,
1997-12-16 00:00:00+00:00,135.0,135.0,130.0,130.0,23,,
1997-12-17 00:00:00+00:00,150.0,150.0,150.0,150.0,63,,
1997-12-18 00:00:00+00:00,130.0,155.0,125.0,155.0,130,,
1997-12-19 00:00:00+00:00,155.0,160.0,150.0,160.0,53,,
1997-12-22 00:00:00+00:00,160.0,160.0,140.0,140.0,713,,
1997-12-23 00:00:00+00:00,160.0,160.0,150.0,160.0,263,,
1997-12-24 00:00:00+00:00,145.0,145.0,135.0,140.0,53,,
1997-12-26 00:00:00+00:00,132.5,132.5,130.0,130.0,30,,
1997-12-29 00:00:00+00:00,130.0,150.0,130.0,130.0,93,,
1997-12-30 00:00:00+00:00,130.0,155.0,120.0,150.0,618,,
1997-12-31 00:00:00+00:00,140.0,180.0,135.0,180.0,1165,,
1998-01-02 00:00:00+00:00,180.0,180.0,160.0,175.0,53,,
1998-01-05 00:00:00+00:00,160.0,160.0,160.0,160.0,13,,
