date,CMS-PB_Open,CMS-PB_High,CMS-PB_Low,CMS-PB_Close,CMS-PB_Volume,CMS-PB_Dividends,CMS-PB_Stock Splits
1973-02-21 00:00:00+00:00,62.0,62.0,62.0,7.241700649261475,300.0,0.0,
1973-02-22 00:00:00+00:00,62.0,62.0,62.0,7.241700649261475,100.0,0.0,
1973-02-23 00:00:00+00:00,61.5,61.5,61.5,7.183295726776123,100.0,0.0,
1973-02-26 00:00:00+00:00,61.0,61.0,61.0,7.12489652633667,300.0,0.0,
1973-02-27 00:00:00+00:00,60.5,60.5,60.5,7.066495418548584,400.0,0.0,
1973-02-28 00:00:00+00:00,60.25,60.25,60.25,7.037294864654541,200.0,0.0,
1973-03-02 00:00:00+00:00,60.0,60.0,60.0,7.008096694946289,100.0,0.0,
1973-03-06 00:00:00+00:00,60.0,60.0,60.0,7.008096694946289,100.0,0.0,
1973-03-07 00:00:00+00:00,60.0,60.0,60.0,7.008096694946289,100.0,0.0,
1973-03-08 00:00:00+00:00,60.5,60.5,60.5,7.066495418548584,200.0,0.0,
1973-03-09 00:00:00+00:00,62.0,62.0,62.0,7.241700649261475,400.0,0.0,
1973-03-13 00:00:00+00:00,62.0,62.0,62.0,7.241700649261475,100.0,0.0,
1973-03-14 00:00:00+00:00,60.5,60.5,60.5,7.066495418548584,500.0,0.0,
1973-03-15 00:00:00+00:00,60.125,60.125,60.125,7.022697448730469,100.0,0.0,
1973-03-16 00:00:00+00:00,60.0,60.0,60.0,7.008096694946289,200.0,0.0,
1973-03-19 00:00:00+00:00,60.0,60.0,60.0,7.008096694946289,200.0,0.0,
1973-03-20 00:00:00+00:00,61.5,61.5,61.5,7.183295726776123,200.0,0.0,
1973-03-21 00:00:00+00:00,60.0,60.0,60.0,7.008096694946289,300.0,0.0,
1973-03-23 00:00:00+00:00,61.0,61.0,61.0,7.12489652633667,200.0,0.0,
1973-03-27 00:00:00+00:00,60.0,60.0,60.0,7.008096694946289,300.0,0.0,
1973-03-28 00:00:00+00:00,60.0,60.0,60.0,7.008096694946289,100.0,0.0,
