date,NRP_Open,NRP_High,NRP_Low,NRP_Close,NRP_Volume,NRP_Dividends,NRP_Stock Splits
2002-10-11 00:00:00+00:00,100.0,100.0500030517578,95.0,18.201290130615234,421880,0.0,
2002-10-14 00:00:00+00:00,97.0,98.6999969482422,96.75,18.3889274597168,19500,0.0,
2002-10-15 00:00:00+00:00,98.0,99.4000015258789,97.75,18.34201431274414,13780,0.0,
2002-10-16 00:00:00+00:00,91.75,95.5,91.75,17.87291145324707,33200,0.0,
2002-10-17 00:00:00+00:00,96.0,96.25,93.75,17.95734405517578,15420,0.0,
2002-10-18 00:00:00+00:00,96.0,97.75,95.5,18.295106887817383,8880,0.0,
2002-10-21 00:00:00+00:00,97.5,97.5,96.0500030517578,18.10746192932129,6060,0.0,
2002-10-22 00:00:00+00:00,96.5,96.5,94.5,17.87291145324707,7700,0.0,
2002-10-23 00:00:00+00:00,95.5,96.0,94.75,17.87291145324707,3500,0.0,
2002-10-24 00:00:00+00:00,95.5,95.75,94.75,17.816617965698242,4200,0.0,
2002-10-25 00:00:00+00:00,95.4499969482422,95.4499969482422,94.5999984741211,17.779090881347656,6980,0.0,
2002-10-28 00:00:00+00:00,94.9499969482422,95.0,93.25,17.675888061523438,10740,0.0,
2002-10-29 00:00:00+00:00,94.1999969482422,95.0,92.75,17.732179641723633,9760,0.0,
2002-10-30 00:00:00+00:00,94.75,96.25,94.5999984741211,17.91043472290039,11840,0.0,
2002-10-31 00:00:00+00:00,95.4499969482422,97.0,95.4499969482422,18.191904067993164,9420,0.0,
2002-11-01 00:00:00+00:00,97.0,97.5,96.5,18.28572654724121,5920,0.0,
2002-11-04 00:00:00+00:00,97.25,98.0,96.5,18.1262321472168,6040,0.0,
2002-11-05 00:00:00+00:00,96.5,97.1500015258789,95.0,17.825998306274414,3860,0.0,
2002-11-06 00:00:00+00:00,95.0,95.25,94.25,17.694656372070312,2860,0.0,
2002-11-07 00:00:00+00:00,94.25,96.75,94.25,18.154373168945312,6140,0.0,
2002-11-08 00:00:00+00:00,97.0,97.0999984741211,95.5999984741211,17.938579559326172,5060,0.0,
2002-11-11 00:00:00+00:00,96.0999984741211,96.8000030517578,94.5,17.854148864746094,5420,0.0,
2002-11-12 00:00:00+00:00,94.75,96.75,94.4000015258789,17.919818878173828,12560,0.0,
2002-11-13 00:00:00+00:00,95.75,97.0,95.5,18.18251609802246,3680,0.0,
2002-11-14 00:00:00+00:00,97.25,97.5,96.5,18.201290130615234,5380,0.0,
2002-11-15 00:00:00+00:00,97.0,97.5,96.25,18.23880958557129,6040,0.0,
2002-11-18 00:00:00+00:00,97.1999969482422,99.25,97.1999969482422,18.34201431274414,8220,0.0,
2002-11-19 00:00:00+00:00,98.0,99.0,97.5,18.435834884643555,4660,0.0,
2002-11-20 00:00:00+00:00,98.25,99.5,97.5,18.576566696166992,5060,0.0,
2002-11-21 00:00:00+00:00,98.0,99.25,98.0,18.62348747253418,6820,0.0,
2002-11-22 00:00:00+00:00,97.0,99.0,97.0,18.482755661010746,6900,0.0,
2002-11-25 00:00:00+00:00,97.0,97.75,95.25,17.919818878173828,11040,0.0,
2002-11-26 00:00:00+00:00,96.25,97.5,95.6999969482422,18.295106887817383,8740,0.0,
2002-11-27 00:00:00+00:00,97.5,98.9000015258789,96.75,18.295106887817383,8960,0.0,
2002-11-29 00:00:00+00:00,98.75,98.75,98.1500015258789,18.41708374023437,820,0.0,
2002-12-02 00:00:00+00:00,98.9000015258789,98.9000015258789,97.25,18.445215225219727,8620,0.0,
2002-12-03 00:00:00+00:00,98.8000030517578,98.8000030517578,97.5,18.34201431274414,4800,0.0,
2002-12-04 00:00:00+00:00,97.5,98.1500015258789,97.25,18.3889274597168,6520,0.0,
2002-12-05 00:00:00+00:00,98.5,98.5,96.75,18.248191833496094,5660,0.0,
2002-12-06 00:00:00+00:00,97.0,98.0,96.75,18.34201431274414,1880,0.0,
2002-12-09 00:00:00+00:00,98.0,98.25,97.5,18.379549026489254,3760,0.0,
2002-12-10 00:00:00+00:00,98.1500015258789,99.25,97.75,18.445215225219727,6940,0.0,
2002-12-11 00:00:00+00:00,98.75,99.0,98.0,18.482755661010746,3740,0.0,
2002-12-12 00:00:00+00:00,98.5,99.1999969482422,98.5,18.576566696166992,3280,0.0,
2002-12-13 00:00:00+00:00,99.25,99.75,98.9000015258789,18.65162849426269,8200,0.0,
