date,DHIL_Open,DHIL_High,DHIL_Low,DHIL_Close,DHIL_Volume,DHIL_Dividends,DHIL_Stock Splits
1996-06-06 00:00:00+00:00,7.5,7.5,7.5,2.3031492233276367,300,0.0,
1996-06-07 00:00:00+00:00,7.5,8.75,7.5,2.687007188796997,7100,0.0,
1996-06-10 00:00:00+00:00,6.25,10.0,6.25,3.0708651542663574,4740,0.0,
1996-06-11 00:00:00+00:00,8.125,8.125,8.125,2.4950783252716064,920,0.0,
1996-06-12 00:00:00+00:00,8.125,8.125,7.5,2.3031492233276367,640,0.0,
1996-06-13 00:00:00+00:00,7.5,8.75,7.5,2.687007188796997,2200,0.0,
1996-06-14 00:00:00+00:00,8.75,8.75,8.75,2.687007188796997,0,0.0,
1996-06-17 00:00:00+00:00,8.75,8.75,8.75,2.687007188796997,0,0.0,
1996-06-18 00:00:00+00:00,8.75,8.75,8.75,2.687007188796997,0,0.0,
1996-06-19 00:00:00+00:00,8.75,8.75,8.75,2.687007188796997,0,0.0,
1996-06-20 00:00:00+00:00,8.75,8.75,8.75,2.687007188796997,0,0.0,
1996-06-21 00:00:00+00:00,8.75,8.75,8.75,2.687007188796997,0,0.0,
1996-06-24 00:00:00+00:00,8.75,8.75,8.75,2.687007188796997,0,0.0,
1996-06-25 00:00:00+00:00,8.75,8.75,8.75,2.687007188796997,0,0.0,
1996-06-26 00:00:00+00:00,8.75,8.75,8.75,2.687007188796997,0,0.0,
1996-06-27 00:00:00+00:00,8.75,11.25,8.75,3.454724073410034,3300,0.0,
1996-06-28 00:00:00+00:00,11.25,11.25,10.0,3.454724073410034,1420,0.0,
1996-07-01 00:00:00+00:00,8.75,8.75,8.75,2.687007188796997,20,0.0,
1996-07-02 00:00:00+00:00,8.75,8.75,8.75,2.687007188796997,0,0.0,
1996-07-03 00:00:00+00:00,8.75,8.75,8.75,2.687007188796997,0,0.0,
1996-07-05 00:00:00+00:00,8.75,8.75,8.75,2.687007188796997,0,0.0,
1996-07-08 00:00:00+00:00,8.75,8.75,8.75,2.687007188796997,0,0.0,
1996-07-09 00:00:00+00:00,10.0,10.0,10.0,3.0708651542663574,2000,0.0,
1996-07-10 00:00:00+00:00,10.0,10.0,10.0,3.0708651542663574,0,0.0,
1996-07-11 00:00:00+00:00,10.0,10.0,10.0,3.0708651542663574,0,0.0,
1996-07-12 00:00:00+00:00,10.0,10.0,10.0,3.0708651542663574,500,0.0,
1996-07-15 00:00:00+00:00,9.375,11.25,9.375,2.878936290740967,2740,0.0,
1996-07-16 00:00:00+00:00,9.375,9.375,9.375,2.878936290740967,200,0.0,
1996-07-17 00:00:00+00:00,11.25,11.25,11.25,3.454724073410034,140,0.0,
1996-07-18 00:00:00+00:00,11.25,11.25,11.25,3.454724073410034,0,0.0,
1996-07-19 00:00:00+00:00,11.25,11.25,11.25,3.454724073410034,0,0.0,
1996-07-22 00:00:00+00:00,11.25,11.25,11.25,3.454724073410034,0,0.0,
1996-07-23 00:00:00+00:00,9.375,10.625,8.125,2.4950783252716064,1100,0.0,
1996-07-24 00:00:00+00:00,8.75,9.0625,8.75,2.782972574234009,1000,0.0,
1996-07-25 00:00:00+00:00,8.75,8.75,8.75,2.687007188796997,200,0.0,
1996-07-26 00:00:00+00:00,10.0,10.0,10.0,3.0708651542663574,600,0.0,
1996-07-29 00:00:00+00:00,10.0,10.0,10.0,3.0708651542663574,0,0.0,
1996-07-30 00:00:00+00:00,10.0,10.0,10.0,3.0708651542663574,0,0.0,
1996-07-31 00:00:00+00:00,8.75,10.0,8.75,3.0708651542663574,1660,0.0,
1996-08-01 00:00:00+00:00,10.0,10.0,8.75,2.687007188796997,460,0.0,
1996-08-02 00:00:00+00:00,8.75,8.75,8.75,2.687007188796997,900,0.0,
1996-08-05 00:00:00+00:00,8.75,8.75,8.75,2.687007188796997,860,0.0,
1996-08-06 00:00:00+00:00,8.75,10.0,8.75,3.0708651542663574,1800,0.0,
1996-08-07 00:00:00+00:00,8.125,8.125,5.0,2.3031492233276367,1900,0.0,
1996-08-08 00:00:00+00:00,8.75,8.75,8.75,2.687007188796997,200,0.0,
1996-08-09 00:00:00+00:00,8.75,8.75,8.75,2.687007188796997,720,0.0,
1996-08-12 00:00:00+00:00,5.0,5.0,5.0,1.5354325771331787,200,0.0,
1996-08-13 00:00:00+00:00,5.0,5.0,5.0,1.5354325771331787,440,0.0,
1996-08-14 00:00:00+00:00,7.5,7.5,7.5,2.3031492233276367,220,0.0,
1996-08-15 00:00:00+00:00,7.5,7.5,7.5,2.3031492233276367,0,0.0,
