date,SLGN_Open,SLGN_High,SLGN_Low,SLGN_Close,SLGN_Volume,SLGN_Dividends,SLGN_Stock Splits
1997-02-14 00:00:00+00:00,2.84375,2.875,2.734375,2.1114377975463867,27013600,0.0,
1997-02-18 00:00:00+00:00,2.765625,2.78125,2.734375,2.1233668327331543,7928000,0.0,
1997-02-19 00:00:00+00:00,2.796875,2.953125,2.796875,2.24265718460083,2930400,0.0,
1997-02-20 00:00:00+00:00,2.9375,3.03125,2.9375,2.2784438133239746,2388800,0.0,
1997-02-21 00:00:00+00:00,2.984375,3.015625,2.984375,2.2903735637664795,2418400,0.0,
1997-02-24 00:00:00+00:00,3.015625,3.046875,2.96875,2.2903735637664795,2282400,0.0,
1997-02-25 00:00:00+00:00,3.0625,3.0625,3.015625,2.33808970451355,501600,0.0,
1997-02-26 00:00:00+00:00,3.0625,3.078125,3.046875,2.3261606693267822,1400000,0.0,
1997-02-27 00:00:00+00:00,3.078125,3.078125,3.0625,2.33808970451355,476000,0.0,
1997-02-28 00:00:00+00:00,3.078125,3.21875,3.0625,2.433522224426269,828000,0.0,
1997-03-03 00:00:00+00:00,3.1875,3.28125,3.1875,2.4812381267547607,330400,0.0,
1997-03-04 00:00:00+00:00,3.25,3.265625,3.171875,2.421592712402344,845600,0.0,
1997-03-05 00:00:00+00:00,3.21875,3.234375,3.140625,2.3977346420288086,1067200,0.0,
1997-03-06 00:00:00+00:00,3.140625,3.15625,3.078125,2.3738763332366943,3412800,0.0,
1997-03-07 00:00:00+00:00,3.0625,3.0625,3.015625,2.33808970451355,364800,0.0,
1997-03-10 00:00:00+00:00,3.015625,3.15625,3.015625,2.409664869308472,1096800,0.0,
1997-03-11 00:00:00+00:00,3.140625,3.171875,3.140625,2.409664869308472,378400,0.0,
1997-03-12 00:00:00+00:00,3.140625,3.203125,3.140625,2.421592712402344,620800,0.0,
1997-03-13 00:00:00+00:00,3.203125,3.203125,3.171875,2.421592712402344,512800,0.0,
1997-03-14 00:00:00+00:00,3.171875,3.203125,3.171875,2.421592712402344,113600,0.0,
1997-03-17 00:00:00+00:00,3.140625,3.15625,3.09375,2.361947536468506,177600,0.0,
1997-03-18 00:00:00+00:00,3.09375,3.140625,3.09375,2.3738763332366943,249600,0.0,
1997-03-19 00:00:00+00:00,3.109375,3.15625,3.109375,2.385805130004883,1416000,0.0,
1997-03-20 00:00:00+00:00,3.109375,3.140625,3.109375,2.3738763332366943,38400,0.0,
1997-03-21 00:00:00+00:00,3.109375,3.15625,3.046875,2.33808970451355,180000,0.0,
1997-03-24 00:00:00+00:00,3.0625,3.0625,3.046875,2.3261606693267822,234400,0.0,
1997-03-25 00:00:00+00:00,3.046875,3.09375,3.046875,2.361947536468506,675200,0.0,
1997-03-26 00:00:00+00:00,3.085937976837158,3.109375,3.0625,2.3738763332366943,126400,0.0,
1997-03-27 00:00:00+00:00,3.09375,3.125,3.078125,2.361947536468506,869600,0.0,
1997-03-31 00:00:00+00:00,3.09375,3.125,3.09375,2.385805130004883,956000,0.0,
1997-04-01 00:00:00+00:00,3.09375,3.125,3.09375,2.385805130004883,328800,0.0,
1997-04-02 00:00:00+00:00,3.09375,3.140625,3.09375,2.3977346420288086,743200,0.0,
1997-04-03 00:00:00+00:00,3.109375,3.140625,3.109375,2.3977346420288086,57600,0.0,
