date,TAIT_Open,TAIT_High,TAIT_Low,TAIT_Close,TAIT_Volume,TAIT_Dividends,TAIT_Stock Splits
1995-04-19 00:00:00+00:00,7.25,7.5,6.0,3.970557451248169,364100,0.0,
1995-04-20 00:00:00+00:00,7.625,8.5,6.625,4.172449111938477,353700,0.0,
1995-04-21 00:00:00+00:00,8.0,8.25,7.5,4.037853717803955,179800,0.0,
1995-04-24 00:00:00+00:00,7.5,8.25,7.0,4.037853717803955,77300,0.0,
1995-04-25 00:00:00+00:00,8.125,8.125,7.25,3.903259754180908,101800,0.0,
1995-04-26 00:00:00+00:00,8.25,8.25,7.25,4.239748477935791,66000,0.0,
1995-04-27 00:00:00+00:00,7.25,8.25,7.25,4.441639423370361,95000,0.0,
1995-04-28 00:00:00+00:00,8.25,8.25,7.25,4.441639423370361,76400,0.0,
1995-05-01 00:00:00+00:00,7.875,8.25,7.25,4.441639423370361,50200,0.0,
1995-05-02 00:00:00+00:00,7.875,8.25,7.25,4.037853717803955,80500,0.0,
1995-05-03 00:00:00+00:00,8.25,8.25,7.25,3.903259754180908,64000,0.0,
1995-05-04 00:00:00+00:00,8.25,8.25,7.25,3.903259754180908,11300,0.0,
1995-05-05 00:00:00+00:00,7.25,8.25,7.25,4.239748477935791,20700,0.0,
1995-05-08 00:00:00+00:00,7.25,8.0,7.25,3.903259754180908,33900,0.0,
1995-05-09 00:00:00+00:00,7.5,8.25,7.25,4.441639423370361,147800,0.0,
1995-05-10 00:00:00+00:00,8.25,8.25,7.5,4.105151653289795,143000,0.0,
1995-05-11 00:00:00+00:00,8.25,8.25,7.625,4.105151653289795,51700,0.0,
1995-05-12 00:00:00+00:00,8.25,8.25,7.625,4.441639423370361,29300,0.0,
1995-05-15 00:00:00+00:00,8.25,8.375,7.625,4.508938789367676,39400,0.0,
1995-05-16 00:00:00+00:00,7.75,8.375,7.75,4.508938789367676,30700,0.0,
1995-05-17 00:00:00+00:00,8.0,8.25,7.75,4.307044506072998,49800,0.0,
1995-05-18 00:00:00+00:00,8.0,8.0,7.5,4.307044506072998,28700,0.0,
1995-05-19 00:00:00+00:00,7.9375,8.0,7.5,4.307044506072998,46700,0.0,
1995-05-22 00:00:00+00:00,8.0,8.0,7.5,4.307044506072998,34700,0.0,
1995-05-23 00:00:00+00:00,8.0,8.0,7.0,4.105151653289795,95800,0.0,
1995-05-24 00:00:00+00:00,7.25,7.75,7.25,3.903259754180908,31000,0.0,
1995-05-25 00:00:00+00:00,7.25,7.75,7.25,4.037853717803955,20300,0.0,
1995-05-26 00:00:00+00:00,7.5,7.75,7.25,3.903259754180908,22700,0.0,
1995-05-30 00:00:00+00:00,7.25,7.75,7.25,3.903259754180908,9500,0.0,
1995-05-31 00:00:00+00:00,7.75,7.75,7.0,4.172449111938477,18900,0.0,
1995-06-01 00:00:00+00:00,7.125,7.75,7.125,4.172449111938477,12800,0.0,
1995-06-02 00:00:00+00:00,7.9375,7.9375,7.25,3.903259754180908,9900,0.0,
1995-06-05 00:00:00+00:00,7.875,7.875,7.25,4.239748477935791,5200,0.0,
1995-06-06 00:00:00+00:00,7.25,7.875,7.25,3.903259754180908,27400,0.0,
1995-06-07 00:00:00+00:00,7.875,7.875,7.25,4.239748477935791,18300,0.0,
1995-06-08 00:00:00+00:00,7.75,7.75,7.25,3.903259754180908,17500,0.0,
