date,SDS_Open,SDS_High,SDS_Low,SDS_Close,SDS_Volume,SDS_Dividends,SDS_Stock Splits
2006-07-13 00:00:00+00:00,5768.0,5888.7998046875,5764.7998046875,4068.698486328125,473,0.0,
2006-07-14 00:00:00+00:00,5888.0,6016.0,5888.0,4097.49169921875,2684,0.0,
2006-07-17 00:00:00+00:00,5920.0,5988.7998046875,5904.0,4127.9462890625,3356,0.0,
2006-07-18 00:00:00+00:00,5928.0,6056.0,5916.0,4105.7958984375,3625,0.0,
2006-07-19 00:00:00+00:00,5880.0,5880.0,5704.0,3964.599853515625,2310,0.0,
2006-07-20 00:00:00+00:00,5692.0,5821.60009765625,5692.0,4029.384033203125,1835,0.0,
2006-07-21 00:00:00+00:00,5821.60009765625,5916.0,5821.60009765625,4081.98828125,2041,0.0,
2006-07-24 00:00:00+00:00,5840.0,5848.0,5702.39990234375,3959.062744140625,2304,0.0,
2006-07-25 00:00:00+00:00,5724.0,5755.2001953125,5610.39990234375,3910.3359375,2285,0.0,
2006-07-26 00:00:00+00:00,5669.60009765625,5708.0,5600.0,3907.567138671875,2193,0.0,
2006-07-27 00:00:00+00:00,5588.7998046875,5709.60009765625,5576.7998046875,3951.865234375,2010,0.0,
2006-07-28 00:00:00+00:00,5654.39990234375,5656.0,5540.7998046875,3863.270263671875,2175,0.0,
2006-07-31 00:00:00+00:00,5562.39990234375,5601.60009765625,5562.39990234375,3866.038330078125,1393,0.0,
2006-08-01 00:00:00+00:00,5643.2001953125,5687.2001953125,5622.39990234375,3904.24658203125,1874,0.0,
2006-08-02 00:00:00+00:00,5596.0,5608.0,5524.7998046875,3858.84033203125,1730,0.0,
2006-08-03 00:00:00+00:00,5635.2001953125,5635.2001953125,5520.0,3847.213134765625,2130,0.0,
2006-08-04 00:00:00+00:00,5432.0,5609.60009765625,5428.0,3852.749755859375,2791,0.0,
2006-08-07 00:00:00+00:00,5600.0,5640.0,5576.0,3876.559814453125,1490,0.0,
2006-08-08 00:00:00+00:00,5585.60009765625,5671.2001953125,5542.39990234375,3910.88916015625,2966,0.0,
2006-08-09 00:00:00+00:00,5592.0,5708.7998046875,5542.39990234375,3951.3095703125,3601,0.0,
2006-08-10 00:00:00+00:00,5732.7998046875,5736.7998046875,5636.0,3918.087646484375,2690,0.0,
2006-08-11 00:00:00+00:00,5673.60009765625,5724.7998046875,5660.7998046875,3936.915283203125,1663,0.0,
2006-08-14 00:00:00+00:00,5612.0,5687.2001953125,5580.0,3932.48388671875,1303,0.0,
2006-08-15 00:00:00+00:00,5560.7998046875,5599.2001953125,5512.0,3815.096435546875,2693,0.0,
2006-08-16 00:00:00+00:00,5488.7998046875,5504.0,5428.0,3773.568359375,3204,0.0,
2006-08-17 00:00:00+00:00,5456.7998046875,5468.7998046875,5389.60009765625,3755.296142578125,2280,0.0,
2006-08-18 00:00:00+00:00,5404.0,5468.0,5383.2001953125,3729.82373046875,1755,0.0,
2006-08-21 00:00:00+00:00,5432.7998046875,5445.60009765625,5414.39990234375,3748.65087890625,1330,0.0,
2006-08-22 00:00:00+00:00,5432.0,5464.0,5391.2001953125,3754.741455078125,1574,0.0,
2006-08-23 00:00:00+00:00,5424.7998046875,5504.0,5392.7998046875,3781.8740234375,2548,0.0,
2006-08-24 00:00:00+00:00,5456.0,5490.39990234375,5440.0,3776.890869140625,1983,0.0,
2006-08-25 00:00:00+00:00,5476.7998046875,5476.7998046875,5422.39990234375,3774.12158203125,1408,0.0,
2006-08-28 00:00:00+00:00,5474.39990234375,5474.39990234375,5382.39990234375,3740.898193359375,2245,0.0,
2006-08-29 00:00:00+00:00,5426.39990234375,5462.39990234375,5382.39990234375,3727.056640625,2488,0.0,
2006-08-30 00:00:00+00:00,5361.60009765625,5402.39990234375,5361.60009765625,3724.841064453125,1280,0.0,
2006-08-31 00:00:00+00:00,5373.60009765625,5404.7998046875,5370.39990234375,3732.59326171875,645,0.0,
2006-09-01 00:00:00+00:00,5372.7998046875,5384.7998046875,5328.7998046875,3696.60205078125,2065,0.0,
2006-09-05 00:00:00+00:00,5360.7998046875,5368.7998046875,5313.60009765625,3686.08203125,1636,0.0,
2006-09-06 00:00:00+00:00,5360.0,5440.0,5360.0,3751.42041015625,4033,0.0,
2006-09-07 00:00:00+00:00,5475.2001953125,5502.39990234375,5424.7998046875,3801.807373046875,6430,0.0,
2006-09-08 00:00:00+00:00,5473.60009765625,5485.60009765625,5430.39990234375,3769.692626953125,1880,0.0,
2006-09-11 00:00:00+00:00,5492.0,5519.2001953125,5412.0,3770.799560546875,3840,0.0,
2006-09-12 00:00:00+00:00,5404.0,5435.2001953125,5327.2001953125,3693.27880859375,3958,0.0,
2006-09-13 00:00:00+00:00,5345.60009765625,5360.0,5276.0,3666.1484375,2715,0.0,
2006-09-14 00:00:00+00:00,5320.0,5346.39990234375,5308.0,3692.72705078125,3718,0.0,
2006-09-15 00:00:00+00:00,5279.2001953125,5307.2001953125,5161.60009765625,3665.041015625,3395,0.0,
2006-09-18 00:00:00+00:00,5308.0,5340.0,5255.2001953125,3656.1796875,2255,0.0,
2006-09-19 00:00:00+00:00,5288.0,5368.0,5288.0,3666.700439453125,3600,0.0,
2006-09-20 00:00:00+00:00,5249.60009765625,5288.0,5224.7998046875,3651.750732421875,3348,0.0,
2006-09-21 00:00:00+00:00,5220.0,5335.2001953125,5220.0,3665.041015625,3475,0.0,
2006-09-22 00:00:00+00:00,5336.0,5376.0,5316.0,3696.048095703125,3683,0.0,
2006-09-25 00:00:00+00:00,5304.0,5433.60009765625,5226.39990234375,3641.2294921875,3545,0.0,
2006-09-26 00:00:00+00:00,5268.0,5272.0,5168.0,3582.536865234375,4958,0.0,
2006-09-27 00:00:00+00:00,5162.39990234375,5185.60009765625,5140.0,3573.122802734375,3160,0.0,
2006-09-28 00:00:00+00:00,5151.2001953125,5195.2001953125,5136.0,3562.60205078125,3355,0.0,
2006-09-29 00:00:00+00:00,5166.39990234375,5184.0,5140.0,3588.07373046875,3178,0.0,
2006-10-02 00:00:00+00:00,5184.0,5231.2001953125,5159.2001953125,3615.759765625,2833,0.0,
2006-10-03 00:00:00+00:00,5239.2001953125,5250.39990234375,5163.2001953125,3595.271728515625,3615,0.0,
2006-10-04 00:00:00+00:00,5202.39990234375,5216.0,5068.7998046875,3516.09130859375,5575,0.0,
2006-10-05 00:00:00+00:00,5095.2001953125,5095.2001953125,5040.7998046875,3500.0322265625,3618,0.0,
2006-10-06 00:00:00+00:00,5103.2001953125,5156.0,5064.0,3505.0166015625,3241,0.0,
2006-10-09 00:00:00+00:00,5096.0,5100.7998046875,5057.60009765625,3510.000244140625,1200,0.0,
2006-10-10 00:00:00+00:00,5064.0,5089.60009765625,5045.60009765625,3497.2646484375,1826,0.0,
2006-10-11 00:00:00+00:00,5093.60009765625,5123.2001953125,5048.7998046875,3513.3232421875,3063,0.0,
2006-10-12 00:00:00+00:00,5043.2001953125,5056.0,4978.39990234375,3452.41357421875,4815,0.0,
2006-10-13 00:00:00+00:00,4992.0,5007.2001953125,4956.0,3433.03369140625,3325,0.0,
2006-10-16 00:00:00+00:00,4972.0,4978.39990234375,4940.0,3426.388916015625,2393,0.0,
2006-10-17 00:00:00+00:00,4987.2001953125,5038.39990234375,4968.0,3449.0908203125,3820,0.0,
