date,FXNC_Open,FXNC_High,FXNC_Low,FXNC_Close,FXNC_Volume,FXNC_Dividends,FXNC_Stock Splits
1999-01-14 00:00:00+00:00,7.5,7.5,7.5,4.471705913543701,800,0.0,
1999-01-15 00:00:00+00:00,7.5,7.5,7.5,4.471705913543701,0,0.0,
1999-01-19 00:00:00+00:00,7.5,7.5,7.5,4.471705913543701,400,0.0,
1999-01-20 00:00:00+00:00,7.5,7.5,7.5,4.471705913543701,0,0.0,
1999-01-21 00:00:00+00:00,7.5,7.5,7.5,4.471705913543701,0,0.0,
1999-01-22 00:00:00+00:00,7.5,7.5,7.5,4.471705913543701,0,0.0,
1999-01-25 00:00:00+00:00,7.5,7.5,7.5,4.471705913543701,2000,0.0,
1999-01-26 00:00:00+00:00,7.5,7.5,7.5,4.471705913543701,0,0.0,
1999-01-27 00:00:00+00:00,7.5,7.5,7.5,4.471705913543701,0,0.0,
1999-01-28 00:00:00+00:00,7.5,7.5,7.5,4.471705913543701,0,0.0,
1999-01-29 00:00:00+00:00,7.5,7.5,7.4375,4.434439182281494,4000,0.0,
1999-02-01 00:00:00+00:00,7.4375,7.4375,7.4375,4.434439182281494,0,0.0,
1999-02-02 00:00:00+00:00,7.4375,7.4375,7.4375,4.434439182281494,0,0.0,
1999-02-03 00:00:00+00:00,7.4375,7.4375,7.4375,4.434439182281494,0,0.0,
1999-02-04 00:00:00+00:00,7.4375,7.4375,7.4375,4.434439182281494,0,0.0,
1999-02-05 00:00:00+00:00,7.4375,7.4375,7.4375,4.434439182281494,1600,0.0,
1999-02-08 00:00:00+00:00,7.4375,7.4375,7.4375,4.434439182281494,0,0.0,
1999-02-09 00:00:00+00:00,7.25,7.25,7.25,4.322645664215088,800,0.0,
1999-02-10 00:00:00+00:00,7.25,7.28125,7.25,4.341279029846191,3200,0.0,
1999-02-11 00:00:00+00:00,7.28125,7.28125,7.28125,4.341279029846191,0,0.0,
1999-02-12 00:00:00+00:00,7.125,7.4375,7.125,4.434439182281494,5600,0.0,
1999-02-16 00:00:00+00:00,7.4375,7.4375,7.4375,4.434439182281494,0,0.0,
