date,WKHS_Open,WKHS_High,WKHS_Low,WKHS_Close,WKHS_Volume,WKHS_Dividends,WKHS_Stock Splits
2010-06-02 00:00:00+00:00,202.0,202.0,202.0,202.0,5,,
2010-06-03 00:00:00+00:00,150.0,202.0,150.0,202.0,28,,
2010-06-04 00:00:00+00:00,202.0,202.0,202.0,202.0,0,,
2010-06-07 00:00:00+00:00,160.0,160.0,160.0,160.0,3,,
2010-06-08 00:00:00+00:00,160.0,160.0,160.0,160.0,0,,
2010-06-09 00:00:00+00:00,160.0,160.0,160.0,160.0,0,,
2010-06-10 00:00:00+00:00,160.0,160.0,160.0,160.0,0,,
2010-06-11 00:00:00+00:00,160.0,160.0,160.0,160.0,0,,
2010-06-14 00:00:00+00:00,160.0,160.0,160.0,160.0,0,,
2010-06-15 00:00:00+00:00,160.0,160.0,160.0,160.0,0,,
2010-06-16 00:00:00+00:00,160.0,160.0,160.0,160.0,0,,
2010-06-17 00:00:00+00:00,160.0,160.0,160.0,160.0,0,,
2010-06-18 00:00:00+00:00,160.0,160.0,160.0,160.0,0,,
2010-06-21 00:00:00+00:00,196.0,196.0,196.0,196.0,2,,
2010-06-22 00:00:00+00:00,196.0,210.0,180.0,180.0,11,,
2010-06-23 00:00:00+00:00,180.0,180.0,180.0,180.0,0,,
2010-06-24 00:00:00+00:00,180.0,180.0,180.0,180.0,0,,
2010-06-25 00:00:00+00:00,102.0,102.0,102.0,102.0,62,,
2010-06-28 00:00:00+00:00,102.0,130.0,102.0,130.0,53,,
2010-06-29 00:00:00+00:00,130.0,130.0,130.0,130.0,1,,
2010-06-30 00:00:00+00:00,130.0,130.0,120.0,120.0,28,,
2010-07-01 00:00:00+00:00,140.0,140.0,120.0,120.0,68,,
2010-07-02 00:00:00+00:00,160.0,170.0,120.0,120.0,300,,
2010-07-06 00:00:00+00:00,170.0,170.0,170.0,170.0,710,,
2010-07-07 00:00:00+00:00,170.0,170.0,170.0,170.0,3,,
2010-07-08 00:00:00+00:00,160.0,160.0,142.0,142.0,38,,
2010-07-09 00:00:00+00:00,160.0,160.0,146.0,146.0,18,,
2010-07-12 00:00:00+00:00,150.0,150.0,150.0,150.0,15,,
2010-07-13 00:00:00+00:00,170.0,170.0,148.0,148.0,20,,
2010-07-14 00:00:00+00:00,140.0,150.0,140.0,150.0,18,,
2010-07-15 00:00:00+00:00,150.0,150.0,150.0,150.0,0,,
2010-07-16 00:00:00+00:00,150.0,150.0,150.0,150.0,13,,
2010-07-19 00:00:00+00:00,160.0,170.0,160.0,170.0,74,,
2010-07-20 00:00:00+00:00,160.0,160.0,160.0,160.0,20,,
