date,AKO-A_Open,AKO-A_High,AKO-A_Low,AKO-A_Close,AKO-A_Volume,AKO-A_Dividends,AKO-A_Stock Splits
1994-07-07 00:00:00+00:00,9.0,9.375,9.0,3.022411584854126,572400,0.0,
1994-07-08 00:00:00+00:00,9.4375,9.4375,9.1875,2.981842279434204,109200,0.0,
1994-07-11 00:00:00+00:00,9.125,9.125,9.0,2.9209887981414795,149200,0.0,
1994-07-12 00:00:00+00:00,9.125,9.125,9.0,2.9615581035614014,72400,0.0,
1994-07-13 00:00:00+00:00,9.125,9.1875,9.0625,2.981842279434204,192000,0.0,
1994-07-14 00:00:00+00:00,9.125,9.3125,9.125,3.002126693725586,106800,0.0,
1994-07-15 00:00:00+00:00,9.125,9.1875,9.0625,2.9412732124328613,151400,0.0,
1994-07-18 00:00:00+00:00,9.0625,9.1875,9.0625,2.9412732124328613,62800,0.0,
1994-07-19 00:00:00+00:00,9.125,9.1875,9.0625,2.9615581035614014,49800,0.0,
1994-07-20 00:00:00+00:00,9.125,9.125,9.0,2.9412732124328613,212200,0.0,
1994-07-21 00:00:00+00:00,9.0,9.0625,9.0,2.9209887981414795,18800,0.0,
1994-07-22 00:00:00+00:00,9.0625,9.0625,9.0,2.9209887981414795,194600,0.0,
1994-07-25 00:00:00+00:00,9.0,9.0,9.0,2.9209887981414795,77800,0.0,
1994-07-26 00:00:00+00:00,8.9375,9.0,8.9375,2.9091079235076904,24000,0.026,
1994-07-27 00:00:00+00:00,9.0,9.0,9.0,2.9294509887695312,11200,0.0,
1994-07-28 00:00:00+00:00,9.0625,9.25,9.0625,2.9497945308685303,198600,0.0,
1994-07-29 00:00:00+00:00,9.1875,9.3125,9.1875,3.010824680328369,270800,0.0,
1994-08-01 00:00:00+00:00,9.25,9.375,9.1875,3.051511764526367,220600,0.0,
1994-08-02 00:00:00+00:00,9.375,9.6875,9.375,3.0921976566314697,174400,0.0,
1994-08-03 00:00:00+00:00,9.5625,9.875,9.5625,3.153228282928467,278600,0.0,
1994-08-04 00:00:00+00:00,9.75,9.875,9.6875,3.1735739707946777,121000,0.0,
1994-08-05 00:00:00+00:00,9.75,9.75,9.625,3.153228282928467,134400,0.0,
1994-08-08 00:00:00+00:00,9.6875,9.875,9.6875,3.2142584323883057,88400,0.0,
1994-08-09 00:00:00+00:00,9.875,10.0,9.625,3.1735739707946777,521800,0.0,
1994-08-10 00:00:00+00:00,9.8125,10.125,9.625,3.295633316040039,323200,0.0,
1994-08-11 00:00:00+00:00,10.25,10.75,10.1875,3.3566644191741943,359000,0.0,
1994-08-12 00:00:00+00:00,10.375,10.875,10.375,3.5397539138793945,100000,0.0,
1994-08-15 00:00:00+00:00,11.125,11.125,10.875,3.621128559112549,53400,0.0,
1994-08-16 00:00:00+00:00,11.25,11.25,11.0,3.621128559112549,181800,0.0,
1994-08-17 00:00:00+00:00,11.1875,11.625,11.1875,3.722844362258911,230600,0.0,
1994-08-18 00:00:00+00:00,11.5,11.8125,11.5,3.844905853271485,131200,0.0,
1994-08-19 00:00:00+00:00,11.75,12.75,11.75,4.150054454803467,212400,0.0,
1994-08-22 00:00:00+00:00,12.875,13.25,11.9375,3.987309455871582,215200,0.0,
1994-08-23 00:00:00+00:00,12.375,12.5,12.1875,3.987309455871582,85800,0.0,
1994-08-24 00:00:00+00:00,12.375,12.375,12.0625,4.007652759552002,88200,0.0,
1994-08-25 00:00:00+00:00,12.3125,12.3125,12.125,3.966965675354004,190000,0.0,
