date,INO_Open,INO_High,INO_Low,INO_Close,INO_Volume,INO_Dividends,INO_Stock Splits
1998-12-08 00:00:00+00:00,720.0,720.0,696.0,708.0,161,,
1998-12-09 00:00:00+00:00,708.0,708.0,684.0,696.0,49,,
1998-12-10 00:00:00+00:00,708.0,720.0,684.0,708.0,117,,
1998-12-11 00:00:00+00:00,696.0,708.0,684.0,708.0,78,,
1998-12-14 00:00:00+00:00,708.0,708.0,708.0,708.0,98,,
1998-12-15 00:00:00+00:00,696.0,696.0,600.0,648.0,346,,
1998-12-16 00:00:00+00:00,648.0,672.0,636.0,660.0,20,,
1998-12-17 00:00:00+00:00,636.0,672.0,636.0,672.0,46,,
1998-12-18 00:00:00+00:00,672.0,672.0,672.0,672.0,86,,
1998-12-21 00:00:00+00:00,672.0,672.0,600.0,624.0,253,,
1998-12-22 00:00:00+00:00,624.0,624.0,624.0,624.0,63,,
1998-12-23 00:00:00+00:00,624.0,648.0,600.0,624.0,198,,
1998-12-24 00:00:00+00:00,624.0,624.0,624.0,624.0,5,,
1998-12-28 00:00:00+00:00,648.0,672.0,636.0,660.0,119,,
1998-12-29 00:00:00+00:00,636.0,636.0,588.0,624.0,279,,
1998-12-30 00:00:00+00:00,624.0,624.0,624.0,624.0,59,,
1998-12-31 00:00:00+00:00,624.0,648.0,600.0,636.0,110,,
1999-01-04 00:00:00+00:00,648.0,660.0,636.0,660.0,18,,
1999-01-05 00:00:00+00:00,660.0,660.0,648.0,660.0,22,,
1999-01-06 00:00:00+00:00,672.0,708.0,672.0,696.0,101,,
1999-01-07 00:00:00+00:00,720.0,768.0,720.0,744.0,246,,
1999-01-08 00:00:00+00:00,756.0,792.0,744.0,744.0,297,,
1999-01-11 00:00:00+00:00,792.0,792.0,768.0,780.0,308,,
1999-01-12 00:00:00+00:00,780.0,780.0,720.0,720.0,69,,
1999-01-13 00:00:00+00:00,744.0,744.0,684.0,744.0,315,,
1999-01-14 00:00:00+00:00,720.0,744.0,672.0,672.0,260,,
1999-01-15 00:00:00+00:00,672.0,696.0,672.0,684.0,80,,
1999-01-19 00:00:00+00:00,684.0,720.0,672.0,720.0,52,,
1999-01-20 00:00:00+00:00,720.0,744.0,720.0,720.0,128,,
1999-01-21 00:00:00+00:00,720.0,744.0,708.0,732.0,108,,
1999-01-22 00:00:00+00:00,708.0,732.0,708.0,708.0,44,,
1999-01-25 00:00:00+00:00,732.0,732.0,708.0,732.0,94,,
1999-01-26 00:00:00+00:00,732.0,744.0,732.0,744.0,88,,
1999-01-27 00:00:00+00:00,744.0,744.0,720.0,732.0,104,,
1999-01-28 00:00:00+00:00,732.0,732.0,708.0,708.0,135,,
1999-01-29 00:00:00+00:00,708.0,732.0,708.0,732.0,37,,
1999-02-01 00:00:00+00:00,708.0,732.0,708.0,732.0,273,,
1999-02-02 00:00:00+00:00,720.0,720.0,708.0,708.0,138,,
1999-02-03 00:00:00+00:00,720.0,720.0,720.0,720.0,35,,
1999-02-04 00:00:00+00:00,708.0,732.0,708.0,720.0,56,,
1999-02-05 00:00:00+00:00,732.0,732.0,696.0,732.0,77,,
1999-02-08 00:00:00+00:00,732.0,756.0,720.0,756.0,399,,
1999-02-09 00:00:00+00:00,744.0,756.0,720.0,732.0,221,,
1999-02-10 00:00:00+00:00,744.0,744.0,708.0,720.0,245,,
1999-02-11 00:00:00+00:00,720.0,732.0,708.0,720.0,135,,
1999-02-12 00:00:00+00:00,720.0,720.0,672.0,708.0,248,,
1999-02-16 00:00:00+00:00,708.0,708.0,684.0,696.0,138,,
1999-02-17 00:00:00+00:00,708.0,720.0,684.0,696.0,82,,
1999-02-18 00:00:00+00:00,696.0,708.0,672.0,708.0,128,,
1999-02-19 00:00:00+00:00,672.0,684.0,672.0,672.0,104,,
1999-02-22 00:00:00+00:00,672.0,672.0,648.0,660.0,62,,
1999-02-23 00:00:00+00:00,672.0,672.0,660.0,660.0,20,,
