date,COR_Open,COR_High,COR_Low,COR_Close,COR_Volume,COR_Dividends,COR_Stock Splits
1995-04-04 00:00:00+00:00,2.9375,2.96875,2.8125,2.240496158599853,40387200,0.0,
1995-04-05 00:00:00+00:00,2.90625,2.96875,2.84375,2.157515525817871,12236800,0.0,
1995-04-06 00:00:00+00:00,2.84375,2.9375,2.84375,2.1930782794952397,3776000,0.0,
1995-04-07 00:00:00+00:00,2.90625,2.90625,2.84375,2.157515525817871,1920800,0.0,
1995-04-10 00:00:00+00:00,2.84375,2.90625,2.84375,2.181223154067993,2047200,0.0,
1995-04-11 00:00:00+00:00,2.84375,2.90625,2.84375,2.1693687438964844,4096800,0.0,
1995-04-12 00:00:00+00:00,2.84375,2.875,2.84375,2.1693687438964844,2457600,0.0,
1995-04-13 00:00:00+00:00,2.84375,2.875,2.84375,2.181223154067993,2297600,0.0,
1995-04-17 00:00:00+00:00,2.84375,2.953125,2.84375,2.240496158599853,2233600,0.0,
1995-04-18 00:00:00+00:00,2.890625,2.953125,2.875,2.2286417484283447,2441600,0.0,
1995-04-19 00:00:00+00:00,2.875,2.90625,2.8125,2.157515525817871,1422400,0.0,
1995-04-20 00:00:00+00:00,2.8125,2.8125,2.71875,2.074534177780152,1023200,0.0,
1995-04-21 00:00:00+00:00,2.71875,2.8125,2.71875,2.1219515800476074,2803200,0.0,
1995-04-24 00:00:00+00:00,2.75,2.8125,2.75,2.086388349533081,644800,0.0,
1995-04-25 00:00:00+00:00,2.75,2.8125,2.75,2.1338064670562744,484800,0.0,
1995-04-26 00:00:00+00:00,2.75,2.8125,2.75,2.086388349533081,151200,0.0,
1995-04-27 00:00:00+00:00,2.75,2.8125,2.75,2.1100962162017822,3552000,0.0,
1995-04-28 00:00:00+00:00,2.78125,2.8125,2.765625,2.098242998123169,1076000,0.0,
1995-05-01 00:00:00+00:00,2.8125,2.8125,2.765625,2.098242998123169,2287200,0.0,
1995-05-02 00:00:00+00:00,2.765625,2.890625,2.765625,2.157515525817871,1212000,0.0,
1995-05-03 00:00:00+00:00,2.8125,2.890625,2.78125,2.1693687438964844,791200,0.0,
1995-05-04 00:00:00+00:00,2.84375,2.890625,2.8125,2.1338064670562744,1011200,0.0,
1995-05-05 00:00:00+00:00,2.8125,2.875,2.8125,2.1338064670562744,164000,0.0,
1995-05-08 00:00:00+00:00,2.8125,2.890625,2.8125,2.1338064670562744,59200,0.0,
1995-05-09 00:00:00+00:00,2.8125,2.84375,2.734375,2.086388349533081,592800,0.0,
1995-05-10 00:00:00+00:00,2.8125,2.8125,2.734375,2.086388349533081,817600,0.0,
1995-05-11 00:00:00+00:00,2.75,2.8125,2.734375,2.086388349533081,615200,0.0,
1995-05-12 00:00:00+00:00,2.8125,2.8125,2.734375,2.086388349533081,1013600,0.0,
1995-05-15 00:00:00+00:00,2.796875,2.796875,2.703125,2.0508251190185547,3689600,0.0,
1995-05-16 00:00:00+00:00,2.703125,2.734375,2.703125,2.062678337097168,2481600,0.0,
1995-05-17 00:00:00+00:00,2.734375,2.734375,2.703125,2.0567517280578613,328000,0.0,
1995-05-18 00:00:00+00:00,2.703125,2.71875,2.59375,2.003406524658203,514400,0.0,
1995-05-19 00:00:00+00:00,2.625,2.640625,2.59375,1.9796971082687376,1853600,0.0,
1995-05-22 00:00:00+00:00,2.640625,2.65625,2.59375,2.0152618885040283,432800,0.0,
1995-05-23 00:00:00+00:00,2.59375,2.765625,2.59375,2.086388349533081,809600,0.0,
1995-05-24 00:00:00+00:00,2.71875,2.8125,2.71875,2.1338064670562744,1676800,0.0,
1995-05-25 00:00:00+00:00,2.8125,2.8125,2.71875,2.1338064670562744,209600,0.0,
1995-05-26 00:00:00+00:00,2.8125,2.8125,2.71875,2.1338064670562744,64000,0.0,
1995-05-30 00:00:00+00:00,2.78125,2.84375,2.71875,2.1100962162017822,558400,0.0,
