date,CBT_Open,CBT_High,CBT_Low,CBT_Close,CBT_Volume,CBT_Dividends,CBT_Stock Splits
1980-11-05 00:00:00+00:00,7.875,8.1875,7.75,1.8504130840301516,142800,0.0,
1980-11-06 00:00:00+00:00,7.875,7.9375,7.59375,1.7916690111160278,79200,0.0,
1980-11-07 00:00:00+00:00,7.625,7.625,7.4375,1.7549540996551514,74400,0.0,
1980-11-10 00:00:00+00:00,7.46875,7.625,7.34375,1.747610330581665,131600,0.0,
1980-11-11 00:00:00+00:00,7.4375,7.4375,7.34375,1.7255828380584717,86800,0.0,
1980-11-12 00:00:00+00:00,7.34375,7.4375,7.28125,1.7255828380584717,120800,0.0,
1980-11-13 00:00:00+00:00,7.34375,8.0625,7.34375,1.8650981187820437,304000,0.0,
1980-11-14 00:00:00+00:00,7.9375,7.9375,7.75,1.8504130840301516,290400,0.0,
1980-11-17 00:00:00+00:00,7.875,7.90625,7.65625,1.8504130840301516,129200,0.0,
1980-11-18 00:00:00+00:00,7.875,7.9375,7.78125,1.828383564949036,252400,0.0,
1980-11-19 00:00:00+00:00,7.78125,7.90625,7.625,1.8210409879684448,126000,0.0,
1980-11-20 00:00:00+00:00,7.75,7.75,7.46875,1.7990120649337769,78000,0.0,
1980-11-21 00:00:00+00:00,7.65625,7.75,7.46875,1.7622970342636108,292000,0.0,
1980-11-24 00:00:00+00:00,7.5,7.625,7.46875,1.7622970342636108,216800,0.0,
1980-11-25 00:00:00+00:00,7.625,7.8125,7.625,1.835726857185364,248000,0.0,
1980-11-26 00:00:00+00:00,7.96875,8.21875,7.96875,1.9311842918396,294800,0.0,
1980-11-28 00:00:00+00:00,8.21875,8.5625,8.125,2.011956214904785,183600,0.0,
1980-12-01 00:00:00+00:00,8.625,8.84375,8.625,2.063356637954712,368400,0.0,
1980-12-02 00:00:00+00:00,8.78125,8.78125,8.34375,2.041327953338623,296800,0.0,
1980-12-03 00:00:00+00:00,8.6875,8.84375,8.625,2.063356637954712,122400,0.0,
1980-12-04 00:00:00+00:00,8.78125,8.8125,8.71875,2.063356637954712,127200,0.0,
1980-12-05 00:00:00+00:00,8.6875,8.6875,8.5,2.004613876342773,101200,0.0,
1980-12-08 00:00:00+00:00,8.375,8.375,7.90625,1.894469141960144,114800,0.0,
1980-12-09 00:00:00+00:00,8.0625,8.09375,7.96875,1.8724409341812132,289200,0.0,
1980-12-10 00:00:00+00:00,7.96875,8.0625,7.875,1.8504130840301516,37200,0.0,
1980-12-11 00:00:00+00:00,7.625,7.625,7.4375,1.7549540996551514,276000,0.0,
1980-12-12 00:00:00+00:00,7.46875,7.625,7.46875,1.7916690111160278,110000,0.0,
1980-12-15 00:00:00+00:00,7.625,7.71875,7.59375,1.7916690111160278,67200,0.0,
1980-12-16 00:00:00+00:00,7.625,7.75,7.59375,1.8210409879684448,148400,0.0,
1980-12-17 00:00:00+00:00,7.75,7.875,7.75,1.8504130840301516,86000,0.0,
1980-12-18 00:00:00+00:00,7.9375,8.25,7.9375,1.8724409341812132,230800,0.0,
1980-12-19 00:00:00+00:00,7.96875,8.125,7.90625,1.9091558456420896,78800,0.0,
1980-12-22 00:00:00+00:00,8.21875,8.40625,8.21875,1.9678986072540283,94800,0.0,
1980-12-23 00:00:00+00:00,8.375,8.40625,8.375,1.9678986072540283,62800,0.0,
1980-12-24 00:00:00+00:00,8.375,8.375,8.0625,1.9018137454986568,35600,0.0,
1980-12-26 00:00:00+00:00,8.09375,8.1875,7.875,1.8577555418014529,27600,0.0,
1980-12-29 00:00:00+00:00,7.8125,7.8125,7.5,1.7916690111160278,68800,0.0,
1980-12-30 00:00:00+00:00,7.625,7.65625,7.375,1.7916690111160278,194400,0.0,
1980-12-31 00:00:00+00:00,7.625,7.625,7.5625,1.7916690111160278,64800,0.0,
1981-01-02 00:00:00+00:00,7.625,7.65625,7.5625,1.7843265533447266,27200,0.0,
1981-01-05 00:00:00+00:00,7.59375,7.71875,7.5,1.7916690111160278,112400,0.0,
1981-01-06 00:00:00+00:00,7.625,7.625,7.46875,1.7843265533447266,101200,0.0,
1981-01-07 00:00:00+00:00,7.59375,9.59375,6.96875,1.6741834878921509,282400,0.0,
1981-01-08 00:00:00+00:00,7.125,7.3125,7.0,1.6448111534118652,170000,0.0,
1981-01-09 00:00:00+00:00,7.03125,7.1875,7.03125,1.6888692378997805,74000,0.0,
1981-01-12 00:00:00+00:00,7.1875,7.3125,7.15625,1.6888692378997805,114000,0.0,
1981-01-13 00:00:00+00:00,7.03125,7.03125,6.8125,1.6154390573501587,138400,0.0,
1981-01-14 00:00:00+00:00,6.96875,7.28125,6.96875,1.710896611213684,275600,0.0,
1981-01-15 00:00:00+00:00,7.3125,7.46875,7.3125,1.7549540996551514,174800,0.0,
1981-01-16 00:00:00+00:00,7.46875,7.46875,7.3125,1.7255828380584717,99600,0.0,
1981-01-19 00:00:00+00:00,7.34375,7.34375,7.1875,1.710896611213684,32400,0.0,
1981-01-20 00:00:00+00:00,7.28125,7.34375,7.28125,1.710896611213684,91600,0.0,
1981-01-21 00:00:00+00:00,7.28125,7.3125,7.0,1.6521546840667725,225200,0.0,
1981-01-22 00:00:00+00:00,7.03125,7.1875,7.0,1.6888692378997805,86800,0.0,
1981-01-23 00:00:00+00:00,7.1875,7.21875,7.15625,1.6962112188339231,28800,0.0,
1981-01-26 00:00:00+00:00,7.21875,7.28125,7.0625,1.6741834878921509,36800,0.0,
1981-01-27 00:00:00+00:00,7.125,7.34375,7.0625,1.7182401418685913,572400,0.0,
1981-01-28 00:00:00+00:00,7.3125,7.34375,7.125,1.6741834878921509,48400,0.0,
1981-01-29 00:00:00+00:00,7.125,7.1875,7.125,1.6815261840820312,354400,0.0,
1981-01-30 00:00:00+00:00,7.15625,7.15625,6.875,1.6154390573501587,289200,0.0,
1981-02-02 00:00:00+00:00,6.875,6.875,6.375,1.52732515335083,631600,0.0,
1981-02-03 00:00:00+00:00,6.5625,6.6875,6.5625,1.5713825225830078,86400,0.0,
1981-02-04 00:00:00+00:00,6.8125,7.125,6.8125,1.6374684572219849,289200,0.0,
1981-02-05 00:00:00+00:00,7.15625,7.34375,7.15625,1.7182401418685913,66800,0.0,
1981-02-06 00:00:00+00:00,7.3125,7.46875,7.21875,1.6962112188339231,66400,0.0,
1981-02-09 00:00:00+00:00,7.21875,7.34375,7.21875,1.7255828380584717,30000,0.0,
