date,INDL_Open,INDL_High,INDL_Low,INDL_Close,INDL_Volume,INDL_Dividends,INDL_Stock Splits
2010-03-11 00:00:00+00:00,157.27999877929688,157.44000244140625,156.9600067138672,146.1961212158203,750,0.0,
2010-03-12 00:00:00+00:00,158.16000366210938,158.16000366210938,157.27999877929688,146.64317321777344,575,0.0,
2010-03-15 00:00:00+00:00,157.60000610351562,157.60000610351562,155.55999755859375,144.89208984375,50,0.0,
2010-03-16 00:00:00+00:00,159.8800048828125,162.72000122070312,159.8800048828125,151.52383422851562,500,0.0,
2010-03-17 00:00:00+00:00,164.1999969482422,165.63999938964844,163.75999450683594,153.27491760253906,2250,0.0,
2010-03-18 00:00:00+00:00,164.47999572753906,164.47999572753906,162.24000549316406,151.93365478515625,550,0.0,
2010-03-19 00:00:00+00:00,162.67999267578125,162.67999267578125,159.0,149.1766815185547,250,0.0,
2010-03-22 00:00:00+00:00,162.55999755859375,163.83999633789062,162.52000427246094,151.89637756347656,350,0.0,
2010-03-23 00:00:00+00:00,162.55999755859375,165.32000732421875,162.55999755859375,153.9828338623047,1750,0.0,
2010-03-24 00:00:00+00:00,163.9600067138672,163.9600067138672,162.8000030517578,151.63560485839844,150,0.0,
2010-03-25 00:00:00+00:00,165.24000549316406,167.36000061035156,163.8000030517578,152.56703186035156,150,0.0,
2010-03-26 00:00:00+00:00,167.47999572753906,167.75999450683594,165.63999938964844,154.28082275390625,200,0.0,
2010-03-29 00:00:00+00:00,170.60000610351562,172.27999877929688,170.60000610351562,159.57135009765625,625,0.0,
2010-03-30 00:00:00+00:00,169.72000122070312,169.72000122070312,168.0,157.9692840576172,750,0.0,
2010-03-31 00:00:00+00:00,169.9199981689453,170.36000061035156,163.16000366210938,158.67718505859375,250,0.0,
2010-04-01 00:00:00+00:00,173.9199981689453,174.0399932861328,171.36000061035156,160.94985961914062,875,0.0,
2010-04-05 00:00:00+00:00,179.0399932861328,182.75999450683597,179.0399932861328,169.66793823242188,2425,0.0,
2010-04-06 00:00:00+00:00,179.63999938964844,181.8800048828125,179.0,169.14633178710938,1900,0.0,
2010-04-07 00:00:00+00:00,181.16000366210935,181.16000366210935,176.44000244140625,164.6010284423828,875,0.0,
2010-04-08 00:00:00+00:00,176.63999938964844,177.0399932861328,173.16000366210938,164.89906311035156,400,0.0,
2010-04-09 00:00:00+00:00,178.32000732421875,179.60000610351562,178.0,167.2835235595703,700,0.0,
2010-04-12 00:00:00+00:00,186.0,186.0,176.39999389648438,164.56373596191406,2200,0.0,
2010-04-13 00:00:00+00:00,176.16000366210938,176.67999267578125,173.72000122070312,164.07943725585938,1250,0.0,
2010-04-14 00:00:00+00:00,178.60000610351562,180.8800048828125,178.60000610351562,168.2149658203125,1775,0.0,
