date,WES_Open,WES_High,WES_Low,WES_Close,WES_Volume,WES_Dividends,WES_Stock Splits
2012-12-10 00:00:00+00:00,27.63999938964844,27.96999931335449,27.530000686645508,13.640158653259276,693100,0.0,
2012-12-11 00:00:00+00:00,27.690000534057617,28.299999237060547,27.56999969482422,13.679476737976074,379700,0.0,
2012-12-12 00:00:00+00:00,27.61000061035156,28.649999618530277,27.61000061035156,13.763041496276855,456700,0.0,
2012-12-13 00:00:00+00:00,27.850000381469727,27.850000381469727,27.1200008392334,13.591002464294434,239100,0.0,
2012-12-14 00:00:00+00:00,27.5,27.940000534057617,27.209999084472656,13.566424369812012,156300,0.0,
2012-12-17 00:00:00+00:00,27.46999931335449,27.6299991607666,27.26000022888184,13.497611045837402,41800,0.0,
2012-12-18 00:00:00+00:00,27.649999618530277,28.3700008392334,27.43000030517578,13.881011009216309,92700,0.0,
2012-12-19 00:00:00+00:00,28.59000015258789,31.950000762939453,27.75,14.23000144958496,74000,0.0,
2012-12-20 00:00:00+00:00,28.950000762939453,28.950000762939453,28.01000022888184,14.180841445922852,75000,0.0,
2012-12-21 00:00:00+00:00,27.950000762939453,28.959999084472656,27.76000022888184,14.01372241973877,54300,0.0,
2012-12-24 00:00:00+00:00,29.63999938964844,29.690000534057617,27.850000381469727,13.812190055847168,24500,0.0,
2012-12-26 00:00:00+00:00,28.020000457763672,28.239999771118164,27.799999237060547,13.71879768371582,199200,0.0,
2012-12-27 00:00:00+00:00,27.90999984741211,28.229999542236328,27.82999992370605,13.767950057983398,485600,0.0,
2012-12-28 00:00:00+00:00,28.5,28.989999771118164,28.25,14.151349067687988,58400,0.0,
2012-12-31 00:00:00+00:00,28.96999931335449,29.979999542236328,28.88999938964844,14.721537590026855,59700,0.0,
2013-01-02 00:00:00+00:00,31.979999542236328,32.400001525878906,31.25,15.566977500915527,227800,0.0,
2013-01-03 00:00:00+00:00,31.950000762939453,32.2599983215332,31.56999969482422,15.527657508850098,277300,0.0,
2013-01-04 00:00:00+00:00,31.959999084472656,32.0,31.3700008392334,15.571893692016602,163200,0.0,
2013-01-07 00:00:00+00:00,31.3799991607666,32.0,31.3799991607666,15.684948921203612,177200,0.0,
2013-01-08 00:00:00+00:00,31.96999931335449,32.0,31.59000015258789,15.581724166870115,118100,0.0,
2013-01-09 00:00:00+00:00,31.690000534057617,31.850000381469727,31.36000061035156,15.449007987976074,110500,0.0,
2013-01-10 00:00:00+00:00,31.5,31.5,31.270000457763672,15.483421325683594,72800,0.0,
2013-01-11 00:00:00+00:00,31.43000030517578,31.88999938964844,31.43000030517578,15.532569885253906,62900,0.0,
2013-01-14 00:00:00+00:00,31.770000457763672,31.770000457763672,31.440000534057617,15.498163223266602,88600,0.0,
2013-01-15 00:00:00+00:00,31.59000015258789,32.06999969482422,31.46999931335449,15.527657508850098,63400,0.0,
2013-01-16 00:00:00+00:00,31.670000076293945,31.670000076293945,30.3799991607666,15.394939422607422,82300,0.0,
2013-01-17 00:00:00+00:00,31.0,31.93000030517578,31.0,15.586640357971191,56900,0.0,
2013-01-18 00:00:00+00:00,31.82999992370605,32.0,31.200000762939453,15.45884132385254,275900,0.0,
2013-01-22 00:00:00+00:00,31.309999465942383,31.90999984741211,31.149999618530277,15.488336563110352,32400,0.0,
2013-01-23 00:00:00+00:00,30.850000381469727,32.08000183105469,29.799999237060547,15.326128005981444,113800,0.0,
2013-01-24 00:00:00+00:00,31.399999618530277,31.5,31.170000076293945,15.335955619812012,16700,0.0,
2013-01-25 00:00:00+00:00,31.40999984741211,31.40999984741211,31.0,15.247482299804688,35700,0.0,
2013-01-28 00:00:00+00:00,31.239999771118164,32.63999938964844,30.3700008392334,16.038856506347656,142400,0.0,
