date,IMCI_Open,IMCI_High,IMCI_Low,IMCI_Close,IMCI_Volume,IMCI_Dividends,IMCI_Stock Splits
1993-09-24 00:00:00+00:00,1406.25,1500.0,1300.7999267578125,1406.25,4433,,
1993-09-27 00:00:00+00:00,1312.5,1500.0,1312.5,1312.5,1442,,
1993-09-28 00:00:00+00:00,1312.5,1453.125,1312.5,1312.5,701,,
1993-09-29 00:00:00+00:00,1359.375,1359.375,1312.5,1359.375,1417,,
1993-09-30 00:00:00+00:00,1359.375,1359.375,1312.5,1359.375,269,,
1993-10-01 00:00:00+00:00,1312.5,1359.375,1312.5,1312.5,357,,
1993-10-04 00:00:00+00:00,1312.5,1359.375,1312.5,1312.5,322,,
1993-10-05 00:00:00+00:00,1312.5,1359.375,1312.5,1312.5,526,,
1993-10-06 00:00:00+00:00,1312.5,1359.375,1312.5,1312.5,412,,
1993-10-07 00:00:00+00:00,1359.375,1359.375,1312.5,1359.375,429,,
1993-10-08 00:00:00+00:00,1359.375,1359.375,1312.5,1359.375,292,,
1993-10-11 00:00:00+00:00,1312.5,1359.375,1312.5,1312.5,201,,
1993-10-12 00:00:00+00:00,1312.5,1335.9375,1312.5,1312.5,297,,
1993-10-13 00:00:00+00:00,1335.9375,1335.9375,1312.5,1335.9375,110,,
1993-10-14 00:00:00+00:00,1335.9375,1335.9375,1312.5,1335.9375,150,,
1993-10-15 00:00:00+00:00,1335.9375,1335.9375,1312.5,1335.9375,180,,
1993-10-18 00:00:00+00:00,1312.5,1359.375,1312.5,1312.5,73,,
1993-10-19 00:00:00+00:00,1312.5,1359.375,1312.5,1312.5,145,,
1993-10-20 00:00:00+00:00,1312.5,1359.375,1312.5,1312.5,185,,
1993-10-21 00:00:00+00:00,1359.375,1429.6875,1312.5,1359.375,134,,
1993-10-22 00:00:00+00:00,1359.375,1359.375,1312.5,1359.375,261,,
1993-10-25 00:00:00+00:00,1312.5,1359.375,1312.5,1312.5,38,,
1993-10-26 00:00:00+00:00,1335.9375,1335.9375,1312.5,1335.9375,144,,
1993-10-27 00:00:00+00:00,1335.9375,1335.9375,1312.5,1335.9375,133,,
1993-10-28 00:00:00+00:00,1359.375,1359.375,1312.5,1359.375,160,,
1993-10-29 00:00:00+00:00,1335.9375,1335.9375,1312.5,1335.9375,126,,
1993-11-01 00:00:00+00:00,1312.5,1359.375,1312.5,1312.5,98,,
1993-11-02 00:00:00+00:00,1335.9375,1335.9375,1312.5,1335.9375,256,,
1993-11-03 00:00:00+00:00,1312.5,1500.0,1312.5,1312.5,349,,
1993-11-04 00:00:00+00:00,1382.8125,1382.8125,1312.5,1382.8125,173,,
