date,MBI_Open,MBI_High,MBI_Low,MBI_Close,MBI_Volume,MBI_Dividends,MBI_Stock Splits
1987-07-01 00:00:00+00:00,0.0,7.625,7.25,2.3167614936828613,6141900,0.0,
1987-07-02 00:00:00+00:00,7.3333330154418945,7.4166669845581055,7.0,2.2509448528289795,1659000,0.0,
1987-07-06 00:00:00+00:00,7.1666669845581055,7.1666669845581055,6.5,2.106147289276123,4410000,0.0,
1987-07-07 00:00:00+00:00,6.583333015441895,6.7916669845581055,6.5416669845581055,2.1193106174468994,688800,0.0,
1987-07-08 00:00:00+00:00,6.6666669845581055,6.708333015441895,6.5416669845581055,2.0929834842681885,732900,0.0,
1987-07-09 00:00:00+00:00,6.708333015441895,6.7916669845581055,6.6666669845581055,2.1456375122070312,329100,0.0,
1987-07-10 00:00:00+00:00,6.708333015441895,6.7916669845581055,6.6666669845581055,2.106147289276123,132600,0.0,
1987-07-13 00:00:00+00:00,6.6666669845581055,6.6666669845581055,6.333333015441895,2.0403308868408203,442500,0.0,
1987-07-14 00:00:00+00:00,6.5,6.5,6.333333015441895,2.053493022918701,446700,0.0,
1987-07-15 00:00:00+00:00,6.5,6.583333015441895,6.458333015441895,2.053493022918701,311100,0.0,
1987-07-16 00:00:00+00:00,6.458333015441895,6.5416669845581055,6.4166669845581055,2.053493022918701,139800,0.0,
1987-07-17 00:00:00+00:00,6.458333015441895,6.583333015441895,6.458333015441895,2.079819679260254,220800,0.0,
1987-07-20 00:00:00+00:00,6.5,6.583333015441895,6.5,2.066657304763794,142800,0.0,
1987-07-21 00:00:00+00:00,6.5,6.5416669845581055,6.4166669845581055,2.0403308868408203,305700,0.0,
1987-07-22 00:00:00+00:00,6.4166669845581055,6.4166669845581055,6.333333015441895,2.0140023231506348,312600,0.0,
1987-07-23 00:00:00+00:00,6.375,6.375,6.333333015441895,2.0140023231506348,84300,0.0,
1987-07-24 00:00:00+00:00,6.375,6.375,6.333333015441895,2.0140023231506348,70800,0.0,
1987-07-27 00:00:00+00:00,6.333333015441895,6.333333015441895,6.25,2.0008394718170166,95400,0.0,
