date,DGLY_Open,DGLY_High,DGLY_Low,DGLY_Close,DGLY_Volume,DGLY_Dividends,DGLY_Stock Splits
2007-05-16 00:00:00+00:00,360.0,400.0,360.0,400.0,59,,
2007-05-17 00:00:00+00:00,400.0,400.0,400.0,400.0,0,,
2007-05-18 00:00:00+00:00,368.0,384.0,368.0,384.0,65,,
2007-05-21 00:00:00+00:00,368.0,400.0,368.0,384.0,73,,
2007-05-22 00:00:00+00:00,376.0,384.0,376.0,384.0,24,,
2007-05-23 00:00:00+00:00,379.2000122070313,379.2000122070313,369.6000061035156,369.6000061035156,47,,
2007-05-24 00:00:00+00:00,371.2000122070313,384.0,371.2000122070313,374.3999938964844,204,,
2007-05-25 00:00:00+00:00,379.2000122070313,384.0,377.6000061035156,384.0,115,,
2007-05-29 00:00:00+00:00,384.0,384.0,384.0,384.0,5,,
2007-05-30 00:00:00+00:00,384.0,384.0,380.7999877929688,384.0,138,,
2007-05-31 00:00:00+00:00,377.6000061035156,384.0,377.6000061035156,382.3999938964844,412,,
2007-06-01 00:00:00+00:00,380.7999877929688,387.2000122070313,380.7999877929688,387.2000122070313,43,,
2007-06-04 00:00:00+00:00,384.0,384.0,379.2000122070313,384.0,78,,
2007-06-05 00:00:00+00:00,384.0,392.0,384.0,392.0,13,,
2007-06-06 00:00:00+00:00,380.7999877929688,380.7999877929688,374.3999938964844,376.0,28,,
2007-06-07 00:00:00+00:00,384.0,392.0,374.3999938964844,376.0,222,,
2007-06-08 00:00:00+00:00,376.0,376.0,376.0,376.0,0,,
2007-06-11 00:00:00+00:00,376.0,376.0,376.0,376.0,0,,
2007-06-12 00:00:00+00:00,374.3999938964844,379.2000122070313,368.0,379.2000122070313,187,,
2007-06-13 00:00:00+00:00,384.0,384.0,384.0,384.0,2,,
2007-06-14 00:00:00+00:00,368.0,368.0,368.0,368.0,19,,
2007-06-15 00:00:00+00:00,368.0,368.0,360.0,360.0,33,,
2007-06-18 00:00:00+00:00,384.0,384.0,360.0,368.0,64,,
2007-06-19 00:00:00+00:00,368.0,368.0,368.0,368.0,8,,
2007-06-20 00:00:00+00:00,368.0,368.0,368.0,368.0,0,,
2007-06-21 00:00:00+00:00,363.2000122070313,368.0,352.0,352.0,88,,
2007-06-22 00:00:00+00:00,352.0,360.0,336.0,360.0,136,,
