date,MFIN_Open,MFIN_High,MFIN_Low,MFIN_Close,MFIN_Volume,MFIN_Dividends,MFIN_Stock Splits
1996-05-23 00:00:00+00:00,11.75,13.25,11.75,3.2483701705932617,3379500,0.0,
1996-05-24 00:00:00+00:00,12.875,13.375,12.875,3.31144642829895,927200,0.0,
1996-05-28 00:00:00+00:00,13.5,13.5,13.0,3.374521255493164,498100,0.0,
1996-05-29 00:00:00+00:00,13.375,13.375,12.8125,3.2483701705932617,395700,0.0,
1996-05-30 00:00:00+00:00,13.125,13.125,12.875,3.2799079418182373,184700,0.0,
1996-05-31 00:00:00+00:00,13.125,13.125,12.75,3.2168338298797607,365500,0.0,
1996-06-03 00:00:00+00:00,12.75,13.125,12.75,3.2168338298797607,75600,0.0,
1996-06-04 00:00:00+00:00,12.75,13.125,12.75,3.2168338298797607,114300,0.0,
1996-06-05 00:00:00+00:00,13.125,13.125,12.5,3.153756856918335,275600,0.0,
1996-06-06 00:00:00+00:00,12.75,12.75,12.5,3.185295820236206,56000,0.0,
1996-06-07 00:00:00+00:00,12.375,12.625,12.375,3.153756856918335,208200,0.0,
1996-06-10 00:00:00+00:00,12.625,13.0,12.375,3.185295820236206,117400,0.0,
1996-06-11 00:00:00+00:00,13.0,13.125,12.625,3.2168338298797607,25700,0.0,
1996-06-12 00:00:00+00:00,13.0,13.25,12.75,3.2483701705932617,160400,0.0,
1996-06-13 00:00:00+00:00,13.25,13.25,12.75,3.2168338298797607,124400,0.0,
1996-06-14 00:00:00+00:00,13.0,13.0,12.625,3.185295820236206,43600,0.0,
1996-06-17 00:00:00+00:00,12.875,13.0,12.625,3.185295820236206,25700,0.0,
1996-06-18 00:00:00+00:00,12.875,12.875,12.25,3.1222212314605717,67100,0.0,
1996-06-19 00:00:00+00:00,12.625,13.0,12.375,3.2483701705932617,40200,0.0,
1996-06-20 00:00:00+00:00,12.5,12.875,12.5,3.2483701705932617,47200,0.0,
1996-06-21 00:00:00+00:00,12.5,12.875,12.5,3.2483701705932617,51400,0.0,
1996-06-24 00:00:00+00:00,12.6875,12.875,12.5,3.153756856918335,27300,0.0,
1996-06-25 00:00:00+00:00,12.875,12.875,12.5,3.185295820236206,49300,0.0,
