date,AIM_Open,AIM_High,AIM_Low,AIM_Close,AIM_Volume,AIM_Dividends,AIM_Stock Splits
1996-07-12 00:00:00+00:00,1320.0,1320.0,1320.0,1320.0,0,,
1996-07-15 00:00:00+00:00,1452.0,1518.0,1452.0,1452.0,5,,
1996-07-16 00:00:00+00:00,1386.0,1386.0,1320.0,1320.0,9,,
1996-07-17 00:00:00+00:00,1254.0,1320.0,1254.0,1320.0,7,,
1996-07-18 00:00:00+00:00,1320.0,1320.0,1254.0,1254.0,5,,
1996-07-19 00:00:00+00:00,1254.0,1254.0,1188.0,1188.0,4,,
1996-07-22 00:00:00+00:00,1188.0,1188.0,1122.0,1122.0,35,,
1996-07-23 00:00:00+00:00,1056.0,1188.0,1056.0,1056.0,28,,
1996-07-24 00:00:00+00:00,1056.0,1056.0,1023.0,1056.0,4,,
1996-07-25 00:00:00+00:00,1056.0,1056.0,924.0,957.0,34,,
1996-07-26 00:00:00+00:00,990.0,990.0,990.0,990.0,1,,
1996-07-29 00:00:00+00:00,990.0,990.0,990.0,990.0,0,,
1996-07-30 00:00:00+00:00,990.0,990.0,924.0,924.0,12,,
1996-07-31 00:00:00+00:00,924.0,990.0,924.0,990.0,16,,
1996-08-01 00:00:00+00:00,957.0,990.0,891.0,891.0,73,,
1996-08-02 00:00:00+00:00,957.0,957.0,957.0,957.0,1,,
1996-08-05 00:00:00+00:00,957.0,990.0,907.5,990.0,71,,
1996-08-06 00:00:00+00:00,990.0,990.0,957.0,990.0,16,,
1996-08-07 00:00:00+00:00,957.0,957.0,957.0,957.0,2,,
1996-08-08 00:00:00+00:00,924.0,990.0,924.0,957.0,10,,
1996-08-09 00:00:00+00:00,858.0,858.0,858.0,858.0,2,,
1996-08-12 00:00:00+00:00,990.0,990.0,891.0,891.0,40,,
1996-08-13 00:00:00+00:00,891.0,1023.0,891.0,990.0,42,,
1996-08-14 00:00:00+00:00,1056.0,1221.0,1056.0,1155.0,36,,
1996-08-15 00:00:00+00:00,1287.0,1485.0,1287.0,1419.0,90,,
1996-08-16 00:00:00+00:00,1452.0,1749.0,1386.0,1749.0,505,,
1996-08-19 00:00:00+00:00,1914.0,2277.0,1848.0,2277.0,1503,,
1996-08-20 00:00:00+00:00,2112.0,2706.0,2046.0,2079.0,1406,,
1996-08-21 00:00:00+00:00,2145.0,2145.0,1815.0,1914.0,519,,
1996-08-22 00:00:00+00:00,1881.0,2013.0,1815.0,1815.0,316,,
1996-08-23 00:00:00+00:00,1848.0,1914.0,1782.0,1848.0,270,,
1996-08-26 00:00:00+00:00,1815.0,1848.0,1815.0,1848.0,241,,
1996-08-27 00:00:00+00:00,1848.0,1881.0,1749.0,1881.0,206,,
1996-08-28 00:00:00+00:00,1881.0,2079.0,1881.0,2046.0,407,,
1996-08-29 00:00:00+00:00,2046.0,2145.0,1980.0,2079.0,319,,
1996-08-30 00:00:00+00:00,2145.0,2145.0,1947.0,2112.0,63,,
1996-09-03 00:00:00+00:00,1980.0,2079.0,1914.0,2013.0,113,,
1996-09-04 00:00:00+00:00,2046.0,2046.0,1749.0,1831.5,212,,
1996-09-05 00:00:00+00:00,1848.0,1848.0,1716.0,1848.0,163,,
1996-09-06 00:00:00+00:00,1815.0,1848.0,1716.0,1848.0,479,,
1996-09-09 00:00:00+00:00,1815.0,1914.0,1815.0,1914.0,118,,
1996-09-10 00:00:00+00:00,1914.0,1914.0,1716.0,1815.0,382,,
1996-09-11 00:00:00+00:00,1815.0,1848.0,1683.0,1782.0,409,,
1996-09-12 00:00:00+00:00,1815.0,1914.0,1716.0,1782.0,340,,
1996-09-13 00:00:00+00:00,1782.0,1815.0,1749.0,1782.0,120,,
1996-09-16 00:00:00+00:00,1815.0,1897.5,1782.0,1897.5,429,,
1996-09-17 00:00:00+00:00,1897.5,1980.0,1716.0,1798.5,407,,
1996-09-18 00:00:00+00:00,1815.0,1848.0,1716.0,1848.0,313,,
1996-09-19 00:00:00+00:00,1831.5,1831.5,1782.0,1815.0,132,,
1996-09-20 00:00:00+00:00,1831.5,1831.5,1782.0,1815.0,72,,
1996-09-23 00:00:00+00:00,1815.0,1831.5,1815.0,1831.5,6,,
1996-09-24 00:00:00+00:00,1831.5,1831.5,1716.0,1831.5,107,,
1996-09-25 00:00:00+00:00,1831.5,1831.5,1782.0,1782.0,73,,
1996-09-26 00:00:00+00:00,1798.5,1881.0,1782.0,1881.0,305,,
1996-09-27 00:00:00+00:00,1815.0,1864.5,1716.0,1798.5,467,,
1996-09-30 00:00:00+00:00,1831.5,1831.5,1782.0,1798.5,481,,
