date,USB-PA_Open,USB-PA_High,USB-PA_Low,USB-PA_Close,USB-PA_Volume,USB-PA_Dividends,USB-PA_Stock Splits
2010-06-16 00:00:00+00:00,75.0,86.0,75.0,42.5865364074707,700,0.0,
2010-06-17 00:00:00+00:00,84.0,84.0,77.05999755859375,39.12019348144531,5000,0.0,
2010-06-18 00:00:00+00:00,79.5,79.51000213623047,79.0,39.12019348144531,2100,0.0,
2010-06-21 00:00:00+00:00,79.0,79.0,79.0,39.12019348144531,0,0.0,
2010-06-22 00:00:00+00:00,79.0,79.0,79.0,39.12019348144531,0,0.0,
2010-06-23 00:00:00+00:00,79.0,79.0,79.0,39.12019348144531,0,0.0,
2010-06-24 00:00:00+00:00,79.0,79.0,79.0,39.12019348144531,0,0.0,
2010-06-25 00:00:00+00:00,79.0,79.0,79.0,39.12019348144531,0,0.0,
2010-06-28 00:00:00+00:00,79.0,79.0,79.0,39.12019348144531,0,0.0,
2010-06-29 00:00:00+00:00,79.0,79.0,79.0,39.12019348144531,0,0.0,
2010-06-30 00:00:00+00:00,79.0,79.0,79.0,39.12019348144531,0,0.0,
2010-07-01 00:00:00+00:00,79.0,79.0,79.0,39.12019348144531,0,0.0,
2010-07-02 00:00:00+00:00,79.0,79.0,79.0,39.12019348144531,0,0.0,
2010-07-06 00:00:00+00:00,79.0,79.0,79.0,39.12019348144531,0,0.0,
2010-07-07 00:00:00+00:00,79.0,79.0,79.0,39.12019348144531,0,0.0,
2010-07-08 00:00:00+00:00,79.0,79.0,79.0,39.12019348144531,0,0.0,
2010-07-09 00:00:00+00:00,750.0,750.0,750.0,371.394287109375,0,0.0,
2010-07-12 00:00:00+00:00,750.0,750.0,750.0,371.394287109375,0,0.0,
2010-07-13 00:00:00+00:00,750.0,750.0,750.0,371.394287109375,0,0.0,
2010-07-14 00:00:00+00:00,750.0,750.0,750.0,371.394287109375,0,0.0,
2010-07-15 00:00:00+00:00,750.0,750.0,750.0,371.394287109375,0,0.0,
2010-07-16 00:00:00+00:00,750.0,750.0,750.0,371.394287109375,0,0.0,
2010-07-19 00:00:00+00:00,750.0,750.0,750.0,371.394287109375,0,0.0,
2010-07-20 00:00:00+00:00,750.0,750.0,750.0,371.394287109375,0,0.0,
2010-07-21 00:00:00+00:00,750.0,750.0,750.0,371.394287109375,0,0.0,
2010-07-22 00:00:00+00:00,750.0,750.0,750.0,371.394287109375,0,0.0,
2010-07-23 00:00:00+00:00,750.0,750.0,750.0,371.394287109375,0,0.0,
2010-07-26 00:00:00+00:00,750.0,750.0,750.0,371.394287109375,0,0.0,
2010-07-27 00:00:00+00:00,765.0,765.0,765.0,378.8221435546875,0,0.0,
2010-07-28 00:00:00+00:00,750.0,750.0,750.0,371.394287109375,0,0.0,
2010-07-29 00:00:00+00:00,750.0,750.0,750.0,371.394287109375,0,0.0,
2010-07-30 00:00:00+00:00,790.0,790.0,750.0,388.7260437011719,13450,0.0,
2010-08-02 00:00:00+00:00,790.0,790.0,790.0,391.2018127441406,500,0.0,
2010-08-03 00:00:00+00:00,790.0,790.0,785.0,388.7260437011719,6265,0.0,
2010-08-04 00:00:00+00:00,783.760009765625,790.0,767.5,381.298095703125,10850,0.0,
2010-08-05 00:00:00+00:00,784.9400024414062,785.0,780.0,386.2498168945313,600,0.0,
2010-08-06 00:00:00+00:00,784.9500122070312,785.0,784.9500122070312,388.7260437011719,300,0.0,
2010-08-09 00:00:00+00:00,785.0,785.0,780.0,386.2498168945313,3800,0.0,
2010-08-10 00:00:00+00:00,771.25,785.0,771.0,388.7260437011719,1300,0.0,
2010-08-11 00:00:00+00:00,785.0,785.0,785.0,388.7260437011719,0,0.0,
2010-08-12 00:00:00+00:00,784.989990234375,784.989990234375,784.989990234375,388.7210083007813,200,0.0,
2010-08-13 00:00:00+00:00,784.8900146484375,784.8900146484375,784.8900146484375,388.6714782714844,100,0.0,
2010-08-16 00:00:00+00:00,783.9998779296875,783.9998779296875,780.0,386.2498168945313,200,0.0,
2010-08-17 00:00:00+00:00,780.0,790.0,780.0,391.2018127441406,708,0.0,
2010-08-18 00:00:00+00:00,789.989990234375,789.989990234375,789.989990234375,391.1969299316406,100,0.0,
2010-08-19 00:00:00+00:00,785.0,785.0,784.0,388.2308044433594,200,0.0,
2010-08-20 00:00:00+00:00,787.0,787.0,780.0,387.9832153320313,1150,0.0,
2010-08-23 00:00:00+00:00,792.0,792.0,792.0,392.1922607421875,100,0.0,
2010-08-24 00:00:00+00:00,786.25,786.25,786.0,389.3448486328125,700,0.0,
2010-08-25 00:00:00+00:00,786.25,786.25,786.25,389.3448486328125,0,0.0,
2010-08-26 00:00:00+00:00,786.25,786.25,786.25,389.3448486328125,0,0.0,
2010-08-27 00:00:00+00:00,786.25,786.25,786.25,389.3448486328125,0,0.0,
2010-08-30 00:00:00+00:00,760.0,760.0,760.0,376.3460693359375,3925,0.0,
2010-08-31 00:00:00+00:00,775.0,775.0,775.0,383.7738952636719,3925,0.0,
2010-09-01 00:00:00+00:00,790.0,790.0,790.0,391.2018127441406,200,0.0,
2010-09-02 00:00:00+00:00,794.97998046875,794.97998046875,787.0,389.7163391113281,200,0.0,
