date,RGLD_Open,RGLD_High,RGLD_Low,RGLD_Close,RGLD_Volume,RGLD_Dividends,RGLD_Stock Splits
1981-06-09 00:00:00+00:00,0.0,3.0,2.875,2.2004616260528564,27300,0.0,
1981-06-10 00:00:00+00:00,0.0,2.875,2.75,2.1047892570495605,13700,0.0,
1981-06-11 00:00:00+00:00,0.0,2.875,2.75,2.1047892570495605,12400,0.0,
1981-06-12 00:00:00+00:00,0.0,2.875,2.875,2.2004616260528564,38700,0.0,
1981-06-15 00:00:00+00:00,0.0,2.875,2.875,2.2004616260528564,38800,0.0,
1981-06-16 00:00:00+00:00,0.0,2.875,2.75,2.1047892570495605,55100,0.0,
1981-06-17 00:00:00+00:00,0.0,2.875,2.75,2.1047892570495605,29800,0.0,
1981-06-18 00:00:00+00:00,0.0,2.875,2.875,2.2004616260528564,25100,0.0,
1981-06-19 00:00:00+00:00,0.0,2.875,2.875,2.2004616260528564,8900,0.0,
1981-06-22 00:00:00+00:00,0.0,2.875,2.75,2.1047892570495605,18000,0.0,
1981-06-23 00:00:00+00:00,0.0,2.875,2.75,2.1047892570495605,171200,0.0,
1981-06-24 00:00:00+00:00,0.0,2.875,2.75,2.1047892570495605,37300,0.0,
1981-06-25 00:00:00+00:00,0.0,2.875,2.75,2.1047892570495605,12300,0.0,
1981-06-26 00:00:00+00:00,0.0,2.875,2.75,2.1047892570495605,53900,0.0,
1981-06-29 00:00:00+00:00,0.0,2.75,2.625,2.009117841720581,13800,0.0,
1981-06-30 00:00:00+00:00,0.0,2.75,2.625,2.009117841720581,19700,0.0,
1981-07-01 00:00:00+00:00,0.0,2.75,2.625,2.009117841720581,17600,0.0,
1981-07-02 00:00:00+00:00,0.0,2.75,2.625,2.009117841720581,46100,0.0,
1981-07-06 00:00:00+00:00,0.0,2.75,2.625,2.009117841720581,7300,0.0,
1981-07-07 00:00:00+00:00,0.0,2.75,2.5,1.9134448766708372,20100,0.0,
1981-07-08 00:00:00+00:00,0.0,2.75,2.625,2.009117841720581,19200,0.0,
1981-07-09 00:00:00+00:00,0.0,2.75,2.625,2.009117841720581,26500,0.0,
1981-07-10 00:00:00+00:00,0.0,2.75,2.625,2.009117841720581,10100,0.0,
1981-07-13 00:00:00+00:00,0.0,2.75,2.625,2.009117841720581,3900,0.0,
1981-07-14 00:00:00+00:00,0.0,2.625,2.5,1.9134448766708372,13100,0.0,
1981-07-15 00:00:00+00:00,0.0,2.625,2.5,1.9134448766708372,4900,0.0,
1981-07-16 00:00:00+00:00,0.0,2.75,2.625,2.009117841720581,64700,0.0,
1981-07-17 00:00:00+00:00,0.0,2.875,2.75,2.1047892570495605,34600,0.0,
