date,HHS_Open,HHS_High,HHS_Low,HHS_Close,HHS_Volume,HHS_Dividends,HHS_Stock Splits
1993-11-04 00:00:00+00:00,37.22222137451172,38.05555725097656,36.94444274902344,23.99686622619629,1266570,0.0,
1993-11-05 00:00:00+00:00,37.22222137451172,37.22222137451172,36.38888931274414,23.636009216308597,190305,0.0,
1993-11-08 00:00:00+00:00,36.38888931274414,36.66666793823242,36.11111068725586,23.636009216308597,57645,0.0,
1993-11-09 00:00:00+00:00,36.94444274902344,37.22222137451172,36.38888931274414,23.636009216308597,85725,0.0,
1993-11-10 00:00:00+00:00,36.38888931274414,36.94444274902344,36.11111068725586,23.99686622619629,70245,0.0,
1993-11-11 00:00:00+00:00,36.94444274902344,36.94444274902344,36.38888931274414,23.636009216308597,46620,0.0,
1993-11-12 00:00:00+00:00,36.38888931274414,36.66666793823242,36.11111068725586,23.636009216308597,55575,0.0,
1993-11-15 00:00:00+00:00,36.38888931274414,36.66666793823242,36.38888931274414,23.636009216308597,22365,0.0,
1993-11-16 00:00:00+00:00,36.11111068725586,36.11111068725586,35.83333206176758,23.27515983581543,43740,0.0,
1993-11-17 00:00:00+00:00,36.11111068725586,36.11111068725586,35.55555725097656,23.0947380065918,84465,0.0,
1993-11-18 00:00:00+00:00,35.55555725097656,35.55555725097656,35.27777862548828,22.9143009185791,65610,0.0,
1993-11-19 00:00:00+00:00,35.27777862548828,35.27777862548828,34.44444274902344,22.373022079467773,56520,0.0,
1993-11-22 00:00:00+00:00,34.72222137451172,34.72222137451172,34.16666793823242,22.373022079467773,18945,0.0,
1993-11-23 00:00:00+00:00,34.44444274902344,34.72222137451172,33.88888931274414,22.01216697692871,14985,0.0,
1993-11-24 00:00:00+00:00,33.88888931274414,33.88888931274414,33.61111068725586,21.831727981567383,10080,0.0,
1993-11-26 00:00:00+00:00,33.61111068725586,34.16666793823242,33.61111068725586,22.01216697692871,2160,0.0,
1993-11-29 00:00:00+00:00,36.11111068725586,36.66666793823242,35.83333206176758,23.636009216308597,92700,0.0,
1993-11-30 00:00:00+00:00,36.66666793823242,36.94444274902344,36.38888931274414,23.81644058227539,31635,0.0,
1993-12-01 00:00:00+00:00,36.66666793823242,38.33333206176758,36.66666793823242,24.89900779724121,70695,0.0,
1993-12-02 00:00:00+00:00,38.88888931274414,38.88888931274414,38.05555725097656,24.89900779724121,46260,0.0,
1993-12-03 00:00:00+00:00,38.05555725097656,40.27777862548828,37.77777862548828,25.9815731048584,48600,0.0,
1993-12-06 00:00:00+00:00,40.55555725097656,42.22222137451172,40.0,26.16202163696289,41580,0.0,
1993-12-07 00:00:00+00:00,40.0,40.0,39.44444274902344,25.6207218170166,9090,0.0,
1993-12-08 00:00:00+00:00,39.16666793823242,39.72222137451172,39.16666793823242,25.8011417388916,10800,0.0,
