date,REG_Open,REG_High,REG_Low,REG_Close,REG_Volume,REG_Dividends,REG_Stock Splits
1993-10-29 00:00:00+00:00,19.25,19.375,19.25,3.765703678131104,1381000,0.0,
1993-11-01 00:00:00+00:00,19.25,19.375,19.25,3.7901554107666016,136800,0.0,
1993-11-02 00:00:00+00:00,19.25,19.375,18.625,3.667893409729004,182600,0.0,
1993-11-03 00:00:00+00:00,18.5,19.0,18.375,3.69234299659729,146300,0.0,
1993-11-04 00:00:00+00:00,18.75,18.875,18.75,3.667893409729004,48300,0.0,
1993-11-05 00:00:00+00:00,18.75,18.875,18.75,3.667893409729004,13900,0.0,
1993-11-08 00:00:00+00:00,18.75,18.875,18.75,3.69234299659729,22800,0.0,
1993-11-09 00:00:00+00:00,18.875,19.0,18.75,3.667893409729004,10600,0.0,
1993-11-10 00:00:00+00:00,18.875,19.0,18.875,3.69234299659729,143900,0.0,
1993-11-11 00:00:00+00:00,18.875,18.875,18.875,3.69234299659729,29800,0.0,
1993-11-12 00:00:00+00:00,18.875,19.0,18.875,3.716798067092896,10500,0.0,
1993-11-15 00:00:00+00:00,18.75,18.75,18.375,3.61898684501648,181600,0.0,
1993-11-16 00:00:00+00:00,18.375,18.5,18.375,3.5945346355438232,33400,0.0,
1993-11-17 00:00:00+00:00,18.5,18.5,18.25,3.570082664489746,73900,0.0,
1993-11-18 00:00:00+00:00,18.25,18.25,17.625,3.447816610336304,75900,0.0,
1993-11-19 00:00:00+00:00,17.0,17.125,16.375,3.301104784011841,126700,0.0,
1993-11-22 00:00:00+00:00,16.625,16.875,16.5,3.301104784011841,32100,0.0,
1993-11-23 00:00:00+00:00,16.75,17.125,16.75,3.3500075340271,20300,0.0,
1993-11-24 00:00:00+00:00,16.875,17.125,16.875,3.301104784011841,9800,0.0,
1993-11-26 00:00:00+00:00,17.0,17.0,17.0,3.325556993484497,2500,0.0,
1993-11-29 00:00:00+00:00,17.125,17.125,16.875,3.3500075340271,48100,0.0,
1993-11-30 00:00:00+00:00,17.125,17.25,16.875,3.3500075340271,38500,0.0,
1993-12-01 00:00:00+00:00,17.125,17.125,17.0,3.325556993484497,12700,0.0,
1993-12-02 00:00:00+00:00,17.0,17.125,16.875,3.3500075340271,14800,0.0,
1993-12-03 00:00:00+00:00,17.125,17.625,17.125,3.423365592956543,19600,0.0,
1993-12-06 00:00:00+00:00,17.5,17.5,17.25,3.423365592956543,6000,0.0,
1993-12-07 00:00:00+00:00,17.5,17.5,17.0,3.374460935592652,25100,0.0,
1993-12-08 00:00:00+00:00,17.25,17.25,16.875,3.3500075340271,8500,0.0,
1993-12-09 00:00:00+00:00,17.25,17.25,16.625,3.301104784011841,10600,0.0,
1993-12-10 00:00:00+00:00,16.875,16.875,16.75,3.301104784011841,9500,0.0,
1993-12-13 00:00:00+00:00,16.625,16.625,16.375,3.227745294570923,69000,0.0,
1993-12-14 00:00:00+00:00,16.625,17.0,16.5,3.276650667190552,18000,0.0,
1993-12-15 00:00:00+00:00,16.625,16.875,16.5,3.252197742462158,36100,0.0,
1993-12-16 00:00:00+00:00,16.625,16.625,16.5,3.227745294570923,7900,0.0,
1993-12-17 00:00:00+00:00,16.5,16.625,16.375,3.227745294570923,9600,0.0,
1993-12-20 00:00:00+00:00,16.5,16.5,15.75,3.129934549331665,58500,0.0,
1993-12-21 00:00:00+00:00,15.75,16.25,15.75,3.154388427734375,54400,0.0,
1993-12-22 00:00:00+00:00,16.25,16.5,16.25,3.227745294570923,21800,0.0,
