date,SBAC_Open,SBAC_High,SBAC_Low,SBAC_Close,SBAC_Volume,SBAC_Dividends,SBAC_Stock Splits
1999-06-16 00:00:00+00:00,9.0625,9.3125,8.125,8.44216537475586,5718100,0.0,
1999-06-17 00:00:00+00:00,8.75,8.875,7.75,8.263811111450195,542200,0.0,
1999-06-18 00:00:00+00:00,8.5625,9.125,8.5625,8.561070442199707,557600,0.0,
1999-06-21 00:00:00+00:00,9.0625,9.75,9.0,8.798880577087402,218000,0.0,
1999-06-22 00:00:00+00:00,9.0625,9.5,9.0,8.620524406433105,281400,0.0,
1999-06-23 00:00:00+00:00,9.0,9.5,9.0,8.917780876159668,395200,0.0,
1999-06-24 00:00:00+00:00,9.375,9.625,9.0,8.679973602294922,238100,0.0,
1999-06-25 00:00:00+00:00,9.125,9.21875,9.0,8.739424705505371,172400,0.0,
1999-06-28 00:00:00+00:00,9.0,9.375,9.0,8.798880577087402,81400,0.0,
1999-06-29 00:00:00+00:00,9.375,10.25,9.25,8.917780876159668,321500,0.0,
1999-06-30 00:00:00+00:00,9.375,10.125,9.375,9.215041160583496,429900,0.0,
1999-07-01 00:00:00+00:00,9.8125,10.375,9.5,9.452850341796877,363500,0.0,
1999-07-02 00:00:00+00:00,10.125,10.875,10.125,10.344626426696776,460800,0.0,
1999-07-06 00:00:00+00:00,10.875,11.0,10.5,10.166272163391112,565900,0.0,
1999-07-07 00:00:00+00:00,10.6875,11.125,10.375,10.344626426696776,270500,0.0,
1999-07-08 00:00:00+00:00,11.75,13.0,11.375,11.652569770812988,1793800,0.0,
1999-07-09 00:00:00+00:00,12.25,13.75,12.1875,12.841605186462402,1738400,0.0,
1999-07-12 00:00:00+00:00,14.0,15.375,13.625,14.090094566345217,5465000,0.0,
1999-07-13 00:00:00+00:00,15.3125,15.3125,12.625,12.722702026367188,2568600,0.0,
1999-07-14 00:00:00+00:00,13.75,13.75,11.875,12.722702026367188,970700,0.0,
1999-07-15 00:00:00+00:00,13.8125,14.0,12.75,12.484895706176758,572700,0.0,
1999-07-16 00:00:00+00:00,13.375,14.25,13.1875,13.317221641540527,793100,0.0,
1999-07-19 00:00:00+00:00,14.25,14.375,13.5,13.317221641540527,336500,0.0,
1999-07-20 00:00:00+00:00,14.0,14.0625,12.5,12.306537628173828,324300,0.0,
1999-07-21 00:00:00+00:00,13.0,13.3125,12.5,11.890375137329102,237600,0.0,
1999-07-22 00:00:00+00:00,12.75,12.75,11.875,11.414762496948242,165100,0.0,
1999-07-23 00:00:00+00:00,12.125,12.25,11.0,10.939146041870115,178500,0.0,
1999-07-26 00:00:00+00:00,11.5,11.5,9.75,9.869012832641602,363400,0.0,
