date,PLCE_Open,PLCE_High,PLCE_Low,PLCE_Close,PLCE_Volume,PLCE_Dividends,PLCE_Stock Splits
1997-09-19 00:00:00+00:00,16.125,16.125,15.125,14.425485610961914,3815400,0.0,
1997-09-22 00:00:00+00:00,15.875,16.0,15.375,14.31099796295166,560500,0.0,
1997-09-23 00:00:00+00:00,15.875,16.0,15.375,14.31099796295166,190800,0.0,
1997-09-24 00:00:00+00:00,15.625,15.875,15.0,14.082023620605469,457300,0.0,
1997-09-25 00:00:00+00:00,15.375,15.625,15.25,14.253754615783691,274800,0.0,
1997-09-26 00:00:00+00:00,15.625,15.625,15.25,14.082023620605469,286700,0.0,
1997-09-29 00:00:00+00:00,15.125,15.125,14.0,12.93714427947998,295500,0.0,
1997-09-30 00:00:00+00:00,14.0,14.5,14.0,13.28060531616211,246200,0.0,
1997-10-01 00:00:00+00:00,14.5,14.5,14.0,12.82265567779541,296200,0.0,
1997-10-02 00:00:00+00:00,14.25,14.25,13.875,12.82265567779541,379600,0.0,
1997-10-03 00:00:00+00:00,14.25,14.25,14.0,13.051630020141602,367500,0.0,
1997-10-06 00:00:00+00:00,14.125,14.125,14.0,12.93714427947998,111100,0.0,
1997-10-07 00:00:00+00:00,14.0625,14.1875,14.0,12.87989616394043,134500,0.0,
1997-10-08 00:00:00+00:00,14.0625,14.5,14.0625,13.051630020141602,76700,0.0,
1997-10-09 00:00:00+00:00,14.1875,14.25,14.0,12.93714427947998,241400,0.0,
1997-10-10 00:00:00+00:00,14.0,14.125,13.75,12.59367847442627,310300,0.0,
1997-10-13 00:00:00+00:00,13.75,13.75,12.875,12.250216484069824,217400,0.0,
1997-10-14 00:00:00+00:00,8.0,8.25,7.4375,6.8979010581970215,4399800,0.0,
1997-10-15 00:00:00+00:00,7.5625,7.625,6.875,6.411327838897705,1079200,0.0,
1997-10-16 00:00:00+00:00,7.0,7.0625,6.25,6.067863464355469,699800,0.0,
1997-10-17 00:00:00+00:00,6.375,6.5625,6.125,5.838887691497803,173300,0.0,
1997-10-20 00:00:00+00:00,6.375,6.75,6.375,5.953373908996582,244000,0.0,
1997-10-21 00:00:00+00:00,6.625,7.125,6.5,6.067863464355469,418000,0.0,
1997-10-22 00:00:00+00:00,6.625,6.75,6.4375,5.896131038665772,256900,0.0,
1997-10-23 00:00:00+00:00,5.9375,6.5,5.9375,5.6671552658081055,135700,0.0,
1997-10-24 00:00:00+00:00,6.1875,6.4375,6.0625,5.838887691497803,118500,0.0,
1997-10-27 00:00:00+00:00,6.125,6.375,5.125,4.694007873535156,302300,0.0,
1997-10-28 00:00:00+00:00,4.6875,6.0,4.5,5.151958465576172,410400,0.0,
1997-10-29 00:00:00+00:00,5.75,5.75,5.5,5.094714641571045,43600,0.0,
1997-10-30 00:00:00+00:00,5.5,6.1875,5.375,5.6671552658081055,163000,0.0,
1997-10-31 00:00:00+00:00,6.1875,6.25,5.96875,5.49542236328125,59100,0.0,
1997-11-03 00:00:00+00:00,6.1875,6.25,6.0,5.60991096496582,42700,0.0,
1997-11-04 00:00:00+00:00,6.125,6.1875,5.875,5.43817949295044,73100,0.0,
1997-11-05 00:00:00+00:00,5.875,6.25,5.875,5.49542236328125,47300,0.0,
1997-11-06 00:00:00+00:00,6.125,6.875,6.0,6.067863464355469,111600,0.0,
1997-11-07 00:00:00+00:00,6.5,6.625,6.25,5.953373908996582,57700,0.0,
1997-11-10 00:00:00+00:00,6.625,6.625,6.0,5.49542236328125,61600,0.0,
1997-11-11 00:00:00+00:00,6.125,6.125,6.0,5.60991096496582,8700,0.0,
1997-11-12 00:00:00+00:00,6.125,6.25,5.8125,5.323690414428711,28400,0.0,
1997-11-13 00:00:00+00:00,6.0,6.0,5.75,5.266446590423584,23100,0.0,
1997-11-14 00:00:00+00:00,5.75,5.875,5.625,5.151958465576172,9700,0.0,
1997-11-17 00:00:00+00:00,5.875,5.875,5.625,5.209202289581299,17700,0.0,
1997-11-18 00:00:00+00:00,5.75,5.875,5.625,5.151958465576172,27300,0.0,
1997-11-19 00:00:00+00:00,5.5,6.0,5.375,5.03747034072876,145900,0.0,
1997-11-20 00:00:00+00:00,5.5,5.8125,5.375,5.03747034072876,262700,0.0,
1997-11-21 00:00:00+00:00,5.5,5.5,5.25,4.808495998382568,138500,0.0,
1997-11-24 00:00:00+00:00,5.25,5.3125,4.875,4.522274017333984,47800,0.0,
1997-11-25 00:00:00+00:00,4.875,5.0,4.6875,4.293299198150635,98200,0.0,
1997-11-26 00:00:00+00:00,4.6875,4.8125,4.6875,4.350543022155762,103000,0.0,
1997-11-28 00:00:00+00:00,4.75,5.0,4.6875,4.579519271850586,118300,0.0,
1997-12-01 00:00:00+00:00,5.0,5.0,4.875,4.522274017333984,31800,0.0,
1997-12-02 00:00:00+00:00,4.9375,4.9375,4.8125,4.407787799835205,171700,0.0,
1997-12-03 00:00:00+00:00,4.8125,5.0,4.8125,4.436408996582031,85400,0.0,
1997-12-04 00:00:00+00:00,5.0,5.0,4.875,4.522274017333984,171300,0.0,
1997-12-05 00:00:00+00:00,4.90625,5.25,4.84375,4.751251697540283,193500,0.0,
1997-12-08 00:00:00+00:00,5.1875,5.875,5.1875,5.151958465576172,127100,0.0,
