date,CASI_Open,CASI_High,CASI_Low,CASI_Close,CASI_Volume,CASI_Dividends,CASI_Stock Splits
1996-06-12 00:00:00+00:00,1760.0,1787.5,1718.75,1732.5,16740,,
1996-06-13 00:00:00+00:00,1746.25,1746.25,1650.0,1677.5,8810,,
1996-06-14 00:00:00+00:00,1663.75,1677.5,1650.0,1677.5,1858,,
1996-06-17 00:00:00+00:00,1691.25,1691.25,1650.0,1677.5,1507,,
1996-06-18 00:00:00+00:00,1650.0,1677.5,1636.25,1650.0,1693,,
1996-06-19 00:00:00+00:00,1650.0,1677.5,1650.0,1677.5,1104,,
1996-06-20 00:00:00+00:00,1650.0,1677.5,1650.0,1677.5,1196,,
1996-06-21 00:00:00+00:00,1650.0,1677.5,1650.0,1663.75,105,,
1996-06-24 00:00:00+00:00,1650.0,1677.5,1650.0,1677.5,55,,
1996-06-25 00:00:00+00:00,1663.75,1677.5,1650.0,1650.0,79,,
1996-06-26 00:00:00+00:00,1663.75,1691.25,1650.0,1677.5,343,,
1996-06-27 00:00:00+00:00,1677.5,1677.5,1650.0,1677.5,240,,
1996-06-28 00:00:00+00:00,1650.0,1650.0,1650.0,1650.0,141,,
1996-07-01 00:00:00+00:00,1650.0,1663.75,1650.0,1663.75,14,,
1996-07-02 00:00:00+00:00,1677.5,1677.5,1650.0,1650.0,474,,
1996-07-03 00:00:00+00:00,1650.0,1677.5,1650.0,1650.0,1427,,
1996-07-05 00:00:00+00:00,1650.0,1663.75,1636.25,1663.75,75,,
1996-07-08 00:00:00+00:00,1636.25,1636.25,1636.25,1636.25,55,,
1996-07-09 00:00:00+00:00,1663.75,1663.75,1636.25,1636.25,138,,
1996-07-10 00:00:00+00:00,1636.25,1636.25,1567.5,1567.5,475,,
1996-07-11 00:00:00+00:00,1567.5,1567.5,1278.75,1278.75,871,,
1996-07-12 00:00:00+00:00,1278.75,1278.75,1196.25,1196.25,278,,
1996-07-15 00:00:00+00:00,1237.5,1375.0,1196.25,1223.75,461,,
1996-07-16 00:00:00+00:00,1210.0,1237.5,1127.5,1141.25,167,,
1996-07-17 00:00:00+00:00,1155.0,1182.5,1127.5,1141.25,463,,
1996-07-18 00:00:00+00:00,1168.75,1237.5,1155.0,1210.0,583,,
1996-07-19 00:00:00+00:00,1237.5,1237.5,1182.5,1196.25,204,,
1996-07-22 00:00:00+00:00,1196.25,1196.25,1127.5,1155.0,239,,
1996-07-23 00:00:00+00:00,1196.25,1210.0,1168.75,1182.5,145,,
1996-07-24 00:00:00+00:00,1196.25,1223.75,1168.75,1223.75,13,,
1996-07-25 00:00:00+00:00,1223.75,1223.75,1168.75,1168.75,138,,
1996-07-26 00:00:00+00:00,1196.25,1196.25,1168.75,1168.75,52,,
1996-07-29 00:00:00+00:00,1155.0,1168.75,1127.5,1127.5,389,,
1996-07-30 00:00:00+00:00,1113.75,1113.75,1100.0,1100.0,164,,
1996-07-31 00:00:00+00:00,1100.0,1113.75,1072.5,1113.75,8,,
1996-08-01 00:00:00+00:00,1113.75,1113.75,1086.25,1086.25,46,,
1996-08-02 00:00:00+00:00,1113.75,1113.75,1086.25,1113.75,18,,
1996-08-05 00:00:00+00:00,1086.25,1113.75,976.25,990.0,512,,
1996-08-06 00:00:00+00:00,1003.75,1031.25,976.25,1031.25,42,,
1996-08-07 00:00:00+00:00,1031.25,1031.25,983.125,1017.5,130,,
1996-08-08 00:00:00+00:00,990.0,990.0,990.0,990.0,17,,
1996-08-09 00:00:00+00:00,1031.25,1031.25,990.0,1003.75,125,,
1996-08-12 00:00:00+00:00,1017.5,1017.5,976.25,1003.75,62,,
1996-08-13 00:00:00+00:00,976.25,1086.25,976.25,1086.25,1406,,
1996-08-14 00:00:00+00:00,1100.0,1265.0,1100.0,1223.75,498,,
1996-08-15 00:00:00+00:00,1292.5,1471.25,1292.5,1471.25,806,,
1996-08-16 00:00:00+00:00,1471.25,1540.0,1457.5,1540.0,306,,
1996-08-19 00:00:00+00:00,1567.5,1595.0,1485.0,1553.75,465,,
1996-08-20 00:00:00+00:00,1540.0,1540.0,1457.5,1485.0,648,,
1996-08-21 00:00:00+00:00,1526.25,1540.0,1485.0,1512.5,564,,
