date,HCSG_Open,HCSG_High,HCSG_Low,HCSG_Close,HCSG_Volume,HCSG_Dividends,HCSG_Stock Splits
1983-11-29 00:00:00+00:00,0.0,0.3219020068645477,0.3023929893970489,0.1744004935026168,561273,0.0,
1983-11-30 00:00:00+00:00,0.0,0.3219020068645477,0.3121480047702789,0.1800265908241272,115330,0.0,
1983-12-01 00:00:00+00:00,0.0,0.3219020068645477,0.3121480047702789,0.1800265908241272,222971,0.0,
1983-12-02 00:00:00+00:00,0.0,0.3219020068645477,0.3023929893970489,0.1744004935026168,325487,0.0,
1983-12-05 00:00:00+00:00,0.0,0.3121480047702789,0.2926380038261413,0.1687745153903961,220409,0.0,
1983-12-06 00:00:00+00:00,0.0,0.3121480047702789,0.2926380038261413,0.1687745153903961,271666,0.0,
1983-12-07 00:00:00+00:00,0.0,0.3121480047702789,0.2828840017318725,0.1631490290164947,46132,0.0,
1983-12-08 00:00:00+00:00,0.0,0.3121480047702789,0.2926380038261413,0.1687745153903961,74324,0.0,
1983-12-09 00:00:00+00:00,0.0,0.3121480047702789,0.2926380038261413,0.1687745153903961,53821,0.0,
1983-12-12 00:00:00+00:00,0.0,0.3121480047702789,0.2926380038261413,0.1687745153903961,35880,0.0,
1983-12-13 00:00:00+00:00,0.0,0.3219020068645477,0.2926380038261413,0.1687745153903961,148648,0.0,
1983-12-14 00:00:00+00:00,0.0,0.3170250058174133,0.2926380038261413,0.1687745153903961,51258,0.0,
1983-12-15 00:00:00+00:00,0.0,0.3170250058174133,0.2926380038261413,0.1687745153903961,12814,0.0,
1983-12-16 00:00:00+00:00,0.2926380038261413,0.2926380038261413,0.2926380038261413,0.1687745153903961,0,0.0,
1983-12-19 00:00:00+00:00,0.0,0.3121480047702789,0.2926380038261413,0.1687745153903961,5126,0.0,
1983-12-20 00:00:00+00:00,0.0,0.3316569924354553,0.3023929893970489,0.1744004935026168,112767,0.0,
1983-12-21 00:00:00+00:00,0.0,0.3414109945297241,0.3121480047702789,0.1800265908241272,48695,0.0,
1983-12-22 00:00:00+00:00,0.0,0.3414109945297241,0.3121480047702789,0.1800265908241272,58946,0.0,
1983-12-23 00:00:00+00:00,0.0,0.3414109945297241,0.3121480047702789,0.1800265908241272,23066,0.0,
1983-12-27 00:00:00+00:00,0.0,0.3219020068645477,0.2828840017318725,0.1631490290164947,102516,0.0,
1983-12-28 00:00:00+00:00,0.0,0.3219020068645477,0.3023929893970489,0.1744004935026168,38443,0.0,
1983-12-29 00:00:00+00:00,0.0,0.3219020068645477,0.3023929893970489,0.1744004935026168,38443,0.0,
1983-12-30 00:00:00+00:00,0.0,0.3609209954738617,0.3219020068645477,0.1856521219015121,222971,0.0,
1984-01-03 00:00:00+00:00,0.0,0.3804300129413605,0.3511660099029541,0.2025296837091446,161462,0.0,
1984-01-04 00:00:00+00:00,0.0,0.3609209954738617,0.3316569924354553,0.1912781149148941,48695,0.0,
