date,STAF_Open,STAF_High,STAF_Low,STAF_Close,STAF_Volume,STAF_Dividends,STAF_Stock Splits
2013-03-27 00:00:00+00:00,46500.0,46500.0,30000.0,43328.12109375,0,0.0,
2013-03-28 00:00:00+00:00,44700.0,44700.0,44700.0,43328.12109375,0,0.0,
2013-04-01 00:00:00+00:00,44400.0,44400.0,37500.0,36349.09375,0,0.0,
2013-04-02 00:00:00+00:00,37500.0,40500.0,37500.0,39257.01953125,0,0.0,
2013-04-03 00:00:00+00:00,40500.0,44700.0,40500.0,43328.12109375,0,0.0,
2013-04-04 00:00:00+00:00,45000.0,45000.0,45000.0,43618.91015625,0,0.0,
2013-04-05 00:00:00+00:00,45000.0,45000.0,45000.0,43618.91015625,0,0.0,
2013-04-08 00:00:00+00:00,45000.0,60000.0,45000.0,58158.546875,0,0.0,
2013-04-09 00:00:00+00:00,45000.0,45000.0,45000.0,43618.91015625,0,0.0,
2013-04-10 00:00:00+00:00,60000.0,60000.0,60000.0,58158.546875,0,0.0,
2013-04-11 00:00:00+00:00,60000.0,60000.0,60000.0,58158.546875,0,0.0,
2013-04-12 00:00:00+00:00,60000.0,60000.0,60000.0,58158.546875,0,0.0,
2013-04-15 00:00:00+00:00,60000.0,67500.0,60000.0,65428.36328125,0,0.0,
2013-04-16 00:00:00+00:00,60300.0,67200.0,60300.0,65137.56640625,0,0.0,
2013-04-17 00:00:00+00:00,60600.0,67200.0,60600.0,65137.56640625,0,0.0,
2013-04-18 00:00:00+00:00,63000.0,63000.0,63000.0,61066.4765625,0,0.0,
2013-04-19 00:00:00+00:00,66000.0,66000.0,66000.0,63974.40234375,0,0.0,
2013-04-22 00:00:00+00:00,60000.0,66000.0,60000.0,63974.40234375,0,0.0,
2013-04-23 00:00:00+00:00,60000.0,60000.0,60000.0,58158.546875,0,0.0,
2013-04-24 00:00:00+00:00,60000.0,63000.0,60000.0,61066.4765625,0,0.0,
2013-04-25 00:00:00+00:00,52500.0,63000.0,52500.0,61066.4765625,0,0.0,
