date,HEI-A_Open,HEI-A_High,HEI-A_Low,HEI-A_Close,HEI-A_Volume,HEI-A_Dividends,HEI-A_Stock Splits
1998-04-27 00:00:00+00:00,4.648083209991455,4.648083209991455,4.569302082061768,3.95565676689148,6347,0.0,
1998-04-28 00:00:00+00:00,4.588996887207031,4.588996887207031,4.529911041259766,3.938680648803711,36811,0.0,
1998-04-29 00:00:00+00:00,4.549606800079346,4.549606800079346,4.510216236114502,3.8877499103546143,8885,0.0,
1998-04-30 00:00:00+00:00,4.49052095413208,4.510216236114502,4.431435108184815,3.836818218231201,51408,0.0,
1998-05-01 00:00:00+00:00,4.411739826202393,4.49052095413208,4.411739826202393,3.836818218231201,42523,0.0,
1998-05-04 00:00:00+00:00,4.451129913330078,4.49052095413208,4.431435108184815,3.870773077011109,19675,0.0,
1998-05-05 00:00:00+00:00,4.529911041259766,4.569302082061768,4.510216236114502,3.938680648803711,17136,0.0,
1998-05-06 00:00:00+00:00,4.569302082061768,4.588996887207031,4.49052095413208,3.870773077011109,23483,0.0,
1998-05-07 00:00:00+00:00,4.49052095413208,4.49052095413208,4.451129913330078,3.836818218231201,6347,0.0,
1998-05-08 00:00:00+00:00,4.451129913330078,4.529911041259766,4.451129913330078,3.904726028442383,19040,0.0,
1998-05-11 00:00:00+00:00,4.510216236114502,4.628387928009033,4.510216236114502,3.938680648803711,24752,0.0,
1998-05-12 00:00:00+00:00,4.588996887207031,4.648083209991455,4.510216236114502,3.904726028442383,47600,0.0,
1998-05-13 00:00:00+00:00,4.529911041259766,4.529911041259766,4.529911041259766,3.904726028442383,0,0.0,
1998-05-14 00:00:00+00:00,4.529911041259766,4.529911041259766,4.3920440673828125,3.785887718200684,37446,0.0,
1998-05-15 00:00:00+00:00,4.372348785400391,4.3920440673828125,4.352653980255127,3.751933097839356,8885,0.0,
1998-05-18 00:00:00+00:00,4.313262939453125,4.411739826202393,4.313262939453125,3.8028624057769775,32368,0.0,
1998-05-19 00:00:00+00:00,4.411739826202393,4.431435108184815,4.411739826202393,3.8113532066345215,12059,0.0,
1998-05-20 00:00:00+00:00,4.845036029815674,4.923817157745361,4.648083209991455,4.006589412689209,86950,0.0,
1998-05-21 00:00:00+00:00,4.648083209991455,4.648083209991455,4.529911041259766,3.904726028442383,31099,0.0,
1998-05-22 00:00:00+00:00,4.569302082061768,4.569302082061768,4.529911041259766,3.904726028442383,3173,0.0,
1998-05-26 00:00:00+00:00,4.549606800079346,4.569302082061768,4.411739826202393,3.8028624057769775,53312,0.0,
1998-05-27 00:00:00+00:00,4.372348785400391,4.372348785400391,4.352653980255127,3.751933097839356,4443,0.0,
1998-05-28 00:00:00+00:00,4.352653980255127,4.352653980255127,4.313262939453125,3.751933097839356,14597,0.0,
1998-05-29 00:00:00+00:00,4.372348785400391,4.3920440673828125,4.332959175109863,3.734955072402954,17771,0.0,
1998-06-01 00:00:00+00:00,4.332959175109863,4.569302082061768,4.332959175109863,3.8028624057769775,45062,0.0,
1998-06-02 00:00:00+00:00,4.411739826202393,4.470826148986816,4.411739826202393,3.8537964820861816,6347,0.0,
1998-06-03 00:00:00+00:00,4.49052095413208,4.49052095413208,4.49052095413208,3.870773077011109,635,0.0,
1998-06-04 00:00:00+00:00,4.480672836303711,4.510216236114502,4.480672836303711,3.8877499103546143,1269,0.0,
1998-06-05 00:00:00+00:00,4.510216236114502,4.510216236114502,4.510216236114502,3.8877499103546143,0,0.0,
1998-06-08 00:00:00+00:00,4.510216236114502,4.510216236114502,4.451129913330078,3.836818218231201,34907,0.0,
1998-06-09 00:00:00+00:00,4.431435108184815,4.470826148986816,4.372348785400391,3.768908262252808,28560,0.0,
