date,MS_Open,MS_High,MS_Low,MS_Close,MS_Volume,MS_Dividends,MS_Stock Splits
1993-02-23 00:00:00+00:00,8.0,8.125,7.65625,3.621772527694702,40594800,0.0,
1993-02-24 00:00:00+00:00,7.875,8.0625,7.78125,3.724000930786133,9426400,0.0,
1993-02-25 00:00:00+00:00,8.0,8.15625,7.96875,3.811621904373169,5229200,0.0,
1993-02-26 00:00:00+00:00,8.15625,8.28125,8.03125,3.870038509368897,2761200,0.0,
1993-03-01 00:00:00+00:00,8.1875,8.21875,8.0,3.738602638244629,3014400,0.0,
1993-03-02 00:00:00+00:00,8.0625,8.25,8.03125,3.840829849243164,3022800,0.0,
1993-03-03 00:00:00+00:00,8.1875,8.3125,8.125,3.826225996017456,2808800,0.0,
1993-03-04 00:00:00+00:00,8.15625,8.25,8.15625,3.811621904373169,1783600,0.0,
1993-03-05 00:00:00+00:00,8.125,8.34375,8.0,3.884643077850342,3868800,0.0,
1993-03-08 00:00:00+00:00,8.25,8.3125,8.1875,3.870038509368897,2516000,0.0,
1993-03-09 00:00:00+00:00,8.25,8.625,8.25,3.986870050430298,2449200,0.0,
1993-03-10 00:00:00+00:00,8.46875,8.90625,8.4375,4.147514343261719,3192800,0.0,
1993-03-11 00:00:00+00:00,8.96875,8.96875,8.78125,4.147514343261719,1276400,0.0,
1993-03-12 00:00:00+00:00,8.8125,9.0625,8.5,4.220533847808838,2958800,0.0,
1993-03-15 00:00:00+00:00,9.0,9.0,8.8125,4.147514343261719,1858400,0.0,
1993-03-16 00:00:00+00:00,8.8125,8.90625,8.65625,4.05988883972168,2182000,0.0,
1993-03-17 00:00:00+00:00,8.6875,8.78125,8.59375,4.103702068328857,2413600,0.0,
1993-03-18 00:00:00+00:00,8.75,9.03125,8.75,4.205932140350342,1765200,0.0,
1993-03-19 00:00:00+00:00,9.0625,9.0625,8.90625,4.162116050720215,2397600,0.0,
1993-03-22 00:00:00+00:00,8.9375,8.9375,8.78125,4.147514343261719,729200,0.0,
