date,CIB_Open,CIB_High,CIB_Low,CIB_Close,CIB_Volume,CIB_Dividends,CIB_Stock Splits
1995-07-26 00:00:00+00:00,14.5,14.875,14.5,3.9284744262695312,1130300,0.0,
1995-07-27 00:00:00+00:00,14.5,14.625,14.5,3.9284744262695312,512400,0.0,
1995-07-28 00:00:00+00:00,14.625,14.625,14.25,3.860741376876831,131300,0.0,
1995-07-31 00:00:00+00:00,14.25,14.375,14.125,3.8268775939941406,34400,0.0,
1995-08-01 00:00:00+00:00,14.25,14.25,13.25,3.6575448513031006,45300,0.0,
1995-08-02 00:00:00+00:00,13.5,14.0,13.5,3.7930078506469727,52000,0.0,
1995-08-03 00:00:00+00:00,14.0,14.0,13.625,3.7591452598571777,16800,0.0,
1995-08-04 00:00:00+00:00,13.875,13.875,13.75,3.725277900695801,3000,0.0,
1995-08-07 00:00:00+00:00,14.0,14.0,14.0,3.7930078506469727,1100,0.0,
1995-08-08 00:00:00+00:00,14.0,14.0,13.625,3.69141149520874,15000,0.0,
1995-08-09 00:00:00+00:00,13.75,13.75,13.625,3.69141149520874,2700,0.0,
1995-08-10 00:00:00+00:00,13.625,13.625,13.625,3.69141149520874,1300,0.0,
1995-08-11 00:00:00+00:00,13.625,13.625,13.625,3.69141149520874,30000,0.0,
1995-08-14 00:00:00+00:00,13.75,13.75,13.625,3.69141149520874,1000,0.0,
1995-08-15 00:00:00+00:00,13.75,13.875,13.75,3.7591452598571777,5500,0.0,
1995-08-16 00:00:00+00:00,13.875,13.875,12.875,3.488214492797852,65600,0.0,
1995-08-17 00:00:00+00:00,13.0,13.0,12.25,3.3188843727111816,19300,0.0,
1995-08-18 00:00:00+00:00,12.5,12.75,12.5,3.454348087310791,12100,0.0,
1995-08-21 00:00:00+00:00,12.875,13.0,12.875,3.5220816135406494,2500,0.0,
1995-08-22 00:00:00+00:00,13.125,13.5,13.125,3.6575448513031006,34400,0.0,
1995-08-23 00:00:00+00:00,13.5,14.0,13.5,3.709822654724121,52000,0.067,
1995-08-24 00:00:00+00:00,13.75,13.75,13.5,3.709822654724121,45800,0.0,
1995-08-25 00:00:00+00:00,13.75,13.875,13.375,3.6417527198791504,14700,0.0,
1995-08-28 00:00:00+00:00,13.5,13.5,13.25,3.675788164138794,52000,0.0,
1995-08-29 00:00:00+00:00,13.5,13.75,13.5,3.709822654724121,71800,0.0,
1995-08-30 00:00:00+00:00,13.75,13.75,13.5,3.675788164138794,31300,0.0,
1995-08-31 00:00:00+00:00,13.5,13.75,13.5,3.7438580989837646,11400,0.0,
1995-09-01 00:00:00+00:00,13.875,13.875,13.875,3.7778918743133545,14500,0.0,
1995-09-05 00:00:00+00:00,13.875,13.875,13.75,3.7778918743133545,30100,0.0,
1995-09-06 00:00:00+00:00,13.875,14.0,13.75,3.7438580989837646,70300,0.0,
1995-09-07 00:00:00+00:00,13.875,13.875,13.75,3.7778918743133545,75400,0.0,
1995-09-08 00:00:00+00:00,13.875,13.875,13.75,3.7438580989837646,43500,0.0,
1995-09-11 00:00:00+00:00,13.875,13.875,13.625,3.709822654724121,12000,0.0,
1995-09-12 00:00:00+00:00,13.75,13.75,13.75,3.7438580989837646,500,0.0,
1995-09-13 00:00:00+00:00,13.75,13.75,13.75,3.7438580989837646,1000,0.0,
1995-09-14 00:00:00+00:00,13.75,13.75,13.75,3.7438580989837646,5100,0.0,
1995-09-15 00:00:00+00:00,13.625,13.625,13.5,3.675788164138794,2100,0.0,
1995-09-18 00:00:00+00:00,13.5,13.5,13.5,3.675788164138794,2800,0.0,
1995-09-19 00:00:00+00:00,13.625,13.625,13.5,3.709822654724121,80600,0.0,
1995-09-20 00:00:00+00:00,13.625,13.625,13.375,3.6417527198791504,11600,0.0,
1995-09-21 00:00:00+00:00,13.375,13.75,13.375,3.761859655380249,39000,0.064,
1995-09-22 00:00:00+00:00,13.75,13.75,13.5,3.693460702896118,9000,0.0,
1995-09-25 00:00:00+00:00,13.625,13.625,13.375,3.727660655975342,23700,0.0,
1995-09-26 00:00:00+00:00,13.75,13.875,13.625,3.727660655975342,63200,0.0,
1995-09-27 00:00:00+00:00,13.75,13.75,13.5,3.693460702896118,70400,0.0,
1995-09-28 00:00:00+00:00,13.625,13.625,13.375,3.6592631340026855,6100,0.0,
1995-09-29 00:00:00+00:00,13.25,13.625,13.25,3.727660655975342,8500,0.0,
1995-10-02 00:00:00+00:00,13.625,13.625,13.625,3.727660655975342,500,0.0,
1995-10-03 00:00:00+00:00,13.75,13.75,13.25,3.727660655975342,3100,0.0,
1995-10-04 00:00:00+00:00,13.75,13.75,13.375,3.693460702896118,14100,0.0,
1995-10-05 00:00:00+00:00,13.625,13.625,13.25,3.693460702896118,4900,0.0,
1995-10-06 00:00:00+00:00,13.625,13.625,13.0,3.6592631340026855,11500,0.0,
1995-10-09 00:00:00+00:00,13.5,13.5,13.375,3.6592631340026855,12500,0.0,
1995-10-10 00:00:00+00:00,13.5,13.5,13.0,3.556666851043701,32100,0.0,
1995-10-11 00:00:00+00:00,13.125,13.125,12.875,3.556666851043701,29200,0.0,
1995-10-12 00:00:00+00:00,13.125,13.125,12.875,3.522465944290161,51000,0.0,
1995-10-13 00:00:00+00:00,13.0,13.0,12.75,3.488269090652466,1000,0.0,
1995-10-16 00:00:00+00:00,12.875,13.125,12.875,3.590864658355713,6200,0.0,
1995-10-17 00:00:00+00:00,13.25,13.5,13.25,3.693460702896118,36800,0.0,
1995-10-18 00:00:00+00:00,13.625,13.625,13.25,3.6592631340026855,29500,0.0,
1995-10-19 00:00:00+00:00,13.5,14.0,13.5,3.7960550785064697,244600,0.0,
1995-10-20 00:00:00+00:00,14.0,14.0,13.625,3.7960550785064697,84800,0.0,
1995-10-23 00:00:00+00:00,13.875,13.875,13.75,3.8126940727233887,10500,0.185,
1995-10-24 00:00:00+00:00,13.75,13.75,13.75,3.8126940727233887,7300,0.0,
1995-10-25 00:00:00+00:00,13.875,13.875,13.875,3.847355604171753,24700,0.0,
1995-10-26 00:00:00+00:00,13.875,13.875,13.75,3.8126940727233887,32000,0.0,
1995-10-27 00:00:00+00:00,13.875,13.875,13.75,3.8126940727233887,29400,0.0,
1995-10-30 00:00:00+00:00,13.875,13.875,13.875,3.847355604171753,500,0.0,
1995-10-31 00:00:00+00:00,14.0,14.0,13.625,3.778033971786499,71400,0.0,
1995-11-01 00:00:00+00:00,13.75,13.875,13.625,3.778033971786499,33900,0.0,
1995-11-02 00:00:00+00:00,13.625,13.625,13.375,3.778033971786499,38900,0.0,
1995-11-03 00:00:00+00:00,13.75,13.75,13.375,3.7087113857269287,6100,0.0,
1995-11-06 00:00:00+00:00,13.5,13.75,13.375,3.7433736324310303,33400,0.0,
1995-11-07 00:00:00+00:00,13.625,13.625,13.5,3.7433736324310303,10500,0.0,
1995-11-08 00:00:00+00:00,13.625,13.625,13.625,3.778033971786499,500,0.0,
1995-11-09 00:00:00+00:00,13.625,13.625,13.375,3.7087113857269287,900,0.0,
1995-11-10 00:00:00+00:00,13.5,13.5,13.0,3.674052476882935,147000,0.0,
1995-11-13 00:00:00+00:00,13.375,13.375,13.375,3.7087113857269287,500,0.0,
