date,SFNC_Open,SFNC_High,SFNC_Low,SFNC_Close,SFNC_Volume,SFNC_Dividends,SFNC_Stock Splits
1985-03-14 00:00:00+00:00,0.0,2.8333330154418945,2.5833330154418945,0.939722776412964,0,0.0,
1985-03-15 00:00:00+00:00,0.0,2.8333330154418945,2.5833330154418945,0.939722776412964,2400,0.0,
1985-03-18 00:00:00+00:00,0.0,2.8333330154418945,2.5833330154418945,0.939722776412964,3600,0.0,
1985-03-19 00:00:00+00:00,0.0,2.8333330154418945,2.5833330154418945,0.939722776412964,0,0.0,
1985-03-20 00:00:00+00:00,0.0,2.8333330154418945,2.5833330154418945,0.939722776412964,6000,0.0,
1985-03-21 00:00:00+00:00,0.0,2.8333330154418945,2.5833330154418945,0.939722776412964,27600,0.0,
1985-03-22 00:00:00+00:00,0.0,2.75,2.5833330154418945,0.939722776412964,2400,0.0,
1985-03-25 00:00:00+00:00,0.0,2.75,2.5,0.9094094038009644,25200,0.0,
1985-03-26 00:00:00+00:00,0.0,2.75,2.5,0.9094094038009644,1200,0.0,
1985-03-27 00:00:00+00:00,2.5,2.5,2.5,0.9094094038009644,0,0.0,
1985-03-28 00:00:00+00:00,0.0,2.75,2.5,0.9094094038009644,27600,0.0,
1985-03-29 00:00:00+00:00,0.0,2.75,2.5,0.9094094038009644,3600,0.0,
1985-04-01 00:00:00+00:00,0.0,2.75,2.5,0.9094094038009644,27600,0.0,
1985-04-02 00:00:00+00:00,0.0,2.75,2.5,0.9094094038009644,2400,0.0,
1985-04-03 00:00:00+00:00,0.0,2.75,2.5,0.9094094038009644,2400,0.0,
1985-04-04 00:00:00+00:00,0.0,2.75,2.5,0.9094094038009644,1200,0.0,
1985-04-08 00:00:00+00:00,2.5,2.5,2.5,0.9094094038009644,0,0.0,
1985-04-09 00:00:00+00:00,0.0,2.75,2.5,0.9094094038009644,1200,0.0,
1985-04-10 00:00:00+00:00,0.0,2.75,2.5,0.9094094038009644,2400,0.0,
1985-04-11 00:00:00+00:00,0.0,2.75,2.5,0.9094094038009644,1200,0.0,
1985-04-12 00:00:00+00:00,0.0,2.75,2.5,0.9094094038009644,1200,0.0,
1985-04-15 00:00:00+00:00,2.5,2.5,2.5,0.9094094038009644,0,0.0,
1985-04-16 00:00:00+00:00,0.0,2.75,2.5,0.9094094038009644,3600,0.0,
1985-04-17 00:00:00+00:00,2.5,2.5,2.5,0.9094094038009644,0,0.0,
1985-04-18 00:00:00+00:00,0.0,2.75,2.5,0.9094094038009644,1200,0.0,
1985-04-19 00:00:00+00:00,2.5,2.5,2.5,0.9094094038009644,0,0.0,
1985-04-22 00:00:00+00:00,2.5,2.5,2.5,0.9094094038009644,0,0.0,
1985-04-23 00:00:00+00:00,2.5,2.5,2.5,0.9094094038009644,0,0.0,
1985-04-24 00:00:00+00:00,2.5,2.5,2.5,0.9094094038009644,0,0.0,
1985-04-25 00:00:00+00:00,2.5,2.5,2.5,0.9094094038009644,0,0.0,
1985-04-26 00:00:00+00:00,0.0,2.75,2.5833330154418945,0.939722776412964,2400,0.0,
1985-04-29 00:00:00+00:00,2.5833330154418945,2.5833330154418945,2.5833330154418945,0.939722776412964,0,0.0,
1985-04-30 00:00:00+00:00,2.5833330154418945,2.5833330154418945,2.5833330154418945,0.939722776412964,0,0.0,
1985-05-01 00:00:00+00:00,0.0,2.75,2.5833330154418945,0.939722776412964,0,0.0,
1985-05-02 00:00:00+00:00,0.0,1.4166669845581057,1.3125,0.4774397611618042,19200,0.0,
1985-05-03 00:00:00+00:00,0.0,1.4166669845581057,1.3125,0.4774397611618042,3600,0.0,
1985-05-06 00:00:00+00:00,0.0,1.4166669845581057,1.3125,0.4774397611618042,2400,0.0,
