date,TTI_Open,TTI_High,TTI_Low,TTI_Close,TTI_Volume,TTI_Dividends,TTI_Stock Splits
1990-04-03 00:00:00+00:00,2.444443941116333,2.777777910232544,2.444443941116333,2.567901611328125,12100500,0.0,
1990-04-04 00:00:00+00:00,2.75,2.944443941116333,2.722222089767456,2.700268030166626,3201750,0.0,
1990-04-05 00:00:00+00:00,2.8333330154418945,2.8333330154418945,2.694443941116333,2.5943753719329834,1045800,0.0,
1990-04-06 00:00:00+00:00,2.666666984558105,2.75,2.555556058883667,2.5943753719329834,829350,0.0,
1990-04-09 00:00:00+00:00,2.722222089767456,2.8611109256744385,2.638889074325561,2.726741313934326,223200,0.0,
1990-04-10 00:00:00+00:00,2.888889074325561,2.888889074325561,2.805556058883667,2.673795461654663,252450,0.0,
1990-04-11 00:00:00+00:00,2.8611109256744385,3.0,2.8333330154418945,2.726741313934326,717300,0.0,
1990-04-12 00:00:00+00:00,2.888889074325561,2.944443941116333,2.8333330154418945,2.753215074539185,287100,0.0,
1990-04-16 00:00:00+00:00,2.944443941116333,3.0,2.888889074325561,2.832634210586548,123300,0.0,
1990-04-17 00:00:00+00:00,2.916666984558105,3.0,2.888889074325561,2.859107494354248,214650,0.0,
1990-04-18 00:00:00+00:00,2.944443941116333,3.0,2.888889074325561,2.753215074539185,405000,0.0,
1990-04-19 00:00:00+00:00,2.944443941116333,2.944443941116333,2.8333330154418945,2.700268030166626,91800,0.0,
1990-04-20 00:00:00+00:00,2.944443941116333,2.944443941116333,2.722222089767456,2.647321939468384,226800,0.0,
1990-04-23 00:00:00+00:00,2.777777910232544,2.777777910232544,2.694443941116333,2.5943753719329834,161100,0.0,
1990-04-24 00:00:00+00:00,2.777777910232544,2.805556058883667,2.722222089767456,2.647321939468384,162450,0.0,
1990-04-25 00:00:00+00:00,2.805556058883667,2.805556058883667,2.722222089767456,2.5943753719329834,356850,0.0,
1990-04-26 00:00:00+00:00,2.777777910232544,2.777777910232544,2.722222089767456,2.620848655700684,150300,0.0,
1990-04-27 00:00:00+00:00,2.805556058883667,2.805556058883667,2.638889074325561,2.541429281234741,216450,0.0,
1990-04-30 00:00:00+00:00,2.722222089767456,2.75,2.666666984558105,2.620848655700684,99450,0.0,
1990-05-01 00:00:00+00:00,2.805556058883667,2.8333330154418945,2.777777910232544,2.700268030166626,761850,0.0,
1990-05-02 00:00:00+00:00,2.75,2.805556058883667,2.75,2.620848655700684,14400,0.0,
1990-05-03 00:00:00+00:00,2.8333330154418945,2.8333330154418945,2.75,2.700268030166626,139950,0.0,
1990-05-04 00:00:00+00:00,2.805556058883667,2.972222089767456,2.805556058883667,2.806160688400269,133650,0.0,
1990-05-07 00:00:00+00:00,2.888889074325561,3.138889074325561,2.888889074325561,2.991473913192749,175500,0.0,
1990-05-08 00:00:00+00:00,3.0833330154418945,3.1111109256744385,3.027777910232544,2.9650003910064697,83250,0.0,
1990-05-09 00:00:00+00:00,3.055556058883667,3.055556058883667,2.972222089767456,2.885581016540528,176400,0.0,
1990-05-10 00:00:00+00:00,2.972222089767456,3.027777910232544,2.944443941116333,2.859107494354248,88650,0.0,
1990-05-11 00:00:00+00:00,3.0,3.1111109256744385,2.944443941116333,2.912054538726806,183150,0.0,
1990-05-14 00:00:00+00:00,3.055556058883667,3.166666984558105,3.055556058883667,2.9650003910064697,248400,0.0,
1990-05-15 00:00:00+00:00,3.1111109256744385,3.194443941116333,3.0833330154418945,2.938527107238769,168300,0.0,
1990-05-16 00:00:00+00:00,3.166666984558105,3.166666984558105,3.0,2.885581016540528,211950,0.0,
1990-05-17 00:00:00+00:00,3.027777910232544,3.0833330154418945,3.027777910232544,2.938527107238769,148950,0.0,
1990-05-18 00:00:00+00:00,3.027777910232544,3.0833330154418945,3.027777910232544,2.938527107238769,858150,0.0,
1990-05-21 00:00:00+00:00,3.0,3.277777910232544,3.0,3.123839855194092,520650,0.0,
1990-05-22 00:00:00+00:00,3.3333330154418945,3.388889074325561,3.277777910232544,3.2032594680786133,240300,0.0,
1990-05-23 00:00:00+00:00,3.277777910232544,3.3333330154418945,3.277777910232544,3.123839855194092,252450,0.0,
1990-05-24 00:00:00+00:00,3.277777910232544,3.3333330154418945,3.277777910232544,3.176786184310913,168300,0.0,
1990-05-25 00:00:00+00:00,3.138889074325561,3.166666984558105,2.916666984558105,3.017947196960449,1197000,0.0,
1990-05-29 00:00:00+00:00,2.944443941116333,3.222222089767456,2.888889074325561,2.9650003910064697,522000,0.0,
1990-05-30 00:00:00+00:00,3.1111109256744385,3.166666984558105,3.0,2.859107494354248,187650,0.0,
1990-05-31 00:00:00+00:00,3.0,3.055556058883667,2.944443941116333,2.806160688400269,37350,0.0,
1990-06-01 00:00:00+00:00,2.944443941116333,3.055556058883667,2.944443941116333,2.912054538726806,42300,0.0,
1990-06-04 00:00:00+00:00,3.0,3.055556058883667,2.944443941116333,2.912054538726806,124650,0.0,
1990-06-05 00:00:00+00:00,2.944443941116333,2.972222089767456,2.944443941116333,2.806160688400269,87300,0.0,
1990-06-06 00:00:00+00:00,2.944443941116333,3.0,2.916666984558105,2.859107494354248,190350,0.0,
1990-06-07 00:00:00+00:00,2.916666984558105,3.0,2.916666984558105,2.7796883583068848,7650,0.0,
1990-06-08 00:00:00+00:00,2.916666984558105,2.944443941116333,2.8611109256744385,2.726741313934326,189000,0.0,
1990-06-11 00:00:00+00:00,2.8333330154418945,2.888889074325561,2.805556058883667,2.673795461654663,49050,0.0,
1990-06-12 00:00:00+00:00,2.8333330154418945,2.944443941116333,2.8333330154418945,2.806160688400269,131400,0.0,
