date,OTTR_Open,OTTR_High,OTTR_Low,OTTR_Close,OTTR_Volume,OTTR_Dividends,OTTR_Stock Splits
1973-02-21 00:00:00+00:00,0.0,5.28125,5.28125,0.9851258397102356,5600,0.0,
1973-02-22 00:00:00+00:00,0.0,5.21875,5.21875,0.9734681844711304,6800,0.0,
1973-02-23 00:00:00+00:00,0.0,5.0625,5.0625,0.944322407245636,4800,0.0,
1973-02-26 00:00:00+00:00,0.0,5.0,5.0,0.9326639771461488,5200,0.0,
1973-02-27 00:00:00+00:00,0.0,5.09375,5.09375,0.9501516819000244,9600,0.0,
1973-02-28 00:00:00+00:00,0.0,5.125,5.125,0.95598042011261,4000,0.0,
1973-03-01 00:00:00+00:00,0.0,5.125,5.125,0.95598042011261,5600,0.0,
1973-03-02 00:00:00+00:00,0.0,5.125,5.125,0.95598042011261,1600,0.0,
1973-03-05 00:00:00+00:00,0.0,5.125,5.125,0.95598042011261,1600,0.0,
1973-03-06 00:00:00+00:00,0.0,5.125,5.125,0.95598042011261,1200,0.0,
1973-03-07 00:00:00+00:00,0.0,5.125,5.125,0.95598042011261,6800,0.0,
1973-03-08 00:00:00+00:00,0.0,5.09375,5.09375,0.9501516819000244,3600,0.0,
1973-03-09 00:00:00+00:00,0.0,5.0625,5.0625,0.944322407245636,5200,0.0,
1973-03-12 00:00:00+00:00,0.0,5.125,5.125,0.95598042011261,800,0.0,
1973-03-13 00:00:00+00:00,0.0,5.15625,5.15625,0.9618095755577089,6000,0.0,
1973-03-14 00:00:00+00:00,0.0,5.3125,5.3125,0.990955114364624,13600,0.0,
1973-03-15 00:00:00+00:00,0.0,5.34375,5.34375,0.9967842698097228,5200,0.0,
1973-03-16 00:00:00+00:00,0.0,5.3125,5.3125,0.990955114364624,6400,0.0,
1973-03-19 00:00:00+00:00,0.0,5.25,5.25,0.97929710149765,9200,0.0,
1973-03-20 00:00:00+00:00,0.0,5.21875,5.21875,0.9734681844711304,400,0.0,
1973-03-21 00:00:00+00:00,0.0,5.21875,5.21875,0.9734681844711304,5600,0.0,
1973-03-22 00:00:00+00:00,0.0,5.1875,5.1875,0.9676384329795836,2000,0.0,
1973-03-23 00:00:00+00:00,0.0,5.1875,5.1875,0.9676384329795836,1200,0.0,
1973-03-26 00:00:00+00:00,0.0,5.1875,5.1875,0.9676384329795836,2000,0.0,
1973-03-27 00:00:00+00:00,0.0,5.21875,5.21875,0.9734681844711304,2400,0.0,
1973-03-28 00:00:00+00:00,0.0,5.21875,5.21875,0.9734681844711304,4400,0.0,
1973-03-29 00:00:00+00:00,0.0,5.40625,5.40625,1.0084424018859863,14000,0.0,
1973-03-30 00:00:00+00:00,0.0,5.4375,5.4375,1.0142719745635986,16800,0.0,
1973-04-02 00:00:00+00:00,0.0,5.4375,5.4375,1.0142719745635986,2000,0.0,
1973-04-03 00:00:00+00:00,0.0,5.4375,5.4375,1.0142719745635986,8800,0.0,
1973-04-04 00:00:00+00:00,0.0,5.4375,5.4375,1.0142719745635986,1600,0.0,
1973-04-05 00:00:00+00:00,0.0,5.375,5.375,1.0026133060455322,3200,0.0,
1973-04-06 00:00:00+00:00,0.0,5.375,5.375,1.0026133060455322,1600,0.0,
1973-04-09 00:00:00+00:00,0.0,5.40625,5.40625,1.0084424018859863,5200,0.0,
1973-04-10 00:00:00+00:00,0.0,5.46875,5.46875,1.020101547241211,12400,0.0,
1973-04-11 00:00:00+00:00,0.0,5.375,5.375,1.0026133060455322,6000,0.0,
1973-04-12 00:00:00+00:00,0.0,5.375,5.375,1.0026133060455322,2000,0.0,
