date,CALM_Open,CALM_High,CALM_Low,CALM_Close,CALM_Volume,CALM_Dividends,CALM_Stock Splits
1996-12-12 00:00:00+00:00,1.8125,1.8125,1.6875,1.0130518674850464,1984400,0.0,
1996-12-13 00:00:00+00:00,1.71875,1.8125,1.65625,1.059522271156311,996800,0.0,
1996-12-16 00:00:00+00:00,1.8125,1.8125,1.71875,1.022345781326294,122000,0.0,
1996-12-17 00:00:00+00:00,1.75,1.8125,1.75,1.0548754930496216,239200,0.0,
1996-12-18 00:00:00+00:00,1.8125,1.8125,1.75,1.0781103372573853,216400,0.0,
1996-12-19 00:00:00+00:00,1.8125,1.8125,1.6875,1.0409339666366575,112000,0.0,
1996-12-20 00:00:00+00:00,1.75,1.78125,1.6875,1.0316405296325684,138800,0.0,
1996-12-23 00:00:00+00:00,1.78125,1.8125,1.6875,1.0409339666366575,347600,0.0,
1996-12-24 00:00:00+00:00,1.6875,1.78125,1.6875,1.022345781326294,208400,0.0,
1996-12-26 00:00:00+00:00,1.75,1.8125,1.75,1.059522271156311,644000,0.0,
1996-12-27 00:00:00+00:00,1.8125,1.8125,1.765625,1.059522271156311,219600,0.0,
1996-12-30 00:00:00+00:00,1.8125,1.875,1.78125,1.1152864694595337,646800,0.0,
1996-12-31 00:00:00+00:00,1.90625,2.09375,1.84375,1.1896390914916992,453600,0.0,
1997-01-02 00:00:00+00:00,2.0,2.09375,2.0,1.208227515220642,339200,0.0,
1997-01-03 00:00:00+00:00,2.03125,2.15625,2.03125,1.2825806140899658,560800,0.0,
1997-01-06 00:00:00+00:00,2.1875,2.34375,2.125,1.3197561502456665,964000,0.0,
1997-01-07 00:00:00+00:00,2.1875,2.21875,2.109375,1.2639917135238647,158000,0.0,
1997-01-08 00:00:00+00:00,2.15625,2.15625,2.03125,1.208227515220642,182800,0.0,
1997-01-09 00:00:00+00:00,2.03125,2.15625,2.03125,1.2454034090042114,220800,0.0,
1997-01-10 00:00:00+00:00,2.125,2.125,2.03125,1.2175217866897583,134800,0.0,
1997-01-13 00:00:00+00:00,2.125,2.125,1.96875,1.2268154621124268,190400,0.0,
1997-01-14 00:00:00+00:00,2.0625,2.125,2.0625,1.2454034090042114,173600,0.0,
1997-01-15 00:00:00+00:00,2.09375,2.125,1.90625,1.1803447008132937,144000,0.0,
1997-01-16 00:00:00+00:00,2.0,2.015625,1.9375,1.1710506677627563,226000,0.0,
1997-01-17 00:00:00+00:00,1.984375,2.0,1.9375,1.1896390914916992,128000,0.0,
1997-01-20 00:00:00+00:00,2.015625,2.015625,1.984375,1.1989330053329468,42800,0.0,
1997-01-21 00:00:00+00:00,2.0,2.0625,1.96875,1.208227515220642,162400,0.0,
1997-01-22 00:00:00+00:00,2.0625,2.0625,1.9375,1.1710506677627563,562000,0.0,
1997-01-23 00:00:00+00:00,2.0,2.015625,1.9375,1.1896390914916992,138800,0.0,
1997-01-24 00:00:00+00:00,1.953125,2.03125,1.953125,1.1896390914916992,187200,0.0,
1997-01-27 00:00:00+00:00,2.0,2.03125,1.96875,1.1896390914916992,103200,0.0,
1997-01-28 00:00:00+00:00,2.0,2.03125,1.96875,1.1896390914916992,211600,0.0,
1997-01-29 00:00:00+00:00,2.0,2.0625,1.984375,1.1803447008132937,76400,0.0,
1997-01-30 00:00:00+00:00,1.96875,2.0,1.9375,1.1524633169174194,48800,0.0,
1997-01-31 00:00:00+00:00,2.0,2.0,1.9375,1.1710506677627563,190800,0.0,
1997-02-03 00:00:00+00:00,1.96875,2.0,1.9375,1.1896390914916992,127600,0.0,
1997-02-04 00:00:00+00:00,1.96875,2.0,1.96875,1.1896390914916992,160800,0.0,
1997-02-05 00:00:00+00:00,1.96875,2.0,1.953125,1.1896390914916992,114000,0.0,
1997-02-06 00:00:00+00:00,1.96875,2.0,1.96875,1.1710506677627563,190800,0.0,
1997-02-07 00:00:00+00:00,1.96875,2.03125,1.96875,1.1896390914916992,131200,0.0,
1997-02-10 00:00:00+00:00,2.007812976837158,2.007812976837158,1.9375,1.1803447008132937,144800,0.0,
1997-02-11 00:00:00+00:00,1.984375,2.0,1.9375,1.1896390914916992,207200,0.0,
1997-02-12 00:00:00+00:00,2.0,2.0,1.96875,1.1896390914916992,34400,0.0,
1997-02-13 00:00:00+00:00,2.0,2.0,1.96875,1.1710506677627563,42800,0.0,
