date,WHLR_Open,WHLR_High,WHLR_Low,WHLR_Close,WHLR_Volume,WHLR_Dividends,WHLR_Stock Splits
2012-11-19 00:00:00+00:00,360000.0,360000.0,316800.0,198143.546875,0,0.0,
2012-11-20 00:00:00+00:00,359424.0,388800.0,351360.0,201776.1875,1,0.0,
2012-11-21 00:00:00+00:00,357120.0,357120.0,351072.0,202106.40625,0,0.0,
2012-11-23 00:00:00+00:00,354240.0,354240.0,345600.0,198143.546875,0,0.0,
2012-11-26 00:00:00+00:00,345024.0,345600.0,328320.0,196162.15625,0,0.0,
2012-11-27 00:00:00+00:00,345024.0,345600.0,336672.0,193189.90625,0,0.0,
2012-11-28 00:00:00+00:00,345600.0,345600.0,335289.59375,198143.546875,0,0.0,
2012-11-29 00:00:00+00:00,345600.0,345600.0,334080.0,197450.0625,0,0.0,
2012-11-30 00:00:00+00:00,334080.0,345600.0,334080.0,198143.546875,0,0.0,
2012-12-03 00:00:00+00:00,346176.0,346176.0,334080.0,195831.8125,0,0.0,
2012-12-04 00:00:00+00:00,357120.0,357120.0,334080.0,198143.546875,0,0.0,
2012-12-05 00:00:00+00:00,360000.0,360000.0,334080.0,193520.15625,0,0.0,
2012-12-06 00:00:00+00:00,345542.40625,346176.0,334080.0,191538.65625,0,0.0,
2012-12-07 00:00:00+00:00,343814.40625,343814.40625,343814.40625,197119.78125,0,0.0,
2012-12-10 00:00:00+00:00,345024.0,345600.0,336960.0,195171.296875,0,0.0,
2012-12-11 00:00:00+00:00,344851.1875,346752.0,342144.0,196162.15625,0,0.0,
2012-12-12 00:00:00+00:00,341568.0,341568.0,334656.0,193189.90625,0,0.0,
2012-12-13 00:00:00+00:00,337536.0,337536.0,334080.0,192199.265625,1,0.0,
2012-12-14 00:00:00+00:00,336384.0,336384.0,334080.0,192529.46875,0,0.0,
2012-12-17 00:00:00+00:00,334656.0,341568.0,334080.0,191538.65625,0,0.0,
2012-12-18 00:00:00+00:00,335808.0,353088.0,334080.0,191538.65625,0,0.0,
2012-12-19 00:00:00+00:00,337536.0,357696.0,334080.0,196492.328125,0,0.0,
2012-12-20 00:00:00+00:00,334080.0,343296.0,334080.0,194841.09375,0,0.0,
2012-12-21 00:00:00+00:00,339840.0,345600.0,334080.0,191538.65625,0,0.0,
2012-12-24 00:00:00+00:00,334656.0,334656.0,334656.0,191868.9375,0,0.0,
2012-12-26 00:00:00+00:00,334656.0,334656.0,334656.0,191868.9375,0,0.0,
2012-12-27 00:00:00+00:00,334080.0,366336.0,334080.0,196498.328125,0,2822.4,
2012-12-28 00:00:00+00:00,393984.0,393984.0,334080.0,196831.328125,0,0.0,
2012-12-31 00:00:00+00:00,334080.0,381542.40625,334080.0,205157.546875,0,0.0,
2013-01-02 00:00:00+00:00,358272.0,365760.0,337536.0,205157.546875,0,0.0,
2013-01-03 00:00:00+00:00,340992.0,349632.0,340992.0,199828.84375,0,0.0,
2013-01-04 00:00:00+00:00,350784.0,351360.0,344448.0,199162.71875,0,0.0,
2013-01-07 00:00:00+00:00,343872.0,347328.0,338112.0,200827.921875,0,0.0,
2013-01-08 00:00:00+00:00,346752.0,350208.0,345600.0,199828.84375,0,0.0,
2013-01-09 00:00:00+00:00,346752.0,360000.0,337536.0,199862.15625,0,0.0,
2013-01-10 00:00:00+00:00,346176.0,346176.0,342950.40625,199162.71875,0,0.0,
2013-01-11 00:00:00+00:00,347904.0,348480.0,347904.0,201493.984375,0,0.0,
2013-01-14 00:00:00+00:00,350208.0,350208.0,346176.0,200161.875,0,0.0,
2013-01-15 00:00:00+00:00,359193.59375,359193.59375,346176.0,200161.875,0,0.0,
2013-01-16 00:00:00+00:00,348480.0,356544.0,346176.0,206156.734375,0,0.0,
2013-01-17 00:00:00+00:00,357696.0,357696.0,346752.0,200494.953125,0,0.0,
2013-01-18 00:00:00+00:00,357120.0,357120.0,348480.0,201493.984375,0,0.0,
2013-01-22 00:00:00+00:00,350784.0,350784.0,347328.0,200827.921875,0,0.0,
2013-01-23 00:00:00+00:00,350208.0,357120.0,349228.8125,202160.1875,0,0.0,
2013-01-24 00:00:00+00:00,347328.0,353664.0,347328.0,201161.078125,0,0.0,
2013-01-25 00:00:00+00:00,350208.0,355968.0,347328.0,201493.984375,0,0.0,
2013-01-28 00:00:00+00:00,355392.0,355392.0,348480.0,201493.984375,0,0.0,
2013-01-29 00:00:00+00:00,350784.0,354240.0,346752.0,201827.078125,0,0.0,
2013-01-30 00:00:00+00:00,351360.0,353088.0,349632.0,203669.546875,0,2016.0,
2013-01-31 00:00:00+00:00,353664.0,353664.0,347328.0,201994.640625,0,0.0,
2013-02-01 00:00:00+00:00,349632.0,353088.0,345600.0,202664.609375,0,0.0,
2013-02-04 00:00:00+00:00,353088.0,354240.0,347558.40625,204339.453125,0,0.0,
2013-02-05 00:00:00+00:00,351360.0,351360.0,349632.0,203334.53125,0,0.0,
