date,TOK_Open,TOK_High,TOK_Low,TOK_Close,TOK_Volume,TOK_Dividends,TOK_Stock Splits
2007-12-12 00:00:00+00:00,49.540000915527344,49.540000915527344,49.540000915527344,33.50053405761719,100,0.0,
2007-12-13 00:00:00+00:00,49.540000915527344,49.540000915527344,49.540000915527344,33.50053405761719,0,0.0,
2007-12-14 00:00:00+00:00,52.88999938964844,52.88999938964844,48.869998931884766,33.04746627807617,2400,0.0,
2007-12-17 00:00:00+00:00,48.290000915527344,48.290000915527344,47.900001525878906,32.41857147216797,3700,0.0,
2007-12-18 00:00:00+00:00,48.0,48.0,47.5,32.121028900146484,1300,0.0,
2007-12-19 00:00:00+00:00,47.88999938964844,48.0,47.619998931884766,32.20218276977539,2900,0.0,
2007-12-20 00:00:00+00:00,47.959999084472656,47.959999084472656,47.810001373291016,32.35240173339844,1000,0.032,
2007-12-21 00:00:00+00:00,47.810001373291016,47.810001373291016,47.810001373291016,32.35240173339844,0,0.0,
2007-12-24 00:00:00+00:00,47.810001373291016,47.810001373291016,47.810001373291016,32.35240173339844,0,0.0,
2007-12-26 00:00:00+00:00,49.06999969482422,49.06999969482422,49.02999877929688,33.177955627441406,300,0.0,
2007-12-27 00:00:00+00:00,49.25,49.25,48.97999954223633,33.14411163330078,1700,0.0,
2007-12-28 00:00:00+00:00,49.27000045776367,49.27000045776367,49.13999938964844,33.259151458740234,3600,0.0,
2007-12-31 00:00:00+00:00,48.900001525878906,48.900001525878906,48.900001525878906,33.08998489379883,400,0.0,
2008-01-02 00:00:00+00:00,48.5,48.5,48.5,32.819305419921875,500,0.0,
2008-01-03 00:00:00+00:00,48.43000030517578,48.43000030517578,48.43000030517578,32.77194595336914,400,0.0,
2008-01-04 00:00:00+00:00,48.0,48.0,47.34999847412109,32.04111099243164,2800,0.0,
2008-01-07 00:00:00+00:00,47.400001525878906,47.52999877929688,47.0,31.899019241333008,3800,0.0,
2008-01-08 00:00:00+00:00,47.56999969482422,47.84000015258789,46.970001220703125,31.78398323059082,1200,0.0,
2008-01-09 00:00:00+00:00,46.65999984741211,46.65999984741211,46.5,31.4659423828125,1100,0.0,
2008-01-10 00:00:00+00:00,48.0,48.0,46.68000030517578,31.655412673950195,2100,0.0,
2008-01-11 00:00:00+00:00,46.93999862670898,46.93999862670898,46.5,31.4659423828125,400,0.0,
2008-01-14 00:00:00+00:00,46.5,46.5,46.5,31.4659423828125,0,0.0,
2008-01-15 00:00:00+00:00,46.720001220703125,46.720001220703125,45.75,30.958423614501957,500,0.0,
2008-01-16 00:00:00+00:00,45.619998931884766,45.619998931884766,45.5,30.789249420166016,1600,0.0,
