date,JACK_Open,JACK_High,JACK_Low,JACK_Close,JACK_Volume,JACK_Dividends,JACK_Stock Splits
1992-03-05 00:00:00+00:00,7.625,7.6875,7.5,6.406256675720215,8933400,0.0,
1992-03-06 00:00:00+00:00,7.625,7.75,7.625,6.458340167999268,1441600,0.0,
1992-03-09 00:00:00+00:00,7.6875,7.8125,7.6875,6.458340167999268,532600,0.0,
1992-03-10 00:00:00+00:00,7.8125,8.125,7.8125,6.7187581062316895,937600,0.0,
1992-03-11 00:00:00+00:00,8.0625,8.0625,7.8125,6.510424613952637,740400,0.0,
1992-03-12 00:00:00+00:00,7.8125,7.9375,7.8125,6.510424613952637,279600,0.0,
1992-03-13 00:00:00+00:00,7.8125,7.8125,7.6875,6.458340167999268,536600,0.0,
1992-03-16 00:00:00+00:00,7.6875,7.6875,7.625,6.354174137115479,168000,0.0,
1992-03-17 00:00:00+00:00,7.625,7.75,7.625,6.458340167999268,354400,0.0,
1992-03-18 00:00:00+00:00,7.8125,7.9375,7.8125,6.6145920753479,697800,0.0,
1992-03-19 00:00:00+00:00,8.0,8.375,8.0,6.875006198883057,524800,0.0,
1992-03-20 00:00:00+00:00,8.3125,8.625,8.3125,7.187509059906006,215600,0.0,
1992-03-23 00:00:00+00:00,8.625,8.875,8.4375,7.343757152557373,348400,0.0,
1992-03-24 00:00:00+00:00,8.8125,9.125,8.8125,7.552093029022217,314000,0.0,
1992-03-25 00:00:00+00:00,9.0625,9.25,8.9375,7.7083420753479,358800,0.0,
1992-03-26 00:00:00+00:00,9.25,9.25,9.0,7.500007629394531,276800,0.0,
1992-03-27 00:00:00+00:00,9.0,9.0,8.6875,7.239592552185059,157600,0.0,
1992-03-30 00:00:00+00:00,8.625,8.6875,8.625,7.239592552185059,78000,0.0,
1992-03-31 00:00:00+00:00,8.625,8.625,8.375,7.03125524520874,75800,0.0,
1992-04-01 00:00:00+00:00,8.4375,8.5,8.375,7.083339214324951,298000,0.0,
1992-04-02 00:00:00+00:00,8.5625,8.625,8.5,7.083339214324951,407400,0.0,
1992-04-03 00:00:00+00:00,8.375,8.375,8.1875,6.875006198883057,498400,0.0,
1992-04-06 00:00:00+00:00,8.25,8.6875,8.25,7.239592552185059,189800,0.0,
1992-04-07 00:00:00+00:00,8.625,8.6875,8.375,7.03125524520874,298400,0.0,
1992-04-08 00:00:00+00:00,8.3125,8.3125,7.9375,6.666674137115479,566600,0.0,
1992-04-09 00:00:00+00:00,8.0,8.1875,8.0,6.770840644836426,361600,0.0,
1992-04-10 00:00:00+00:00,8.1875,8.1875,8.125,6.822924613952637,66600,0.0,
1992-04-13 00:00:00+00:00,8.1875,8.1875,8.125,6.770840644836426,24200,0.0,
1992-04-14 00:00:00+00:00,8.1875,8.3125,8.125,6.927089214324951,634200,0.0,
1992-04-15 00:00:00+00:00,8.3125,8.3125,8.1875,6.875006198883057,254400,0.0,
1992-04-16 00:00:00+00:00,8.1875,8.1875,7.75,6.666674137115479,351600,0.0,
1992-04-20 00:00:00+00:00,7.9375,7.9375,7.8125,6.510424613952637,127200,0.0,
1992-04-21 00:00:00+00:00,7.75,7.75,7.25,6.04167366027832,287600,0.0,
1992-04-22 00:00:00+00:00,7.25,7.25,7.0,5.937505722045898,517600,0.0,
1992-04-23 00:00:00+00:00,7.125,7.125,6.75,5.625006198883057,261000,0.0,
1992-04-24 00:00:00+00:00,6.875,6.875,5.125,5.156256198883057,1172600,0.0,
1992-04-27 00:00:00+00:00,6.1875,6.5,6.1875,5.20833683013916,590600,0.0,
1992-04-28 00:00:00+00:00,6.25,6.25,6.1875,5.156256198883057,216400,0.0,
1992-04-29 00:00:00+00:00,6.1875,6.1875,6.0,5.000005722045898,83000,0.0,
1992-04-30 00:00:00+00:00,5.875,6.25,5.5625,5.20833683013916,344600,0.0,
1992-05-01 00:00:00+00:00,6.4375,6.625,6.4375,5.416671752929688,209200,0.0,
1992-05-04 00:00:00+00:00,6.4375,6.5,6.0625,5.104172229766846,131400,0.0,
1992-05-05 00:00:00+00:00,6.0625,6.0625,5.875,4.947922229766846,126000,0.0,
1992-05-06 00:00:00+00:00,5.9375,6.75,5.8125,5.625006198883057,180400,0.0,
1992-05-07 00:00:00+00:00,6.6875,6.75,6.5,5.416671752929688,155800,0.0,
1992-05-08 00:00:00+00:00,6.4375,6.4375,6.25,5.20833683013916,221600,0.0,
1992-05-11 00:00:00+00:00,6.3125,6.3125,6.25,5.20833683013916,98400,0.0,
1992-05-12 00:00:00+00:00,6.25,6.25,6.25,5.20833683013916,97400,0.0,
1992-05-13 00:00:00+00:00,6.1875,6.1875,6.1875,5.156256198883057,40200,0.0,
1992-05-14 00:00:00+00:00,6.1875,6.1875,6.125,5.104172229766846,32000,0.0,
1992-05-15 00:00:00+00:00,6.125,6.125,5.9375,5.052087306976318,125600,0.0,
1992-05-18 00:00:00+00:00,6.0625,6.0625,5.9375,4.947922229766846,33000,0.0,
1992-05-19 00:00:00+00:00,5.9375,5.9375,5.75,4.791672229766846,119800,0.0,
1992-05-20 00:00:00+00:00,5.75,5.75,5.4375,4.635421276092529,130400,0.0,
1992-05-21 00:00:00+00:00,5.5,5.5,5.3125,4.479171276092529,560600,0.0,
1992-05-22 00:00:00+00:00,5.4375,5.5,5.4375,4.583338737487793,35400,0.0,
1992-05-26 00:00:00+00:00,5.5,5.625,5.4375,4.687506198883057,397600,0.0,
1992-05-27 00:00:00+00:00,5.625,5.75,5.625,4.791672229766846,57000,0.0,
1992-05-28 00:00:00+00:00,5.6875,5.6875,5.0,4.427087783813477,786200,0.0,
1992-05-29 00:00:00+00:00,5.3125,5.375,5.1875,4.479171276092529,523200,0.0,
