date,SRCL_Open,SRCL_High,SRCL_Low,SRCL_Close,SRCL_Volume,SRCL_Dividends,SRCL_Stock Splits
1996-08-23 00:00:00+00:00,2.375,2.375,2.25,2.3125,5035200,,
1996-08-26 00:00:00+00:00,2.3125,2.3125,2.28125,2.3125,590000,,
1996-08-27 00:00:00+00:00,2.3125,2.5,2.28125,2.46875,936800,,
1996-08-28 00:00:00+00:00,2.5,2.75,2.4375,2.5625,766400,,
1996-08-29 00:00:00+00:00,2.5625,2.625,2.5,2.5,594400,,
1996-08-30 00:00:00+00:00,2.5,2.5,2.34375,2.4375,178400,,
1996-09-03 00:00:00+00:00,2.4375,2.4375,2.1875,2.28125,329200,,
1996-09-04 00:00:00+00:00,2.25,2.375,2.25,2.375,162000,,
1996-09-05 00:00:00+00:00,2.375,2.375,2.25,2.28125,132000,,
1996-09-06 00:00:00+00:00,2.21875,2.28125,2.1875,2.25,190800,,
1996-09-09 00:00:00+00:00,2.3125,2.53125,2.3125,2.375,254000,,
1996-09-10 00:00:00+00:00,2.375,2.375,2.3125,2.3125,14400,,
1996-09-11 00:00:00+00:00,2.3125,2.40625,2.3125,2.34375,233600,,
1996-09-12 00:00:00+00:00,2.34375,2.5,2.34375,2.34375,32800,,
1996-09-13 00:00:00+00:00,2.34375,2.375,2.3125,2.34375,78800,,
1996-09-16 00:00:00+00:00,2.3125,2.375,2.3125,2.34375,146400,,
1996-09-17 00:00:00+00:00,2.3125,2.375,2.3125,2.3125,172400,,
1996-09-18 00:00:00+00:00,2.375,2.375,2.25,2.25,88800,,
1996-09-19 00:00:00+00:00,2.1875,2.1875,2.1875,2.1875,6000,,
1996-09-20 00:00:00+00:00,2.28125,2.34375,2.25,2.28125,15200,,
1996-09-23 00:00:00+00:00,2.21875,2.34375,2.21875,2.21875,33600,,
1996-09-24 00:00:00+00:00,2.21875,2.34375,2.1875,2.1875,214000,,
1996-09-25 00:00:00+00:00,2.3125,2.34375,2.25,2.34375,60800,,
1996-09-26 00:00:00+00:00,2.34375,2.375,2.28125,2.375,117200,,
1996-09-27 00:00:00+00:00,2.375,2.453125,2.3125,2.34375,106800,,
1996-09-30 00:00:00+00:00,2.4375,2.4375,2.28125,2.28125,46000,,
1996-10-01 00:00:00+00:00,2.3125,2.3125,2.1875,2.1875,46400,,
1996-10-02 00:00:00+00:00,2.28125,2.28125,2.21875,2.28125,58000,,
1996-10-03 00:00:00+00:00,2.28125,2.28125,2.28125,2.28125,6800,,
1996-10-04 00:00:00+00:00,2.28125,2.28125,2.1875,2.21875,60000,,
1996-10-07 00:00:00+00:00,2.1875,2.21875,2.1875,2.21875,154000,,
1996-10-08 00:00:00+00:00,2.1875,2.3125,2.1875,2.1875,290800,,
1996-10-09 00:00:00+00:00,2.25,2.25,2.09375,2.09375,166000,,
1996-10-10 00:00:00+00:00,2.09375,2.1875,2.09375,2.125,98000,,
1996-10-11 00:00:00+00:00,2.125,2.21875,2.0625,2.0625,99200,,
1996-10-14 00:00:00+00:00,2.0625,2.1875,2.0625,2.09375,112800,,
1996-10-15 00:00:00+00:00,2.1875,2.1875,2.09375,2.125,99200,,
1996-10-16 00:00:00+00:00,2.09375,2.1875,2.0,2.0,182800,,
1996-10-17 00:00:00+00:00,2.0,2.09375,1.90625,1.90625,100000,,
1996-10-18 00:00:00+00:00,2.0,2.0625,1.96875,2.0625,163200,,
