date,GPI_Open,GPI_High,GPI_Low,GPI_Close,GPI_Volume,GPI_Dividends,GPI_Stock Splits
1997-10-30 00:00:00+00:00,12.5,13.5,12.5,10.37366008758545,2106900,0.0,
1997-10-31 00:00:00+00:00,13.125,13.1875,12.6875,10.733144760131836,488300,0.0,
1997-11-03 00:00:00+00:00,13.0,13.9375,13.0,11.452113151550291,155000,0.0,
1997-11-04 00:00:00+00:00,13.875,13.875,13.0,10.989916801452637,258400,0.0,
1997-11-05 00:00:00+00:00,13.375,13.75,13.375,11.092626571655272,58000,0.0,
1997-11-06 00:00:00+00:00,13.5625,13.875,13.4375,11.04127311706543,57200,0.0,
1997-11-07 00:00:00+00:00,13.0,13.3125,12.9375,10.681790351867676,67100,0.0,
1997-11-10 00:00:00+00:00,13.0,13.125,12.875,10.57907485961914,85200,0.0,
1997-11-11 00:00:00+00:00,12.75,12.75,12.125,10.014178276062012,167000,0.0,
1997-11-12 00:00:00+00:00,12.0,12.125,11.625,9.808753967285156,82900,0.0,
1997-11-13 00:00:00+00:00,11.8125,11.8125,11.0,9.03843593597412,133100,0.0,
1997-11-14 00:00:00+00:00,11.0,11.1875,10.9375,9.03843593597412,68000,0.0,
1997-11-17 00:00:00+00:00,11.125,11.125,10.9375,9.089788436889648,31400,0.0,
1997-11-18 00:00:00+00:00,10.9375,10.9375,10.3125,8.473535537719727,71200,0.0,
1997-11-19 00:00:00+00:00,10.1875,10.25,9.4375,7.908633708953857,70300,0.0,
1997-11-20 00:00:00+00:00,9.75,10.875,9.75,8.935725212097168,39800,0.0,
1997-11-21 00:00:00+00:00,10.9375,11.125,10.5,8.935725212097168,21600,0.0,
1997-11-24 00:00:00+00:00,10.9375,10.9375,10.3125,8.52488899230957,14700,0.0,
1997-11-25 00:00:00+00:00,10.4375,10.4375,9.875,8.422178268432617,142200,0.0,
1997-11-26 00:00:00+00:00,10.125,10.125,9.75,8.062692642211914,46700,0.0,
1997-11-28 00:00:00+00:00,9.75,9.75,9.625,7.959986209869385,1600,0.0,
1997-12-01 00:00:00+00:00,10.625,10.6875,10.25,8.52488899230957,194000,0.0,
1997-12-02 00:00:00+00:00,10.5,11.25,10.4375,8.730307579040527,85300,0.0,
1997-12-03 00:00:00+00:00,10.6875,10.75,10.0625,8.627596855163574,25700,0.0,
