date,EL_Open,EL_High,EL_Low,EL_Close,EL_Volume,EL_Dividends,EL_Stock Splits
1995-11-17 00:00:00+00:00,8.125,8.71875,8.09375,6.425492763519287,35659200,0.0,
1995-11-20 00:00:00+00:00,8.59375,8.8125,8.1875,6.192687034606934,8434000,0.0,
1995-11-21 00:00:00+00:00,8.25,8.28125,7.9375,6.0762858390808105,6440000,0.0,
1995-11-22 00:00:00+00:00,8.125,8.53125,8.125,6.262531757354736,3480800,0.0,
1995-11-24 00:00:00+00:00,8.46875,8.71875,8.4375,6.495336055755615,1279200,0.0,
1995-11-27 00:00:00+00:00,8.71875,8.90625,8.625,6.518617630004883,2403200,0.0,
1995-11-28 00:00:00+00:00,8.75,8.78125,8.5,6.425492763519287,1054800,0.0,
1995-11-29 00:00:00+00:00,8.59375,8.96875,8.5625,6.518617630004883,1331200,0.0,
1995-11-30 00:00:00+00:00,8.84375,9.1875,8.8125,6.774704933166504,2426000,0.0,
1995-12-01 00:00:00+00:00,9.09375,9.125,8.9375,6.704866409301758,978400,0.0,
1995-12-04 00:00:00+00:00,9.03125,9.09375,8.84375,6.635025501251221,594000,0.0,
1995-12-05 00:00:00+00:00,8.90625,8.90625,8.625,6.541898250579834,1148800,0.0,
1995-12-06 00:00:00+00:00,8.75,9.0,8.75,6.565178394317627,1216000,0.0,
1995-12-07 00:00:00+00:00,8.875,8.90625,8.6875,6.518617630004883,641200,0.0,
1995-12-08 00:00:00+00:00,8.71875,8.96875,8.625,6.681587219238281,668800,0.0,
1995-12-11 00:00:00+00:00,9.0,9.09375,8.96875,6.774704933166504,660000,0.0,
1995-12-12 00:00:00+00:00,9.03125,9.0625,8.71875,6.518617630004883,971600,0.0,
1995-12-13 00:00:00+00:00,8.8125,8.8125,8.53125,6.4720563888549805,528400,0.0,
1995-12-14 00:00:00+00:00,8.71875,8.71875,8.4375,6.285809516906738,639200,0.0,
1995-12-15 00:00:00+00:00,8.5,8.5625,8.34375,6.239249229431152,1366400,0.0,
1995-12-18 00:00:00+00:00,8.375,8.40625,8.25,6.169406414031982,741600,0.0,
1995-12-19 00:00:00+00:00,8.25,8.53125,8.21875,6.285809516906738,643600,0.0,
1995-12-20 00:00:00+00:00,8.46875,8.6875,8.46875,6.425492763519287,360400,0.0,
1995-12-21 00:00:00+00:00,8.59375,8.78125,8.5625,6.4720563888549805,301600,0.0,
1995-12-22 00:00:00+00:00,8.71875,8.75,8.625,6.518617630004883,208400,0.0,
1995-12-26 00:00:00+00:00,8.71875,8.71875,8.5,6.355652332305908,240000,0.0,
1995-12-27 00:00:00+00:00,8.625,8.84375,8.625,6.588456153869629,351600,0.0,
1995-12-28 00:00:00+00:00,8.875,8.90625,8.78125,6.565178394317627,344400,0.0,
1995-12-29 00:00:00+00:00,8.78125,8.84375,8.65625,6.495336055755615,219200,0.0,
1996-01-02 00:00:00+00:00,8.71875,8.78125,8.65625,6.518617630004883,169200,0.0,
1996-01-03 00:00:00+00:00,8.78125,8.9375,8.65625,6.495336055755615,682000,0.0,
1996-01-04 00:00:00+00:00,8.75,8.8125,8.53125,6.448774814605713,414800,0.0,
1996-01-05 00:00:00+00:00,8.53125,8.59375,8.28125,6.285809516906738,773600,0.0,
1996-01-08 00:00:00+00:00,8.4375,8.46875,8.375,6.309089660644531,48800,0.0,
1996-01-09 00:00:00+00:00,8.5,8.5,8.375,6.239249229431152,864000,0.0,
1996-01-10 00:00:00+00:00,8.28125,8.375,8.125,6.169406414031982,458400,0.0,
1996-01-11 00:00:00+00:00,8.3125,8.5625,8.3125,6.309089660644531,477600,0.0,
1996-01-12 00:00:00+00:00,8.4375,8.6875,8.40625,6.4720563888549805,338400,0.0,
1996-01-15 00:00:00+00:00,8.6875,8.75,8.625,6.448774814605713,580800,0.0,
1996-01-16 00:00:00+00:00,8.59375,8.59375,8.21875,6.285809516906738,512800,0.0,
1996-01-17 00:00:00+00:00,8.3125,8.375,8.125,6.239249229431152,126400,0.0,
1996-01-18 00:00:00+00:00,8.28125,8.34375,8.03125,6.0762858390808105,696000,0.0,
1996-01-19 00:00:00+00:00,8.15625,8.1875,8.0625,6.029721260070801,792800,0.0,
1996-01-22 00:00:00+00:00,8.09375,8.46875,8.09375,6.192687034606934,568800,0.0,
1996-01-23 00:00:00+00:00,8.25,8.28125,8.15625,6.0762858390808105,798400,0.0,
1996-01-24 00:00:00+00:00,8.125,8.28125,8.125,6.169406414031982,776400,0.0,
