date,SRPT_Open,SRPT_High,SRPT_Low,SRPT_Close,SRPT_Volume,SRPT_Dividends,SRPT_Stock Splits
1997-06-04 00:00:00+00:00,42.75,42.75,38.25,39.0,54633,,
1997-06-05 00:00:00+00:00,39.75,40.5,39.0,39.375,28717,,
1997-06-06 00:00:00+00:00,40.125,40.125,37.5,39.0,14450,,
1997-06-09 00:00:00+00:00,39.0,39.75,37.5,38.25,15417,,
1997-06-10 00:00:00+00:00,38.625,39.375,37.5,39.375,9417,,
1997-06-11 00:00:00+00:00,39.375,39.375,37.875,37.875,6833,,
1997-06-12 00:00:00+00:00,39.0,39.0,37.875,38.625,8083,,
1997-06-13 00:00:00+00:00,38.25,38.625,37.5,37.5,8383,,
1997-06-16 00:00:00+00:00,38.25,38.25,36.75,36.75,7367,,
1997-06-17 00:00:00+00:00,36.0,36.75,34.5,36.375,18633,,
1997-06-18 00:00:00+00:00,36.375,37.875,35.25,36.75,9433,,
1997-06-19 00:00:00+00:00,37.5,38.25,36.75,37.5,8683,,
1997-06-20 00:00:00+00:00,37.875,38.25,36.75,37.5,9517,,
1997-06-23 00:00:00+00:00,37.5,37.875,36.75,36.75,3367,,
1997-06-24 00:00:00+00:00,36.75,37.875,36.75,37.875,4450,,
1997-06-25 00:00:00+00:00,37.875,38.625,37.125,37.125,12133,,
1997-06-26 00:00:00+00:00,37.875,37.875,36.75,37.5,4467,,
1997-06-27 00:00:00+00:00,37.5,40.875,37.5,40.875,18400,,
1997-06-30 00:00:00+00:00,40.875,43.5,39.75,42.75,15583,,
1997-07-01 00:00:00+00:00,43.5,46.5,42.75,45.0,20967,,
1997-07-02 00:00:00+00:00,45.75,45.75,42.0,43.5,13017,,
1997-07-03 00:00:00+00:00,44.25,45.0,43.125,43.125,8450,,
1997-07-07 00:00:00+00:00,44.25,44.25,42.375,43.5,6517,,
1997-07-08 00:00:00+00:00,43.5,43.5,42.0,42.0,9600,,
1997-07-09 00:00:00+00:00,42.75,42.75,39.0,39.0,5500,,
1997-07-10 00:00:00+00:00,40.125,40.125,40.125,40.125,283,,
1997-07-11 00:00:00+00:00,40.125,40.125,39.0,39.0,650,,
1997-07-14 00:00:00+00:00,40.5,40.5,39.0,39.0,5033,,
1997-07-15 00:00:00+00:00,39.0,39.375,38.25,39.0,2850,,
1997-07-16 00:00:00+00:00,39.75,40.875,39.0,40.6875,3883,,
1997-07-17 00:00:00+00:00,41.625,43.5,40.875,42.0,5400,,
1997-07-18 00:00:00+00:00,43.5,43.5,42.0,42.0,3900,,
1997-07-21 00:00:00+00:00,42.0,43.125,40.5,40.5,5733,,
1997-07-22 00:00:00+00:00,40.5,41.625,40.125,40.125,4083,,
1997-07-23 00:00:00+00:00,41.25,41.25,38.25,38.625,4333,,
1997-07-24 00:00:00+00:00,39.0,40.5,39.0,39.75,8967,,
1997-07-25 00:00:00+00:00,40.5,40.5,39.0,39.0,3167,,
1997-07-28 00:00:00+00:00,39.0,39.75,39.0,39.375,4850,,
1997-07-29 00:00:00+00:00,40.125,40.125,39.0,40.125,4183,,
1997-07-30 00:00:00+00:00,40.125,40.5,39.0,39.375,5133,,
1997-07-31 00:00:00+00:00,39.375,40.5,39.375,40.125,10050,,
1997-08-01 00:00:00+00:00,40.5,40.5,39.75,40.125,2100,,
1997-08-04 00:00:00+00:00,40.125,40.5,39.0,39.0,1483,,
1997-08-05 00:00:00+00:00,39.0,39.375,38.625,38.625,1333,,
1997-08-06 00:00:00+00:00,39.375,40.125,38.625,39.75,3300,,
1997-08-07 00:00:00+00:00,39.75,41.25,39.0,41.25,16750,,
1997-08-08 00:00:00+00:00,40.875,41.625,40.875,41.25,1383,,
1997-08-11 00:00:00+00:00,41.625,42.75,40.875,42.0,10200,,
1997-08-12 00:00:00+00:00,42.75,45.0,42.75,44.625,14400,,
1997-08-13 00:00:00+00:00,45.0,45.0,42.375,42.375,3900,,
1997-08-14 00:00:00+00:00,43.875,44.25,42.375,44.25,9350,,
1997-08-15 00:00:00+00:00,45.0,45.0,42.75,42.75,2450,,
1997-08-18 00:00:00+00:00,43.5,43.5,39.75,40.125,4600,,
1997-08-19 00:00:00+00:00,40.6875,41.25,40.5,40.5,4133,,
1997-08-20 00:00:00+00:00,40.5,40.875,40.125,40.125,4367,,
1997-08-21 00:00:00+00:00,40.125,42.0,39.75,41.25,5700,,
1997-08-22 00:00:00+00:00,42.0,42.0,41.25,41.25,11033,,
1997-08-25 00:00:00+00:00,41.625,42.375,40.875,41.625,7300,,
1997-08-26 00:00:00+00:00,42.0,42.0,40.875,42.0,6367,,
1997-08-27 00:00:00+00:00,42.0,42.0,40.125,40.125,7267,,
1997-08-28 00:00:00+00:00,40.125,41.625,39.75,39.75,3633,,
1997-08-29 00:00:00+00:00,39.75,40.5,39.375,39.375,3683,,
1997-09-02 00:00:00+00:00,40.5,40.875,39.375,39.75,1300,,
1997-09-03 00:00:00+00:00,39.0,41.25,38.25,40.875,18633,,
1997-09-04 00:00:00+00:00,41.25,41.625,39.75,41.25,13800,,
1997-09-05 00:00:00+00:00,41.25,41.25,40.125,40.3125,3517,,
1997-09-08 00:00:00+00:00,40.5,41.25,40.5,40.875,5217,,
1997-09-09 00:00:00+00:00,41.25,41.25,40.5,41.25,4800,,
1997-09-10 00:00:00+00:00,41.25,41.25,40.125,41.25,5800,,
1997-09-11 00:00:00+00:00,40.125,41.25,40.125,40.3125,5100,,
1997-09-12 00:00:00+00:00,40.125,40.875,39.75,39.75,7850,,
1997-09-15 00:00:00+00:00,40.875,41.25,39.75,41.25,1250,,
1997-09-16 00:00:00+00:00,41.25,41.25,39.75,40.3125,11833,,
1997-09-17 00:00:00+00:00,40.125,42.0,40.125,41.625,4817,,
1997-09-18 00:00:00+00:00,42.0,42.0,41.25,41.25,15567,,
1997-09-19 00:00:00+00:00,41.25,42.375,41.25,41.625,3850,,
1997-09-22 00:00:00+00:00,42.375,42.375,41.625,41.625,5850,,
1997-09-23 00:00:00+00:00,42.0,42.0,41.25,41.25,5300,,
1997-09-24 00:00:00+00:00,42.0,42.0,41.25,41.25,4117,,
1997-09-25 00:00:00+00:00,41.25,45.0,41.25,45.0,17683,,
1997-09-26 00:00:00+00:00,46.5,46.5,44.25,45.0,17617,,
1997-09-29 00:00:00+00:00,45.0,45.0,44.25,44.25,3233,,
1997-09-30 00:00:00+00:00,45.0,45.0,42.375,43.125,8533,,
1997-10-01 00:00:00+00:00,42.375,44.625,42.0,44.625,5233,,
1997-10-02 00:00:00+00:00,45.0,45.75,44.25,44.625,14200,,
1997-10-03 00:00:00+00:00,45.0,51.0,44.625,49.5,19600,,
1997-10-06 00:00:00+00:00,51.75,55.125,50.25,53.625,46233,,
1997-10-07 00:00:00+00:00,54.75,59.25,53.625,57.0,52350,,
1997-10-08 00:00:00+00:00,57.375,57.75,52.875,55.5,30633,,
1997-10-09 00:00:00+00:00,56.25,56.25,52.5,53.25,25617,,
1997-10-10 00:00:00+00:00,53.625,56.25,52.875,54.75,12750,,
1997-10-13 00:00:00+00:00,54.75,55.5,54.0,54.75,10033,,
1997-10-14 00:00:00+00:00,54.375,54.375,51.0,52.5,5033,,
1997-10-15 00:00:00+00:00,52.5,54.75,52.5,54.0,3283,,
1997-10-16 00:00:00+00:00,54.75,54.75,52.5,53.625,7667,,
1997-10-17 00:00:00+00:00,53.625,53.625,51.375,51.75,9333,,
1997-10-20 00:00:00+00:00,53.25,53.625,51.75,52.5,7417,,
1997-10-21 00:00:00+00:00,52.5,54.75,52.5,54.0,9283,,
1997-10-22 00:00:00+00:00,54.0,56.25,53.25,55.5,13183,,
1997-10-23 00:00:00+00:00,53.25,54.0,51.0,52.5,8217,,
1997-10-24 00:00:00+00:00,52.5,54.0,51.75,51.75,7683,,
1997-10-27 00:00:00+00:00,51.0,51.0,45.0,45.375,7333,,
1997-10-28 00:00:00+00:00,44.25,46.5,40.78125,46.5,13217,,
1997-10-29 00:00:00+00:00,47.25,50.25,47.25,50.25,7800,,
1997-10-30 00:00:00+00:00,48.0,49.875,47.625,49.875,3467,,
1997-10-31 00:00:00+00:00,50.0625,50.25,48.0,49.5,3583,,
1997-11-03 00:00:00+00:00,48.0,50.25,48.0,49.5,3450,,
1997-11-04 00:00:00+00:00,48.0,53.25,48.0,53.25,6350,,
1997-11-05 00:00:00+00:00,56.25,59.25,54.0,55.875,47867,,
1997-11-06 00:00:00+00:00,57.0,57.0,54.0,54.75,13350,,
1997-11-07 00:00:00+00:00,52.5,52.5,49.5,52.5,6600,,
1997-11-10 00:00:00+00:00,52.5,52.5,51.0,52.5,3017,,
1997-11-11 00:00:00+00:00,52.5,57.0,51.75,52.5,8117,,
1997-11-12 00:00:00+00:00,52.875,54.0,51.0,51.0,15350,,
1997-11-13 00:00:00+00:00,52.5,53.25,48.0,48.75,5583,,
1997-11-14 00:00:00+00:00,48.75,49.5,48.75,48.75,3017,,
1997-11-17 00:00:00+00:00,50.25,51.75,48.75,49.125,4850,,
1997-11-18 00:00:00+00:00,50.25,50.25,48.75,48.75,3850,,
1997-11-19 00:00:00+00:00,49.5,52.5,49.5,50.625,7367,,
1997-11-20 00:00:00+00:00,51.75,52.5,50.25,51.0,5817,,
1997-11-21 00:00:00+00:00,50.25,51.0,49.5,50.25,3800,,
1997-11-24 00:00:00+00:00,49.5,51.0,48.75,49.5,10300,,
1997-11-25 00:00:00+00:00,49.125,50.625,48.375,48.375,3467,,
1997-11-26 00:00:00+00:00,48.0,49.875,48.0,48.375,2150,,
1997-11-28 00:00:00+00:00,48.375,48.375,48.0,48.28125,2317,,
1997-12-01 00:00:00+00:00,48.0,50.25,47.25,48.0,4567,,
1997-12-02 00:00:00+00:00,50.25,50.25,46.5,46.5,4500,,
1997-12-03 00:00:00+00:00,47.25,47.25,45.0,46.125,5650,,
1997-12-04 00:00:00+00:00,46.5,46.5,42.75,43.125,9167,,
1997-12-05 00:00:00+00:00,42.375,43.5,39.75,42.75,13133,,
1997-12-08 00:00:00+00:00,43.5,46.875,42.75,45.75,5650,,
1997-12-09 00:00:00+00:00,45.0,47.25,42.75,43.125,8150,,
1997-12-10 00:00:00+00:00,42.75,45.0,42.75,42.75,2450,,
1997-12-11 00:00:00+00:00,42.0,43.5,42.0,42.75,5467,,
1997-12-12 00:00:00+00:00,42.75,43.5,42.375,42.375,1000,,
1997-12-15 00:00:00+00:00,42.75,43.5,40.875,41.625,5800,,
1997-12-16 00:00:00+00:00,40.875,42.375,40.125,42.375,7183,,
1997-12-17 00:00:00+00:00,42.75,43.5,42.0,42.375,11000,,
1997-12-18 00:00:00+00:00,42.75,43.875,41.25,43.125,15200,,
1997-12-19 00:00:00+00:00,42.0,43.875,41.625,42.375,4417,,
1997-12-22 00:00:00+00:00,42.75,43.125,42.0,42.75,1983,,
1997-12-23 00:00:00+00:00,43.5,45.0,42.375,45.0,4167,,
1997-12-24 00:00:00+00:00,42.0,42.375,42.0,42.0,1967,,
1997-12-26 00:00:00+00:00,41.625,42.375,40.5,40.5,3567,,
1997-12-29 00:00:00+00:00,41.625,41.625,40.5,41.625,2717,,
1997-12-30 00:00:00+00:00,41.625,41.625,40.125,40.125,2133,,
1997-12-31 00:00:00+00:00,40.125,42.0,40.125,40.875,4583,,
1998-01-02 00:00:00+00:00,40.875,42.0,40.875,40.875,617,,
1998-01-05 00:00:00+00:00,40.875,42.75,39.0,42.75,5667,,
1998-01-06 00:00:00+00:00,41.25,43.5,41.25,42.75,2683,,
1998-01-07 00:00:00+00:00,44.25,44.25,42.75,42.75,1450,,
1998-01-08 00:00:00+00:00,42.75,42.75,37.875,39.375,13383,,
1998-01-09 00:00:00+00:00,38.625,41.625,38.625,41.625,5433,,
1998-01-12 00:00:00+00:00,41.25,41.25,39.0,41.25,5317,,
1998-01-13 00:00:00+00:00,39.375,41.25,39.375,39.375,1367,,
1998-01-14 00:00:00+00:00,39.75,41.25,39.375,40.125,4633,,
1998-01-15 00:00:00+00:00,40.875,40.875,39.75,39.75,2900,,
1998-01-16 00:00:00+00:00,39.75,40.5,39.75,40.125,1800,,
1998-01-20 00:00:00+00:00,38.625,40.5,38.625,40.5,3550,,
1998-01-21 00:00:00+00:00,39.75,41.625,39.75,41.25,4767,,
1998-01-22 00:00:00+00:00,41.25,44.25,41.25,43.5,4517,,
1998-01-23 00:00:00+00:00,42.0,43.5,40.5,42.75,7067,,
1998-01-26 00:00:00+00:00,40.875,42.75,40.875,41.25,3017,,
1998-01-27 00:00:00+00:00,42.0,42.75,42.0,42.75,2300,,
1998-01-28 00:00:00+00:00,42.0,42.0,40.5,41.625,1500,,
1998-01-29 00:00:00+00:00,40.875,41.625,39.0,39.84375,2550,,
1998-01-30 00:00:00+00:00,39.75,40.5,39.0,39.75,4433,,
1998-02-02 00:00:00+00:00,39.75,41.25,39.375,40.5,7517,,
1998-02-03 00:00:00+00:00,40.5,40.5,39.75,39.75,1017,,
1998-02-04 00:00:00+00:00,39.75,40.5,38.625,39.75,5067,,
1998-02-05 00:00:00+00:00,39.0,39.0,35.625,39.0,6950,,
1998-02-06 00:00:00+00:00,38.625,39.375,38.625,39.0,2100,,
1998-02-09 00:00:00+00:00,39.375,39.375,37.5,39.375,1517,,
1998-02-10 00:00:00+00:00,37.5,38.625,36.375,37.875,5600,,
1998-02-11 00:00:00+00:00,36.75,37.5,35.25,36.0,5450,,
1998-02-12 00:00:00+00:00,35.25,39.375,34.5,39.375,10567,,
1998-02-13 00:00:00+00:00,39.375,39.375,38.25,39.375,8517,,
1998-02-17 00:00:00+00:00,39.0,40.5,38.625,40.5,12417,,
1998-02-18 00:00:00+00:00,40.5,43.5,40.5,43.5,11800,,
1998-02-19 00:00:00+00:00,43.125,45.0,42.75,43.5,11917,,
1998-02-20 00:00:00+00:00,43.125,46.5,43.125,45.9375,12533,,
1998-02-23 00:00:00+00:00,45.375,46.875,44.25,44.625,7533,,
1998-02-24 00:00:00+00:00,44.25,44.625,42.75,44.625,8500,,
1998-02-25 00:00:00+00:00,44.25,44.625,42.75,43.5,1583,,
1998-02-26 00:00:00+00:00,43.875,43.875,42.0,42.75,6067,,
1998-02-27 00:00:00+00:00,42.75,44.25,42.375,43.875,8383,,
1998-03-02 00:00:00+00:00,43.875,45.0,42.0,42.375,5283,,
1998-03-03 00:00:00+00:00,43.125,43.125,40.5,42.0,6617,,
1998-03-04 00:00:00+00:00,42.375,43.125,41.25,42.75,3050,,
1998-03-05 00:00:00+00:00,43.125,43.125,42.0,42.75,7400,,
1998-03-06 00:00:00+00:00,42.375,44.625,42.0,44.625,9733,,
1998-03-09 00:00:00+00:00,44.625,45.75,42.75,43.6875,11717,,
1998-03-10 00:00:00+00:00,44.625,44.625,42.0,42.1875,7450,,
1998-03-11 00:00:00+00:00,43.125,43.125,42.0,42.0,2817,,
1998-03-12 00:00:00+00:00,42.375,42.375,39.0,41.625,6233,,
1998-03-13 00:00:00+00:00,43.5,45.75,41.25,42.75,13817,,
1998-03-16 00:00:00+00:00,42.75,45.0,42.375,42.375,4283,,
1998-03-17 00:00:00+00:00,43.5,43.5,42.0,42.0,4933,,
1998-03-18 00:00:00+00:00,42.0,44.25,41.625,42.75,8467,,
1998-03-19 00:00:00+00:00,43.125,43.125,41.625,41.625,4367,,
1998-03-20 00:00:00+00:00,41.25,42.75,40.5,40.875,15550,,
1998-03-23 00:00:00+00:00,40.875,42.75,39.75,41.25,11017,,
1998-03-24 00:00:00+00:00,41.25,41.625,39.75,41.25,6633,,
1998-03-25 00:00:00+00:00,42.0,42.0,39.375,40.875,7900,,
1998-03-26 00:00:00+00:00,40.875,45.0,40.5,43.875,31183,,
1998-03-27 00:00:00+00:00,44.25,45.0,41.8125,41.8125,7967,,
1998-03-30 00:00:00+00:00,43.5,43.5,40.125,41.25,5617,,
1998-03-31 00:00:00+00:00,40.875,42.75,39.375,42.75,6750,,
1998-04-01 00:00:00+00:00,42.75,44.25,42.0,44.25,6167,,
1998-04-02 00:00:00+00:00,43.5,45.0,42.75,43.125,6200,,
1998-04-03 00:00:00+00:00,43.125,44.25,42.375,42.375,5850,,
1998-04-06 00:00:00+00:00,42.75,42.75,39.0,40.5,4583,,
1998-04-07 00:00:00+00:00,42.0,42.375,41.25,42.0,3567,,
1998-04-08 00:00:00+00:00,42.0,42.0,39.375,39.375,2550,,
1998-04-09 00:00:00+00:00,41.625,41.625,39.75,41.25,1150,,
1998-04-13 00:00:00+00:00,41.25,41.625,39.375,39.75,2783,,
1998-04-14 00:00:00+00:00,39.75,40.875,39.0,39.0,2350,,
1998-04-15 00:00:00+00:00,39.75,41.25,39.0,39.75,1267,,
