date,ASR_Open,ASR_High,ASR_Low,ASR_Close,ASR_Volume,ASR_Dividends,ASR_Stock Splits
2000-09-28 00:00:00+00:00,15.25,15.375,15.0,6.705094337463379,5731600,0.0,
2000-09-29 00:00:00+00:00,15.125,15.1875,15.125,6.705094337463379,1314100,0.0,
2000-10-02 00:00:00+00:00,15.125,15.25,15.125,6.705094337463379,426000,0.0,
2000-10-03 00:00:00+00:00,15.125,15.125,12.5625,6.18082857131958,1112000,0.0,
2000-10-04 00:00:00+00:00,14.0,14.125,13.875,6.18082857131958,151900,0.0,
2000-10-05 00:00:00+00:00,13.9375,14.0,13.625,6.18082857131958,118300,0.0,
2000-10-06 00:00:00+00:00,13.875,13.875,12.625,5.684154987335205,363800,0.0,
2000-10-09 00:00:00+00:00,12.8125,14.25,12.8125,5.656561851501465,99700,0.0,
2000-10-10 00:00:00+00:00,12.8125,12.9375,12.8125,5.656561851501465,85500,0.0,
2000-10-11 00:00:00+00:00,12.875,13.0,12.8125,5.711748123168945,91400,0.0,
2000-10-12 00:00:00+00:00,12.9375,13.875,12.9375,6.042862892150879,84800,0.0,
2000-10-13 00:00:00+00:00,13.5625,13.5625,13.0625,5.794527053833008,105400,0.0,
2000-10-16 00:00:00+00:00,13.0625,13.3125,13.0625,5.849713325500488,59700,0.0,
2000-10-17 00:00:00+00:00,13.25,13.5,13.25,5.960083961486816,100600,0.0,
2000-10-18 00:00:00+00:00,13.5,13.625,13.5,6.015271186828613,127900,0.0,
2000-10-19 00:00:00+00:00,13.5625,13.75,13.5625,6.070456504821777,38600,0.0,
2000-10-20 00:00:00+00:00,13.6875,13.875,13.6875,6.125641345977783,56600,0.0,
2000-10-23 00:00:00+00:00,13.75,13.9375,13.75,6.153235912322998,18800,0.0,
2000-10-24 00:00:00+00:00,13.9375,14.625,13.9375,6.401571750640869,257500,0.0,
2000-10-25 00:00:00+00:00,14.625,14.625,14.5,6.401571750640869,69200,0.0,
2000-10-26 00:00:00+00:00,14.5,14.625,14.5,6.429165363311768,24600,0.0,
2000-10-27 00:00:00+00:00,14.5625,14.625,14.5,6.456757545471191,60900,0.0,
2000-10-30 00:00:00+00:00,14.5,14.5,14.375,6.346384525299072,27000,0.0,
2000-10-31 00:00:00+00:00,14.5,14.875,14.4375,6.567131042480469,42300,0.0,
2000-11-01 00:00:00+00:00,15.0,15.375,14.9375,6.787874698638916,60900,0.0,
2000-11-02 00:00:00+00:00,15.375,16.0,15.375,6.870654582977295,103800,0.0,
2000-11-03 00:00:00+00:00,15.8125,15.8125,15.125,6.843060493469238,141300,0.0,
2000-11-06 00:00:00+00:00,15.375,15.5,15.1875,6.732688903808594,33300,0.0,
2000-11-07 00:00:00+00:00,15.0,15.25,15.0,6.732688903808594,31600,0.0,
2000-11-08 00:00:00+00:00,15.1875,15.25,15.1875,6.732688903808594,20100,0.0,
2000-11-09 00:00:00+00:00,15.1875,15.25,15.125,6.732688903808594,56900,0.0,
2000-11-10 00:00:00+00:00,15.125,15.1875,15.0625,6.649909019470215,13400,0.0,
2000-11-13 00:00:00+00:00,15.0625,15.125,15.0,6.622316360473633,25400,0.0,
2000-11-14 00:00:00+00:00,15.0,15.25,15.0,6.677501678466797,74300,0.0,
2000-11-15 00:00:00+00:00,15.0,15.25,15.0,6.705094337463379,28600,0.0,
2000-11-16 00:00:00+00:00,15.1875,15.375,15.1875,6.705094337463379,33100,0.0,
2000-11-17 00:00:00+00:00,15.0625,15.25,15.0,6.677501678466797,28700,0.0,
2000-11-20 00:00:00+00:00,15.125,15.125,15.0,6.649909019470215,26000,0.0,
2000-11-21 00:00:00+00:00,15.0625,15.875,15.0625,6.787874698638916,30600,0.0,
2000-11-22 00:00:00+00:00,15.3125,15.375,15.125,6.677501678466797,46200,0.0,
2000-11-24 00:00:00+00:00,15.1875,15.1875,15.1875,6.705094337463379,13100,0.0,
2000-11-27 00:00:00+00:00,15.3125,15.3125,14.9375,6.677501678466797,115800,0.0,
