date,MGA_Open,MGA_High,MGA_Low,MGA_Close,MGA_Volume,MGA_Dividends,MGA_Stock Splits
1984-10-05 00:00:00+00:00,0.0,3.40625,3.375,1.421717643737793,9600,0.0,
1984-10-08 00:00:00+00:00,3.375,3.375,3.375,1.421717643737793,0,0.0,
1984-10-09 00:00:00+00:00,0.0,3.375,3.34375,1.408552885055542,59200,0.0,
1984-10-10 00:00:00+00:00,0.0,3.34375,3.28125,1.3822250366210938,259600,0.0,
1984-10-11 00:00:00+00:00,0.0,3.375,3.34375,1.408552885055542,33200,0.0,
1984-10-12 00:00:00+00:00,0.0,3.40625,3.375,1.421717643737793,118400,0.0,
1984-10-15 00:00:00+00:00,0.0,3.375,3.34375,1.408552885055542,102000,0.0,
1984-10-16 00:00:00+00:00,0.0,3.375,3.3125,1.395389437675476,38800,0.0,
1984-10-17 00:00:00+00:00,0.0,3.34375,3.3125,1.395389437675476,43600,0.0,
1984-10-18 00:00:00+00:00,0.0,3.3125,3.25,1.3690617084503174,27200,0.0,
1984-10-19 00:00:00+00:00,0.0,3.25,3.21875,1.3558968305587769,107200,0.0,
1984-10-22 00:00:00+00:00,0.0,3.21875,3.1875,1.3427332639694214,98000,0.0,
1984-10-23 00:00:00+00:00,0.0,3.21875,3.1875,1.3427332639694214,38000,0.0,
1984-10-24 00:00:00+00:00,0.0,3.3125,3.25,1.3690617084503174,73600,0.0,
1984-10-25 00:00:00+00:00,0.0,3.34375,3.3125,1.395389437675476,88000,0.0,
1984-10-26 00:00:00+00:00,0.0,3.4375,3.375,1.421717643737793,248400,0.0,
1984-10-29 00:00:00+00:00,0.0,3.40625,3.375,1.421717643737793,27200,0.0,
1984-10-30 00:00:00+00:00,0.0,3.40625,3.375,1.421717643737793,77200,0.0,
1984-10-31 00:00:00+00:00,0.0,3.375,3.3125,1.395389437675476,37200,0.0,
1984-11-01 00:00:00+00:00,0.0,3.375,3.34375,1.408552885055542,8000,0.0,
1984-11-02 00:00:00+00:00,0.0,3.40625,3.375,1.421717643737793,130000,0.0,
1984-11-05 00:00:00+00:00,0.0,3.46875,3.40625,1.4348810911178589,365200,0.0,
1984-11-06 00:00:00+00:00,0.0,3.5,3.46875,1.4612095355987549,570400,0.0,
1984-11-07 00:00:00+00:00,0.0,3.46875,3.4375,1.4480453729629517,38000,0.0,
1984-11-08 00:00:00+00:00,0.0,3.53125,3.5,1.474373698234558,92000,0.0,
1984-11-09 00:00:00+00:00,0.0,3.53125,3.5,1.474373698234558,82400,0.0,
1984-11-12 00:00:00+00:00,0.0,3.53125,3.5,1.474373698234558,40400,0.0,
1984-11-13 00:00:00+00:00,0.0,3.5625,3.5,1.474373698234558,68000,0.0,
1984-11-14 00:00:00+00:00,0.0,3.53125,3.5,1.474373698234558,79200,0.0,
1984-11-15 00:00:00+00:00,0.0,3.53125,3.46875,1.4612095355987549,546000,0.0,
1984-11-16 00:00:00+00:00,0.0,3.53125,3.46875,1.4612095355987549,34400,0.0,
1984-11-19 00:00:00+00:00,0.0,3.5,3.46875,1.4612095355987549,45600,0.0,
1984-11-20 00:00:00+00:00,0.0,3.6875,3.625,1.5270299911499023,227200,0.0,
1984-11-21 00:00:00+00:00,0.0,3.65625,3.625,1.5270299911499023,121200,0.0,
1984-11-23 00:00:00+00:00,0.0,3.6875,3.65625,1.540193796157837,96800,0.0,
1984-11-26 00:00:00+00:00,0.0,3.65625,3.625,1.5270299911499023,70800,0.0,
1984-11-27 00:00:00+00:00,0.0,3.65625,3.625,1.5270299911499023,277200,0.0,
1984-11-28 00:00:00+00:00,0.0,3.625,3.59375,1.5138657093048096,123600,0.0,
1984-11-29 00:00:00+00:00,0.0,3.59375,3.5625,1.5007015466690063,198400,0.0,
1984-11-30 00:00:00+00:00,0.0,3.5625,3.53125,1.4875376224517822,157200,0.0,
1984-12-03 00:00:00+00:00,0.0,3.53125,3.5,1.474373698234558,105200,0.0,
1984-12-04 00:00:00+00:00,0.0,3.5625,3.5,1.474373698234558,84000,0.0,
1984-12-05 00:00:00+00:00,0.0,3.5625,3.5,1.474373698234558,60000,0.0,
1984-12-06 00:00:00+00:00,0.0,3.5,3.46875,1.4612095355987549,261600,0.0,
1984-12-07 00:00:00+00:00,0.0,3.40625,3.375,1.421717643737793,145200,0.0,
1984-12-10 00:00:00+00:00,0.0,3.375,3.34375,1.408552885055542,255200,0.0,
1984-12-11 00:00:00+00:00,0.0,3.34375,3.3125,1.395389437675476,187200,0.0,
1984-12-12 00:00:00+00:00,0.0,3.375,3.34375,1.408552885055542,208000,0.0,
1984-12-13 00:00:00+00:00,0.0,3.34375,3.3125,1.395389437675476,720800,0.0,
1984-12-14 00:00:00+00:00,0.0,3.375,3.34375,1.408552885055542,217600,0.0,
1984-12-17 00:00:00+00:00,0.0,3.375,3.34375,1.408552885055542,80400,0.0,
1984-12-18 00:00:00+00:00,0.0,3.4375,3.40625,1.4348810911178589,319600,0.0,
1984-12-19 00:00:00+00:00,0.0,3.40625,3.375,1.421717643737793,166000,0.0,
1984-12-20 00:00:00+00:00,0.0,3.40625,3.375,1.421717643737793,212000,0.0,
1984-12-21 00:00:00+00:00,0.0,3.40625,3.375,1.421717643737793,8000,0.0,
1984-12-24 00:00:00+00:00,0.0,3.46875,3.4375,1.4480453729629517,124800,0.0,
1984-12-26 00:00:00+00:00,0.0,3.5,3.4375,1.4480453729629517,19200,0.0,
1984-12-27 00:00:00+00:00,0.0,3.46875,3.4375,1.4480453729629517,42000,0.0,
1984-12-28 00:00:00+00:00,0.0,3.46875,3.4375,1.4480453729629517,193200,0.0,
1984-12-31 00:00:00+00:00,0.0,3.46875,3.4375,1.4480453729629517,20000,0.0,
1985-01-02 00:00:00+00:00,0.0,3.5,3.4375,1.4480453729629517,21200,0.0,
1985-01-03 00:00:00+00:00,0.0,3.53125,3.5,1.474373698234558,109200,0.0,
1985-01-04 00:00:00+00:00,0.0,3.5,3.46875,1.4612095355987549,146000,0.0,
1985-01-07 00:00:00+00:00,0.0,3.5,3.46875,1.4612095355987549,32800,0.0,
1985-01-08 00:00:00+00:00,0.0,3.5,3.46875,1.4612095355987549,1200,0.0,
1985-01-09 00:00:00+00:00,0.0,3.5,3.46875,1.4612095355987549,34400,0.0,
1985-01-10 00:00:00+00:00,0.0,3.625,3.5625,1.5007015466690063,228400,0.0,
1985-01-11 00:00:00+00:00,0.0,3.6875,3.65625,1.540193796157837,401600,0.0,
1985-01-14 00:00:00+00:00,0.0,3.71875,3.6875,1.5533584356307983,102400,0.0,
1985-01-15 00:00:00+00:00,0.0,3.84375,3.78125,1.5928499698638916,316000,0.0,
1985-01-16 00:00:00+00:00,0.0,3.9375,3.875,1.6323422193527222,756800,0.0,
1985-01-17 00:00:00+00:00,0.0,4.09375,4.0625,1.711326003074646,227200,0.0,
