date,BYRN_Open,BYRN_High,BYRN_Low,BYRN_Close,BYRN_Volume,BYRN_Dividends,BYRN_Stock Splits
2006-09-12 00:00:00+00:00,1.5,4.5,1.5,3.0,21500,,
2006-09-13 00:00:00+00:00,5.300000190734863,7.5,5.0,5.800000190734863,14050,,
2006-09-14 00:00:00+00:00,6.300000190734863,6.300000190734863,6.300000190734863,6.300000190734863,4620,,
2006-09-15 00:00:00+00:00,6.300000190734863,6.300000190734863,5.0,5.300000190734863,1500,,
2006-09-18 00:00:00+00:00,5.300000190734863,5.300000190734863,5.300000190734863,5.300000190734863,0,,
2006-09-19 00:00:00+00:00,5.300000190734863,5.300000190734863,5.300000190734863,5.300000190734863,0,,
2006-09-20 00:00:00+00:00,5.300000190734863,5.300000190734863,5.300000190734863,5.300000190734863,0,,
2006-09-21 00:00:00+00:00,5.300000190734863,5.300000190734863,5.300000190734863,5.300000190734863,0,,
2006-09-22 00:00:00+00:00,5.300000190734863,5.300000190734863,5.300000190734863,5.300000190734863,0,,
2006-09-25 00:00:00+00:00,5.300000190734863,5.300000190734863,5.300000190734863,5.300000190734863,0,,
2006-09-26 00:00:00+00:00,5.300000190734863,5.300000190734863,5.300000190734863,5.300000190734863,0,,
2006-09-27 00:00:00+00:00,6.5,8.0,5.5,6.300000190734863,14970,,
2006-09-28 00:00:00+00:00,6.800000190734863,6.800000190734863,6.300000190734863,6.5,7740,,
2006-09-29 00:00:00+00:00,7.0,7.0,6.300000190734863,6.300000190734863,120,,
2006-10-02 00:00:00+00:00,6.5,7.5,6.5,7.0,4050,,
2006-10-03 00:00:00+00:00,7.5,7.5,7.0,7.300000190734863,3760,,
2006-10-04 00:00:00+00:00,7.300000190734863,7.300000190734863,7.300000190734863,7.300000190734863,0,,
2006-10-05 00:00:00+00:00,7.5,7.5,7.5,7.5,1500,,
2006-10-06 00:00:00+00:00,7.5,7.5,7.5,7.5,0,,
2006-10-09 00:00:00+00:00,7.5,7.5,7.5,7.5,0,,
2006-10-10 00:00:00+00:00,7.0,7.0,7.0,7.0,510,,
2006-10-11 00:00:00+00:00,7.5,7.5,7.0,7.0,700,,
2006-10-12 00:00:00+00:00,7.5,7.599999904632568,7.5,7.599999904632568,1000,,
2006-10-13 00:00:00+00:00,7.0,7.199999809265137,7.0,7.099999904632568,3250,,
2006-10-16 00:00:00+00:00,7.5,7.699999809265137,7.5,7.5,1550,,
2006-10-17 00:00:00+00:00,7.300000190734863,7.5,7.300000190734863,7.300000190734863,1920,,
2006-10-18 00:00:00+00:00,7.400000095367432,7.5,7.0,7.0,3250,,
2006-10-19 00:00:00+00:00,7.0,7.0,7.0,7.0,0,,
2006-10-20 00:00:00+00:00,7.0,7.0,7.0,7.0,0,,
