date,CATY_Open,CATY_High,CATY_Low,CATY_Close,CATY_Volume,CATY_Dividends,CATY_Stock Splits
1990-12-14 00:00:00+00:00,0.0,4.1666669845581055,3.9583330154418954,1.946890115737915,64800,0.0,
1990-12-17 00:00:00+00:00,3.541666984558105,3.9583330154418954,3.541666984558105,1.697288990020752,17280,0.0,
1990-12-18 00:00:00+00:00,3.6197919845581055,3.8020830154418954,3.6197919845581055,1.7971299886703491,57600,0.0,
1990-12-19 00:00:00+00:00,3.75,3.8020830154418954,3.6458330154418954,1.7971299886703491,8640,0.0,
1990-12-20 00:00:00+00:00,3.121745109558105,3.121745109558105,3.121745109558105,1.4960483312606812,0,0.0,
1990-12-21 00:00:00+00:00,3.8541669845581055,3.8541669845581055,3.8541669845581055,1.8470492362976076,480,0.0,
1990-12-24 00:00:00+00:00,3.8020830154418954,3.8020830154418954,3.8020830154418954,1.8220897912979128,1440,0.0,
1990-12-26 00:00:00+00:00,3.8020830154418954,3.8020830154418954,3.59375,1.8220897912979128,24000,0.0,
1990-12-27 00:00:00+00:00,3.8020830154418954,3.8020830154418954,3.8020830154418954,1.8220897912979128,0,0.0,
1990-12-28 00:00:00+00:00,3.7239580154418954,3.75,3.6458330154418954,1.7472093105316162,46080,0.0,
1990-12-31 00:00:00+00:00,3.75,3.8020830154418954,3.75,1.8220897912979128,4800,0.0,
1991-01-02 00:00:00+00:00,3.6458330154418954,3.8020830154418954,3.6458330154418954,1.8220897912979128,40320,0.0,
1991-01-03 00:00:00+00:00,3.671875,3.8020830154418954,3.671875,1.8220897912979128,8160,0.0,
1991-01-04 00:00:00+00:00,3.8020830154418954,3.8020830154418954,3.8020830154418954,1.8220897912979128,0,0.0,
1991-01-07 00:00:00+00:00,3.8020830154418954,3.8020830154418954,3.8020830154418954,1.8220897912979128,0,0.0,
1991-01-08 00:00:00+00:00,3.8020830154418954,3.8020830154418954,3.8020830154418954,1.8220897912979128,0,0.0,
1991-01-09 00:00:00+00:00,3.8020830154418954,3.8020830154418954,3.8020830154418954,1.8220897912979128,0,0.0,
