date,TPST_Open,TPST_High,TPST_Low,TPST_Close,TPST_Volume,TPST_Dividends,TPST_Stock Splits
2012-11-12 00:00:00+00:00,1687.5,1687.5,1687.5,1687.5,22,,
2012-11-13 00:00:00+00:00,1912.5,2025.0,1912.5,1912.5,13,,
2012-11-14 00:00:00+00:00,1912.5,1912.5,1687.5,1800.0,28,,
2012-11-15 00:00:00+00:00,1800.0,1800.0,1800.0,1800.0,13,,
2012-11-16 00:00:00+00:00,1800.0,1800.0,1800.0,1800.0,0,,
2012-11-19 00:00:00+00:00,1800.0,1800.0,1800.0,1800.0,0,,
2012-11-20 00:00:00+00:00,1687.5,1687.5,1687.5,1687.5,2,,
2012-11-21 00:00:00+00:00,1822.5,2058.75,1822.5,2058.75,24,,
2012-11-23 00:00:00+00:00,2193.75,2193.75,2058.75,2058.75,16,,
2012-11-26 00:00:00+00:00,2081.25,2250.0,1935.0,1935.0,28,,
2012-11-27 00:00:00+00:00,1975.5,1975.5,1935.0,1935.0,16,,
2012-11-28 00:00:00+00:00,2227.5,2227.5,2025.0,2092.5,55,,
2012-11-29 00:00:00+00:00,2103.75,2126.25,2092.5,2092.5,16,,
2012-11-30 00:00:00+00:00,2092.5,2137.5,2025.0,2036.25,56,,
2012-12-03 00:00:00+00:00,2036.25,2036.25,1878.75,1878.75,22,,
2012-12-04 00:00:00+00:00,1845.0,1968.75,1811.25,1867.5,43,,
2012-12-05 00:00:00+00:00,1878.75,1890.0,1755.0,1755.0,27,,
2012-12-06 00:00:00+00:00,1876.5,1876.5,1876.5,1876.5,1,,
2012-12-07 00:00:00+00:00,1822.5,1822.5,1822.5,1822.5,4,,
2012-12-10 00:00:00+00:00,1878.75,2126.25,1845.0,1867.5,28,,
2012-12-11 00:00:00+00:00,1856.25,1935.0,1856.25,1912.5,32,,
2012-12-12 00:00:00+00:00,1800.0,1811.25,1800.0,1811.25,16,,
2012-12-13 00:00:00+00:00,1811.25,1811.25,1811.25,1811.25,0,,
2012-12-14 00:00:00+00:00,1822.5,1822.5,1800.0,1800.0,6,,
2012-12-17 00:00:00+00:00,1797.75,1800.0,1732.5,1800.0,14,,
2012-12-18 00:00:00+00:00,1804.5,1991.25,1800.0,1912.5,46,,
2012-12-19 00:00:00+00:00,1946.25,1980.0,1878.75,1980.0,26,,
2012-12-20 00:00:00+00:00,1980.0,1980.0,1980.0,1980.0,0,,
2012-12-21 00:00:00+00:00,1822.5,1980.0,1732.5,1980.0,27,,
2012-12-24 00:00:00+00:00,1912.5,1912.5,1912.5,1912.5,0,,
2012-12-26 00:00:00+00:00,1912.5,1912.5,1912.5,1912.5,9,,
2012-12-27 00:00:00+00:00,1912.5,1912.5,1912.5,1912.5,0,,
2012-12-28 00:00:00+00:00,1912.5,1912.5,1912.5,1912.5,2,,
2012-12-31 00:00:00+00:00,1914.75,1917.0,1883.25,1883.25,41,,
2013-01-02 00:00:00+00:00,1912.5,1912.5,1912.5,1912.5,16,,
2013-01-03 00:00:00+00:00,1912.5,1912.5,1912.5,1912.5,3,,
2013-01-04 00:00:00+00:00,1912.5,2137.5,1912.5,1912.5,13,,
2013-01-07 00:00:00+00:00,1935.0,2025.0,1914.75,2025.0,5,,
2013-01-08 00:00:00+00:00,2058.75,2058.75,1912.5,1968.75,41,,
2013-01-09 00:00:00+00:00,1935.0,1935.0,1901.25,1901.25,19,,
2013-01-10 00:00:00+00:00,2002.5,2002.5,1856.25,1856.25,12,,
2013-01-11 00:00:00+00:00,1968.75,1968.75,1890.0,1935.0,16,,
2013-01-14 00:00:00+00:00,1923.75,1923.75,1833.75,1833.75,13,,
2013-01-15 00:00:00+00:00,1912.5,1912.5,1912.5,1912.5,2,,
2013-01-16 00:00:00+00:00,1968.75,1968.75,1935.0,1935.0,5,,
2013-01-17 00:00:00+00:00,1935.0,1935.0,1935.0,1935.0,5,,
2013-01-18 00:00:00+00:00,1935.0,1935.0,1935.0,1935.0,0,,
2013-01-22 00:00:00+00:00,1935.0,1935.0,1935.0,1935.0,0,,
2013-01-23 00:00:00+00:00,1968.75,1968.75,1890.0,1890.0,13,,
2013-01-24 00:00:00+00:00,1901.25,1901.25,1833.75,1833.75,23,,
2013-01-25 00:00:00+00:00,1845.0,1890.0,1845.0,1890.0,2,,
2013-01-28 00:00:00+00:00,1890.0,1890.0,1890.0,1890.0,4,,
2013-01-29 00:00:00+00:00,1890.0,1890.0,1890.0,1890.0,0,,
2013-01-30 00:00:00+00:00,1892.25,1892.25,1892.25,1892.25,0,,
2013-01-31 00:00:00+00:00,1991.25,2025.0,1912.5,2025.0,41,,
2013-02-01 00:00:00+00:00,2025.0,2025.0,2025.0,2025.0,4,,
2013-02-04 00:00:00+00:00,2025.0,2025.0,2025.0,2025.0,0,,
2013-02-05 00:00:00+00:00,2025.0,2025.0,2025.0,2025.0,0,,
2013-02-06 00:00:00+00:00,2004.75,2004.75,1906.199951171875,1912.5,34,,
2013-02-07 00:00:00+00:00,1912.5,1912.5,1890.0,1905.75,24,,
2013-02-08 00:00:00+00:00,1923.75,1923.75,1912.5,1912.5,5,,
2013-02-11 00:00:00+00:00,1912.5,1912.5,1912.5,1912.5,0,,
2013-02-12 00:00:00+00:00,1968.75,2025.0,1856.25,1912.5,50,,
2013-02-13 00:00:00+00:00,1912.5,1912.5,1912.5,1912.5,0,,
2013-02-14 00:00:00+00:00,2025.0,2025.0,1973.25,1973.25,33,,
2013-02-15 00:00:00+00:00,2025.0,2025.0,2013.75,2025.0,57,,
2013-02-19 00:00:00+00:00,2025.0,2025.0,2025.0,2025.0,1,,
2013-02-20 00:00:00+00:00,2022.75,2022.75,2022.75,2022.75,0,,
2013-02-21 00:00:00+00:00,2022.75,2022.75,2022.75,2022.75,0,,
2013-02-22 00:00:00+00:00,2022.75,2022.75,2022.75,2022.75,0,,
2013-02-25 00:00:00+00:00,2081.25,3150.0,2081.25,2193.75,1,,
2013-02-26 00:00:00+00:00,2193.75,2193.75,2193.75,2193.75,0,,
2013-02-27 00:00:00+00:00,2576.25,2593.125,2418.75,2418.75,9,,
2013-02-28 00:00:00+00:00,2418.75,2418.75,2418.75,2418.75,0,,
2013-03-01 00:00:00+00:00,2418.75,2418.75,2418.75,2418.75,0,,
2013-03-04 00:00:00+00:00,2418.75,2418.75,2418.75,2418.75,1,,
2013-03-05 00:00:00+00:00,2475.0,2475.0,2475.0,2475.0,2,,
2013-03-06 00:00:00+00:00,3375.0,3375.0,2873.25,2873.25,1,,
2013-03-07 00:00:00+00:00,3150.0,3150.0,3010.5,3037.5,3,,
2013-03-08 00:00:00+00:00,3037.5,3150.0,3037.5,3127.5,17,,
2013-03-11 00:00:00+00:00,3127.5,3150.0,3048.75,3150.0,8,,
2013-03-12 00:00:00+00:00,3150.0,3206.25,3037.5,3037.5,8,,
2013-03-13 00:00:00+00:00,3037.5,3037.5,2250.0,2486.25,168,,
2013-03-14 00:00:00+00:00,2475.0,2475.0,2473.875,2475.0,15,,
2013-03-15 00:00:00+00:00,2475.0,2497.5,2475.0,2497.5,11,,
2013-03-18 00:00:00+00:00,2497.5,2497.5,2362.5,2362.5,111,,
2013-03-19 00:00:00+00:00,2452.5,2452.5,2362.5,2430.0,4,,
2013-03-20 00:00:00+00:00,2412.0,2412.0,2250.0,2250.0,23,,
2013-03-21 00:00:00+00:00,2193.75,2227.5,2193.75,2227.5,34,,
2013-03-22 00:00:00+00:00,2227.5,2227.5,2081.25,2205.0,74,,
2013-03-25 00:00:00+00:00,2205.0,2227.5,2002.5,2025.0,71,,
2013-03-26 00:00:00+00:00,2081.25,2115.0,2025.0,2025.0,27,,
2013-03-27 00:00:00+00:00,2081.25,2081.25,2047.5,2056.5,70,,
2013-03-28 00:00:00+00:00,2070.0,2070.0,2025.0,2025.0,7,,
2013-04-01 00:00:00+00:00,2025.0,2025.0,2025.0,2025.0,0,,
2013-04-02 00:00:00+00:00,2070.0,2103.75,2049.75,2049.75,32,,
2013-04-03 00:00:00+00:00,2058.75,2058.75,2036.25,2036.25,77,,
2013-04-04 00:00:00+00:00,2058.75,2058.75,2025.0,2025.0,85,,
2013-04-05 00:00:00+00:00,2058.75,2058.75,2036.25,2047.5,13,,
2013-04-08 00:00:00+00:00,2025.0,2047.5,2025.0,2047.5,4,,
2013-04-09 00:00:00+00:00,2058.75,2058.75,2047.5,2047.5,24,,
2013-04-10 00:00:00+00:00,2115.0,2115.0,2047.5,2047.5,69,,
2013-04-11 00:00:00+00:00,2047.5,2058.75,2047.5,2058.75,358,,
2013-04-12 00:00:00+00:00,2058.75,2058.75,2058.75,2058.75,0,,
2013-04-15 00:00:00+00:00,2088.0,2097.0,2081.25,2097.0,12,,
2013-04-16 00:00:00+00:00,2097.0,2250.0,2097.0,2227.5,53,,
2013-04-17 00:00:00+00:00,2362.5,2362.5,2227.5,2227.5,5,,
2013-04-18 00:00:00+00:00,2227.5,2227.5,2227.5,2227.5,4,,
2013-04-19 00:00:00+00:00,2227.5,2227.5,2162.25,2227.5,76,,
2013-04-22 00:00:00+00:00,2232.0,2232.0,2232.0,2232.0,0,,
2013-04-23 00:00:00+00:00,2227.5,2232.0,2092.5,2193.75,36,,
2013-04-24 00:00:00+00:00,2193.75,2193.75,2193.75,2193.75,0,,
2013-04-25 00:00:00+00:00,2225.25,2371.5,2225.25,2371.5,16,,
2013-04-26 00:00:00+00:00,2369.25,3037.5,2369.25,2812.5,47,,
2013-04-29 00:00:00+00:00,2812.5,2812.5,2587.5,2587.5,5,,
2013-04-30 00:00:00+00:00,2598.75,2666.25,2587.5,2632.5,14,,
2013-05-01 00:00:00+00:00,2587.5,2714.625,2587.5,2711.25,81,,
2013-05-02 00:00:00+00:00,2756.25,2756.25,2643.75,2722.5,8,,
