date,PCG-PH_Open,PCG-PH_High,PCG-PH_Low,PCG-PH_Close,PCG-PH_Volume,PCG-PH_Dividends,PCG-PH_Stock Splits
2000-01-03 00:00:00+00:00,16.375,16.375,16.375,7.174000263214111,200.0,0.0,
2000-01-04 00:00:00+00:00,16.125,16.125,16.125,7.0644731521606445,100.0,0.0,
2000-01-05 00:00:00+00:00,15.625,16.625,15.625,6.845418930053711,0.0,0.0,
2000-01-06 00:00:00+00:00,15.625,16.625,15.625,6.845418930053711,0.0,0.0,
2000-01-07 00:00:00+00:00,15.625,16.625,15.625,6.845418930053711,0.0,0.0,
2000-01-10 00:00:00+00:00,15.625,17.625,15.625,6.845418930053711,0.0,0.0,
2000-01-11 00:00:00+00:00,15.625,16.125,15.625,6.845418930053711,0.0,0.0,
2000-01-12 00:00:00+00:00,15.625,16.125,15.625,6.845418930053711,0.0,0.0,
2000-01-13 00:00:00+00:00,15.625,16.125,15.625,6.845418930053711,0.0,0.0,
2000-01-14 00:00:00+00:00,15.625,16.125,15.625,6.845418930053711,0.0,0.0,
2000-01-18 00:00:00+00:00,15.75,15.75,15.75,6.900183200836182,600.0,0.0,
2000-01-19 00:00:00+00:00,15.25,16.125,15.25,6.681130409240723,0.0,0.0,
2000-01-20 00:00:00+00:00,15.25,16.125,15.25,6.681130409240723,0.0,0.0,
2000-01-21 00:00:00+00:00,15.0,15.875,15.0,6.695077419281006,0.0,0.28125,
2000-01-24 00:00:00+00:00,15.125,15.125,15.125,6.7508697509765625,100.0,0.0,
2000-01-25 00:00:00+00:00,15.0,15.0,15.0,6.695077419281006,100.0,0.0,
2000-01-26 00:00:00+00:00,14.75,14.75,14.75,6.583494186401367,100.0,0.0,
2000-01-27 00:00:00+00:00,15.0,15.0,15.0,6.695077419281006,200.0,0.0,
2000-01-28 00:00:00+00:00,15.0,15.25,15.0,6.80666446685791,1100.0,0.0,
2000-01-31 00:00:00+00:00,15.125,15.75,15.125,6.7508697509765625,0.0,0.0,
2000-02-01 00:00:00+00:00,15.625,16.125,15.625,7.197207927703857,5200.0,0.0,
2000-02-02 00:00:00+00:00,15.875,16.625,15.875,7.085623264312744,0.0,0.0,
2000-02-03 00:00:00+00:00,15.875,16.625,15.875,7.085623264312744,0.0,0.0,
2000-02-04 00:00:00+00:00,16.125,16.125,16.125,7.197207927703857,13300.0,0.0,
2000-02-07 00:00:00+00:00,15.625,16.625,15.625,6.9740400314331055,0.0,0.0,
2000-02-08 00:00:00+00:00,15.75,15.75,15.75,7.029832363128662,2000.0,0.0,
2000-02-09 00:00:00+00:00,16.125,16.125,16.125,7.197207927703857,100.0,0.0,
2000-02-10 00:00:00+00:00,16.0625,16.0625,16.0625,7.169312953948975,800.0,0.0,
2000-02-11 00:00:00+00:00,15.5,16.5,15.5,6.918247222900391,0.0,0.0,
2000-02-14 00:00:00+00:00,15.5,16.5,15.5,6.918247222900391,0.0,0.0,
2000-02-15 00:00:00+00:00,15.625,16.5,15.625,6.9740400314331055,0.0,0.0,
2000-02-16 00:00:00+00:00,15.625,16.5,15.625,6.9740400314331055,0.0,0.0,
2000-02-17 00:00:00+00:00,15.75,16.625,15.75,7.029832363128662,0.0,0.0,
2000-02-18 00:00:00+00:00,15.75,16.5,15.75,7.029832363128662,0.0,0.0,
2000-02-22 00:00:00+00:00,15.75,16.25,15.75,7.029832363128662,0.0,0.0,
2000-02-23 00:00:00+00:00,16.25,16.25,16.25,7.252999305725098,2100.0,0.0,
2000-02-24 00:00:00+00:00,15.75,16.625,15.75,7.029832363128662,0.0,0.0,
2000-02-25 00:00:00+00:00,15.75,16.625,15.75,7.029832363128662,0.0,0.0,
2000-02-28 00:00:00+00:00,15.75,16.625,15.75,7.029832363128662,0.0,0.0,
2000-02-29 00:00:00+00:00,15.75,16.5,15.75,7.029832363128662,0.0,0.0,
2000-03-01 00:00:00+00:00,16.0,16.0,16.0,7.141417026519775,100.0,0.0,
2000-03-02 00:00:00+00:00,16.0,16.0,16.0,7.141417026519775,1000.0,0.0,
