date,AORT_Open,AORT_High,AORT_Low,AORT_Close,AORT_Volume,AORT_Dividends,AORT_Stock Splits
1993-02-12 00:00:00+00:00,4.333333015441895,4.6666669845581055,3.6666669845581055,3.814114570617676,5587200,0.0,
1993-02-16 00:00:00+00:00,3.9583330154418954,4.083333015441895,3.416666984558105,3.2578892707824707,895200,0.0,
1993-02-17 00:00:00+00:00,3.6666669845581055,3.6666669845581055,3.416666984558105,3.297619104385376,378300,0.0,
1993-02-18 00:00:00+00:00,3.6666669845581055,3.6666669845581055,3.0833330154418945,3.1784279346466064,481500,0.0,
1993-02-19 00:00:00+00:00,3.166666984558105,3.3333330154418945,3.166666984558105,3.0989677906036377,284100,0.0,
1993-02-22 00:00:00+00:00,3.3333330154418945,3.3333330154418945,3.166666984558105,3.0195071697235107,359400,0.0,
1993-02-23 00:00:00+00:00,3.166666984558105,3.3333330154418945,3.0833330154418945,3.1784279346466064,153300,0.0,
1993-02-24 00:00:00+00:00,3.0833330154418945,3.25,3.0,3.0989677906036377,160200,0.0,
1993-02-25 00:00:00+00:00,3.0833330154418945,3.25,3.0833330154418945,3.0989677906036377,26100,0.0,
1993-02-26 00:00:00+00:00,3.25,3.25,3.0833330154418945,3.0195071697235107,75600,0.0,
1993-03-01 00:00:00+00:00,3.25,3.25,3.0833330154418945,3.0195071697235107,43500,0.0,
1993-03-02 00:00:00+00:00,3.0833330154418945,3.25,3.0833330154418945,2.9400458335876465,21600,0.0,
1993-03-03 00:00:00+00:00,3.25,3.25,3.0833330154418945,3.0195071697235107,127800,0.0,
1993-03-04 00:00:00+00:00,3.2083330154418945,3.3333330154418945,3.0833330154418945,3.1784279346466064,53700,0.0,
1993-03-05 00:00:00+00:00,3.3333330154418945,3.3333330154418945,3.0833330154418945,2.9400458335876465,473100,0.0,
1993-03-08 00:00:00+00:00,3.3333330154418945,3.6666669845581055,3.166666984558105,3.4962716102600098,188100,0.0,
1993-03-09 00:00:00+00:00,3.3333330154418945,3.6666669845581055,3.3333330154418945,3.4962716102600098,134700,0.0,
1993-03-10 00:00:00+00:00,3.3333330154418945,3.3333330154418945,2.666666984558105,2.8605856895446777,480000,0.0,
1993-03-11 00:00:00+00:00,3.25,3.25,2.916666984558105,2.781125545501709,114000,0.0,
1993-03-12 00:00:00+00:00,2.916666984558105,2.916666984558105,2.75,2.781125545501709,108000,0.0,
1993-03-15 00:00:00+00:00,2.8333330154418945,2.8333330154418945,2.5833330154418945,2.463282346725464,75900,0.0,
1993-03-16 00:00:00+00:00,2.666666984558105,3.0833330154418945,2.666666984558105,2.781125545501709,213300,0.0,
1993-03-17 00:00:00+00:00,2.916666984558105,3.0833330154418945,2.916666984558105,2.9400458335876465,79200,0.0,
1993-03-18 00:00:00+00:00,3.0833330154418945,3.166666984558105,3.0,2.8605856895446777,78000,0.0,
1993-03-19 00:00:00+00:00,3.0,3.166666984558105,3.0,2.8605856895446777,68700,0.0,
1993-03-22 00:00:00+00:00,3.166666984558105,3.166666984558105,3.0,2.8605856895446777,49500,0.0,
1993-03-23 00:00:00+00:00,3.0,3.0833330154418945,2.916666984558105,2.781125545501709,24600,0.0,
1993-03-24 00:00:00+00:00,2.916666984558105,2.916666984558105,2.5833330154418945,2.463282346725464,84600,0.0,
1993-03-25 00:00:00+00:00,2.5833330154418945,2.8333330154418945,2.5833330154418945,2.582472801208496,85800,0.0,
1993-03-26 00:00:00+00:00,2.8333330154418945,2.8333330154418945,2.5833330154418945,2.7016637325286865,9600,0.0,
1993-03-29 00:00:00+00:00,2.5833330154418945,2.8333330154418945,2.416666984558105,2.304361343383789,31500,0.0,
1993-03-30 00:00:00+00:00,2.416666984558105,2.8333330154418945,2.416666984558105,2.463282346725464,100500,0.0,
1993-03-31 00:00:00+00:00,2.5,2.75,2.5,2.54274320602417,151500,0.0,
1993-04-01 00:00:00+00:00,2.75,2.75,2.666666984558105,2.54274320602417,33600,0.0,
1993-04-02 00:00:00+00:00,2.666666984558105,2.75,2.666666984558105,2.54274320602417,54300,0.0,
1993-04-05 00:00:00+00:00,2.791666984558105,2.8333330154418945,2.666666984558105,2.7016637325286865,12300,0.0,
1993-04-06 00:00:00+00:00,2.8333330154418945,3.0833330154418945,2.75,2.820855140686035,203100,0.0,
1993-04-07 00:00:00+00:00,3.0833330154418945,3.0833330154418945,2.916666984558105,2.9400458335876465,26400,0.0,
1993-04-08 00:00:00+00:00,3.0833330154418945,3.0833330154418945,2.916666984558105,2.9400458335876465,13500,0.0,
