date,CP_Open,CP_High,CP_Low,CP_Close,CP_Volume,CP_Dividends,CP_Stock Splits
1983-12-30 00:00:00+00:00,1.350000023841858,1.350000023841858,1.3416670560836792,0.5836129784584045,282000,0.0,
1984-01-03 00:00:00+00:00,1.3458329439163208,1.3541669845581057,1.3458329439163208,0.5872271656990051,1062000,0.0,
1984-01-04 00:00:00+00:00,1.3541669845581057,1.375,1.3541669845581057,0.5944541096687317,420000,0.0,
1984-01-05 00:00:00+00:00,1.3833329677581787,1.3916670083999634,1.375,0.5998749732971191,222000,0.0,
1984-01-06 00:00:00+00:00,1.3833329677581787,1.3916670083999634,1.375,0.5998749732971191,1035000,0.0,
1984-01-09 00:00:00+00:00,1.3833329677581787,1.3833329677581787,1.375,0.5980679988861084,543000,0.0,
1984-01-10 00:00:00+00:00,1.3958330154418943,1.4041670560836792,1.3833329677581787,0.6052950620651245,3729000,0.0,
1984-01-11 00:00:00+00:00,1.3958330154418943,1.4208329916000366,1.3958330154418943,0.6161364316940308,564000,0.0,
1984-01-12 00:00:00+00:00,1.4208329916000366,1.4333330392837524,1.412500023841858,0.6197503805160522,459000,0.0,
1984-01-13 00:00:00+00:00,1.4291670322418213,1.4291670322418213,1.412500023841858,0.612522542476654,114000,0.0,
1984-01-16 00:00:00+00:00,1.412500023841858,1.412500023841858,1.399999976158142,0.6071024537086487,3231000,0.0,
1984-01-17 00:00:00+00:00,1.399999976158142,1.4041670560836792,1.3916670083999634,0.6052950620651245,504000,0.0,
1984-01-18 00:00:00+00:00,1.3958330154418943,1.412500023841858,1.3958330154418943,0.6089093089103699,3156000,0.0,
1984-01-19 00:00:00+00:00,1.4041670560836792,1.412500023841858,1.4041670560836792,0.6089093089103699,198000,0.0,
1984-01-20 00:00:00+00:00,1.4041670560836792,1.412500023841858,1.399999976158142,0.6071024537086487,204000,0.0,
1984-01-23 00:00:00+00:00,1.399999976158142,1.399999976158142,1.3875000476837158,0.6016817688941956,159000,0.0,
1984-01-24 00:00:00+00:00,1.3875000476837158,1.3916670083999634,1.3791669607162476,0.6016817688941956,414000,0.0,
1984-01-25 00:00:00+00:00,1.3875000476837158,1.3958330154418943,1.3791669607162476,0.5980679988861084,417000,0.0,
1984-01-26 00:00:00+00:00,1.3791669607162476,1.3833329677581787,1.350000023841858,0.5890337228775024,1152000,0.0,
1984-01-27 00:00:00+00:00,1.3583329916000366,1.3624999523162842,1.3541669845581057,0.590840756893158,225000,0.0,
1984-01-30 00:00:00+00:00,1.3624999523162842,1.3666670322418213,1.3250000476837158,0.5745791792869568,435000,0.0,
1984-01-31 00:00:00+00:00,1.3250000476837158,1.3291670083999634,1.3208329677581787,0.5745791792869568,624000,0.0,
1984-02-01 00:00:00+00:00,1.3250000476837158,1.3250000476837158,1.3041670322418213,0.5655449032783508,558000,0.0,
