date,AMKR_Open,AMKR_High,AMKR_Low,AMKR_Close,AMKR_Volume,AMKR_Dividends,AMKR_Stock Splits
1998-05-01 00:00:00+00:00,12.375,13.5625,11.75,12.845980644226074,23597300,0.0,
1998-05-04 00:00:00+00:00,13.4375,14.0,13.375,13.268148422241213,3529400,0.0,
1998-05-05 00:00:00+00:00,13.75,13.875,13.0,12.785670280456545,3056300,0.0,
1998-05-06 00:00:00+00:00,13.25,13.25,11.875,12.182572364807127,3109900,0.0,
1998-05-07 00:00:00+00:00,12.625,12.75,12.25,11.881025314331056,1304100,0.0,
1998-05-08 00:00:00+00:00,12.3125,12.75,12.3125,12.122262001037598,1326400,0.0,
1998-05-11 00:00:00+00:00,12.5,12.875,12.5,12.242881774902344,889600,0.0,
1998-05-12 00:00:00+00:00,12.6875,12.75,12.3125,11.94133472442627,1467700,0.0,
1998-05-13 00:00:00+00:00,12.25,12.375,11.5,11.277925491333008,1448900,0.0,
1998-05-14 00:00:00+00:00,11.625,11.75,11.375,10.976378440856934,1189000,0.0,
1998-05-15 00:00:00+00:00,11.0625,11.25,10.75,10.554208755493164,2314800,0.0,
1998-05-18 00:00:00+00:00,10.6875,10.875,10.4375,10.312968254089355,1836500,0.0,
1998-05-19 00:00:00+00:00,10.8125,11.0625,10.75,10.554208755493164,1390700,0.0,
1998-05-20 00:00:00+00:00,10.9375,11.0625,10.4375,10.071727752685549,1014500,0.0,
1998-05-21 00:00:00+00:00,10.5,10.625,10.0,9.890801429748535,1641100,0.0,
1998-05-22 00:00:00+00:00,10.125,10.375,10.0,9.709872245788574,329100,0.0,
1998-05-26 00:00:00+00:00,10.0,10.25,9.875,9.528943061828612,833800,0.0,
1998-05-27 00:00:00+00:00,9.75,9.875,9.0,9.528943061828612,1574900,0.0,
1998-05-28 00:00:00+00:00,9.8125,10.5,9.6875,9.830491065979004,1727500,0.0,
1998-05-29 00:00:00+00:00,10.1875,10.375,10.125,10.011420249938965,748000,0.0,
1998-06-01 00:00:00+00:00,10.1875,10.375,10.125,9.890801429748535,1764200,0.0,
1998-06-02 00:00:00+00:00,10.1875,10.375,9.75,9.40832233428955,434800,0.0,
1998-06-03 00:00:00+00:00,9.875,9.875,7.0,8.021201133728027,2611000,0.0,
1998-06-04 00:00:00+00:00,9.125,9.375,8.75,8.744915962219238,3581200,0.0,
1998-06-05 00:00:00+00:00,9.125,9.125,8.125,8.081509590148926,1799000,0.0,
1998-06-08 00:00:00+00:00,8.375,9.375,8.25,8.925846099853516,663000,0.0,
1998-06-09 00:00:00+00:00,9.375,9.375,8.875,9.046463966369627,471800,0.0,
1998-06-10 00:00:00+00:00,9.0,9.375,8.875,8.80522632598877,773900,0.0,
