date,PTSI_Open,PTSI_High,PTSI_Low,PTSI_Close,PTSI_Volume,PTSI_Dividends,PTSI_Stock Splits
1986-09-10 00:00:00+00:00,0.0,2.9375,2.875,2.3978426456451416,1312800,0.0,
1986-09-11 00:00:00+00:00,0.0,2.8125,2.75,2.293588876724243,562800,0.0,
1986-09-12 00:00:00+00:00,0.0,2.8125,2.75,2.293588876724243,272800,0.0,
1986-09-15 00:00:00+00:00,0.0,2.8125,2.75,2.293588876724243,204800,0.0,
1986-09-16 00:00:00+00:00,0.0,2.875,2.75,2.293588876724243,108400,0.0,
1986-09-17 00:00:00+00:00,0.0,2.875,2.75,2.293588876724243,143200,0.0,
1986-09-18 00:00:00+00:00,0.0,2.875,2.8125,2.3457157611846924,71200,0.0,
1986-09-19 00:00:00+00:00,0.0,2.9375,2.8125,2.3457157611846924,257600,0.0,
1986-09-22 00:00:00+00:00,0.0,2.9375,2.8125,2.3457157611846924,190000,0.0,
1986-09-23 00:00:00+00:00,0.0,2.875,2.75,2.293588876724243,137200,0.0,
1986-09-24 00:00:00+00:00,0.0,2.9375,2.75,2.293588876724243,64000,0.0,
1986-09-25 00:00:00+00:00,0.0,2.875,2.75,2.293588876724243,76000,0.0,
1986-09-26 00:00:00+00:00,0.0,2.875,2.75,2.293588876724243,48400,0.0,
1986-09-29 00:00:00+00:00,0.0,2.875,2.75,2.293588876724243,6400,0.0,
1986-09-30 00:00:00+00:00,0.0,2.875,2.75,2.293588876724243,29600,0.0,
1986-10-01 00:00:00+00:00,0.0,2.875,2.75,2.293588876724243,74800,0.0,
1986-10-02 00:00:00+00:00,0.0,2.8125,2.75,2.293588876724243,189200,0.0,
1986-10-03 00:00:00+00:00,0.0,2.875,2.75,2.293588876724243,124400,0.0,
1986-10-06 00:00:00+00:00,0.0,2.875,2.75,2.293588876724243,36400,0.0,
1986-10-07 00:00:00+00:00,0.0,2.875,2.75,2.293588876724243,24000,0.0,
1986-10-08 00:00:00+00:00,0.0,2.875,2.75,2.293588876724243,80800,0.0,
1986-10-09 00:00:00+00:00,0.0,2.875,2.75,2.293588876724243,6000,0.0,
1986-10-10 00:00:00+00:00,0.0,2.8125,2.75,2.293588876724243,12400,0.0,
1986-10-13 00:00:00+00:00,0.0,2.8125,2.75,2.293588876724243,14400,0.0,
1986-10-14 00:00:00+00:00,0.0,2.8125,2.75,2.293588876724243,9200,0.0,
1986-10-15 00:00:00+00:00,0.0,2.8125,2.75,2.293588876724243,15600,0.0,
1986-10-16 00:00:00+00:00,0.0,2.8125,2.75,2.293588876724243,15600,0.0,
1986-10-17 00:00:00+00:00,0.0,2.8125,2.75,2.293588876724243,3600,0.0,
1986-10-20 00:00:00+00:00,0.0,2.875,2.75,2.293588876724243,28400,0.0,
1986-10-21 00:00:00+00:00,0.0,2.9375,2.75,2.293588876724243,8800,0.0,
1986-10-22 00:00:00+00:00,0.0,2.9375,2.75,2.293588876724243,7600,0.0,
1986-10-23 00:00:00+00:00,0.0,2.90625,2.78125,2.319652318954468,60800,0.0,
1986-10-24 00:00:00+00:00,0.0,3.0,2.875,2.3978426456451416,55200,0.0,
1986-10-27 00:00:00+00:00,0.0,3.0625,2.9375,2.449970006942749,30800,0.0,
1986-10-28 00:00:00+00:00,0.0,3.1875,3.0625,2.5542237758636475,64800,0.0,
1986-10-29 00:00:00+00:00,0.0,3.25,3.0625,2.5542237758636475,70000,0.0,
1986-10-30 00:00:00+00:00,0.0,3.25,3.0625,2.5542237758636475,15600,0.0,
1986-10-31 00:00:00+00:00,0.0,3.25,3.0625,2.5542237758636475,42800,0.0,
1986-11-03 00:00:00+00:00,0.0,3.25,3.125,2.606350898742676,249600,0.0,
1986-11-04 00:00:00+00:00,0.0,3.3125,3.125,2.606350898742676,92000,0.0,
1986-11-05 00:00:00+00:00,0.0,3.3125,3.1875,2.658477783203125,83200,0.0,
1986-11-06 00:00:00+00:00,0.0,3.3125,3.1875,2.658477783203125,34000,0.0,
1986-11-07 00:00:00+00:00,0.0,3.375,3.1875,2.658477783203125,12800,0.0,
1986-11-10 00:00:00+00:00,0.0,3.375,3.1875,2.658477783203125,13200,0.0,
1986-11-11 00:00:00+00:00,0.0,3.375,3.1875,2.658477783203125,65200,0.0,
1986-11-12 00:00:00+00:00,0.0,3.375,3.1875,2.658477783203125,20000,0.0,
1986-11-13 00:00:00+00:00,0.0,3.375,3.1875,2.658477783203125,42000,0.0,
1986-11-14 00:00:00+00:00,0.0,3.375,3.1875,2.658477783203125,28800,0.0,
1986-11-17 00:00:00+00:00,0.0,3.375,3.1875,2.658477783203125,2000,0.0,
1986-11-18 00:00:00+00:00,0.0,3.375,3.1875,2.658477783203125,59600,0.0,
1986-11-19 00:00:00+00:00,0.0,3.375,3.1875,2.658477783203125,56400,0.0,
1986-11-20 00:00:00+00:00,0.0,3.375,3.1875,2.658477783203125,34800,0.0,
1986-11-21 00:00:00+00:00,0.0,3.4375,3.25,2.7106049060821533,33600,0.0,
1986-11-24 00:00:00+00:00,0.0,3.4375,3.25,2.7106049060821533,89200,0.0,
1986-11-25 00:00:00+00:00,0.0,3.4375,3.3125,2.7627320289611816,32800,0.0,
1986-11-26 00:00:00+00:00,0.0,3.5,3.3125,2.7627320289611816,30400,0.0,
1986-11-28 00:00:00+00:00,0.0,3.5,3.3125,2.7627320289611816,2400,0.0,
1986-12-01 00:00:00+00:00,0.0,3.5,3.3125,2.7627320289611816,8000,0.0,
1986-12-02 00:00:00+00:00,0.0,3.5,3.3125,2.86698579788208,70000,0.0,
1986-12-03 00:00:00+00:00,0.0,3.5,3.375,2.9191129207611084,20400,0.0,
1986-12-04 00:00:00+00:00,0.0,3.625,3.375,2.9191129207611084,365600,0.0,
1986-12-05 00:00:00+00:00,0.0,3.6875,3.5,2.9712400436401367,10000,0.0,
1986-12-08 00:00:00+00:00,0.0,3.6875,3.5,3.0754940509796143,46800,0.0,
1986-12-09 00:00:00+00:00,0.0,3.75,3.5625,3.1276209354400635,43600,0.0,
1986-12-10 00:00:00+00:00,0.0,3.75,3.625,3.0754940509796143,12000,0.0,
1986-12-11 00:00:00+00:00,0.0,3.75,3.59375,3.023366928100586,160800,0.0,
1986-12-12 00:00:00+00:00,0.0,3.75,3.625,3.1276209354400635,135600,0.0,
1986-12-15 00:00:00+00:00,0.0,3.75,3.625,3.023366928100586,66000,0.0,
1986-12-16 00:00:00+00:00,0.0,3.75,3.625,3.0754940509796143,10400,0.0,
1986-12-17 00:00:00+00:00,0.0,3.75,3.625,3.1276209354400635,529600,0.0,
1986-12-18 00:00:00+00:00,0.0,3.75,3.625,3.023366928100586,94400,0.0,
1986-12-19 00:00:00+00:00,0.0,3.75,3.625,3.0754940509796143,90400,0.0,
1986-12-22 00:00:00+00:00,0.0,3.75,3.6875,3.0754940509796143,14000,0.0,
1986-12-23 00:00:00+00:00,0.0,3.8125,3.6875,3.0754940509796143,35200,0.0,
1986-12-24 00:00:00+00:00,0.0,3.8125,3.6875,3.0754940509796143,12000,0.0,
1986-12-26 00:00:00+00:00,0.0,3.8125,3.6875,3.179748058319092,3200,0.0,
