date,IDN_Open,IDN_High,IDN_Low,IDN_Close,IDN_Volume,IDN_Dividends,IDN_Stock Splits
1999-11-19 00:00:00+00:00,88.0,104.0,78.0,83.0,45938,,
1999-11-22 00:00:00+00:00,80.0,84.0,78.0,79.0,26688,,
1999-11-23 00:00:00+00:00,80.0,80.0,77.0,78.5,5338,,
1999-11-24 00:00:00+00:00,79.0,84.0,77.0,80.0,12850,,
1999-11-26 00:00:00+00:00,80.0,86.0,80.0,86.0,2713,,
1999-11-29 00:00:00+00:00,86.0,86.5,81.0,81.5,4463,,
1999-11-30 00:00:00+00:00,83.0,83.0,77.0,77.0,3563,,
1999-12-01 00:00:00+00:00,77.5,80.0,76.0,78.5,7913,,
1999-12-02 00:00:00+00:00,79.5,83.0,76.0,81.0,6263,,
1999-12-03 00:00:00+00:00,82.0,84.0,79.5,81.0,4563,,
1999-12-06 00:00:00+00:00,81.0,81.0,78.0,79.5,2075,,
1999-12-07 00:00:00+00:00,79.0,80.0,78.5,80.0,2738,,
1999-12-08 00:00:00+00:00,78.0,79.5,77.0,78.0,3250,,
1999-12-09 00:00:00+00:00,79.0,81.0,72.0,75.0,5163,,
1999-12-10 00:00:00+00:00,74.5,82.0,73.5,82.0,5163,,
1999-12-13 00:00:00+00:00,82.0,96.0,81.0,93.0,16613,,
1999-12-14 00:00:00+00:00,92.0,108.0,92.0,100.0,16463,,
1999-12-15 00:00:00+00:00,101.0,106.0,100.0,103.0,6563,,
1999-12-16 00:00:00+00:00,104.0,104.0,96.0,104.0,5588,,
1999-12-17 00:00:00+00:00,104.0,105.5,99.0,100.0,9925,,
1999-12-20 00:00:00+00:00,101.0,101.0,96.0,97.5,1325,,
1999-12-21 00:00:00+00:00,96.0,97.0,92.0,92.0,1750,,
1999-12-22 00:00:00+00:00,90.0,92.0,89.0,90.0,938,,
1999-12-23 00:00:00+00:00,90.0,90.0,87.0,90.0,2063,,
1999-12-27 00:00:00+00:00,89.0,89.0,86.0,86.5,1213,,
1999-12-28 00:00:00+00:00,84.5,87.0,82.0,85.0,1113,,
1999-12-29 00:00:00+00:00,85.0,86.0,84.0,85.0,763,,
1999-12-30 00:00:00+00:00,85.0,85.0,82.0,84.0,1713,,
1999-12-31 00:00:00+00:00,84.0,89.0,84.0,89.0,1300,,
2000-01-03 00:00:00+00:00,89.0,89.0,83.0,83.0,1338,,
2000-01-04 00:00:00+00:00,84.0,84.0,82.0,82.0,350,,
2000-01-05 00:00:00+00:00,80.0,81.0,80.0,81.0,88,,
2000-01-06 00:00:00+00:00,80.0,83.0,78.0,83.0,850,,
2000-01-07 00:00:00+00:00,83.0,87.0,82.0,85.0,888,,
2000-01-10 00:00:00+00:00,86.0,98.0,86.0,95.0,9675,,
2000-01-11 00:00:00+00:00,94.0,97.0,94.0,95.0,8288,,
