date,YANG_Open,YANG_High,YANG_Low,YANG_Close,YANG_Volume,YANG_Dividends,YANG_Stock Splits
2009-12-03 00:00:00+00:00,4906.25,4967.5,4906.25,4546.091796875,6,0.0,
2009-12-04 00:00:00+00:00,4855.0,5125.0,4793.75,4619.7314453125,54,0.0,
2009-12-07 00:00:00+00:00,5040.0,5095.0,4988.75,4689.91943359375,15,0.0,
2009-12-08 00:00:00+00:00,5312.5,5317.5,5305.0,4894.728515625,3,0.0,
2009-12-09 00:00:00+00:00,5403.75,5403.75,5271.25,4852.1552734375,47,0.0,
2009-12-10 00:00:00+00:00,5202.5,5202.5,5182.5,4781.9677734375,20,0.0,
2009-12-11 00:00:00+00:00,5215.0,5247.5,5177.5,4765.8603515625,17,0.0,
2009-12-14 00:00:00+00:00,5138.75,5138.75,4977.5,4589.81494140625,16,0.0,
2009-12-15 00:00:00+00:00,5107.5,5107.5,4942.5,4589.81494140625,29,0.0,
2009-12-16 00:00:00+00:00,5065.0,5065.0,4968.75,4617.43115234375,27,0.0,
2009-12-17 00:00:00+00:00,5243.75,5395.0,5243.75,4966.06689453125,37,0.0,
2009-12-18 00:00:00+00:00,5387.5,5566.25,5387.5,5005.1875,31,0.0,
2009-12-21 00:00:00+00:00,5402.5,5472.5,5385.0,5037.40478515625,14,0.0,
2009-12-22 00:00:00+00:00,5737.5,5737.5,5473.75,5172.02783203125,56,0.0,
2009-12-23 00:00:00+00:00,5618.75,5618.75,5618.75,5172.02783203125,0,0.0,
2009-12-24 00:00:00+00:00,5381.25,5393.75,5267.5,4871.716796875,23,0.0,
2009-12-28 00:00:00+00:00,5173.75,5246.25,5173.75,4825.69091796875,21,0.0,
2009-12-29 00:00:00+00:00,5125.0,5335.0,5125.0,4893.578125,31,0.0,
2009-12-30 00:00:00+00:00,5312.5,5320.0,5297.5,4876.31982421875,159,0.0,
2009-12-31 00:00:00+00:00,5202.5,5270.0,5201.25,4849.85498046875,10,0.0,
2010-01-04 00:00:00+00:00,5106.25,5106.25,4772.5,4441.38525390625,386,0.0,
