date,GMF_Open,GMF_High,GMF_Low,GMF_Close,GMF_Volume,GMF_Dividends,GMF_Stock Splits
2007-03-23 00:00:00+00:00,61.7400016784668,61.88999938964844,61.72999954223633,41.60283660888672,5200,0.0,
2007-03-26 00:00:00+00:00,61.90999984741211,62.310001373291016,61.90999984741211,41.88516998291016,1500,0.0,
2007-03-27 00:00:00+00:00,61.869998931884766,61.88999938964844,61.790000915527344,41.53561019897461,2500,0.0,
2007-03-28 00:00:00+00:00,60.720001220703125,60.72999954223633,60.720001220703125,40.82307815551758,800,0.0,
2007-03-29 00:00:00+00:00,61.70000076293945,61.70000076293945,61.11000061035156,41.37427520751953,3100,0.0,
2007-03-30 00:00:00+00:00,61.7599983215332,61.7599983215332,61.15999984741211,41.23312377929688,1900,0.0,
2007-04-02 00:00:00+00:00,61.290000915527344,61.290000915527344,61.290000915527344,41.19951248168945,100,0.0,
2007-04-03 00:00:00+00:00,62.36000061035156,62.36000061035156,62.36000061035156,41.91876602172852,100,0.0,
2007-04-04 00:00:00+00:00,62.650001525878906,62.650001525878906,62.650001525878906,42.11370468139648,100,0.0,
2007-04-05 00:00:00+00:00,63.02000045776367,63.02000045776367,62.970001220703125,42.33553695678711,400,0.0,
2007-04-09 00:00:00+00:00,63.93000030517578,63.93000030517578,63.52000045776367,42.69852066040039,700,0.0,
2007-04-10 00:00:00+00:00,63.650001525878906,63.720001220703125,63.650001525878906,42.83297348022461,900,0.0,
2007-04-11 00:00:00+00:00,64.0,64.0,63.43999862670898,42.785911560058594,1600,0.0,
2007-04-12 00:00:00+00:00,63.650001525878906,64.33999633789062,63.650001525878906,43.24972915649414,11000,0.0,
2007-04-13 00:00:00+00:00,64.25,64.25,64.04000091552734,43.11529541015625,2900,0.0,
2007-04-16 00:00:00+00:00,65.3499984741211,65.55000305175781,65.25,43.8614501953125,33800,0.0,
2007-04-17 00:00:00+00:00,65.16000366210938,65.16000366210938,64.69000244140625,43.485008239746094,2800,0.0,
2007-04-18 00:00:00+00:00,64.66999816894531,64.81999969482422,64.66999816894531,43.53206634521485,1400,0.0,
2007-04-19 00:00:00+00:00,63.400001525878906,63.880001068115234,63.400001525878906,42.75902938842773,13700,0.0,
2007-04-20 00:00:00+00:00,64.69999694824219,64.86000061035156,64.48999786376953,43.4782829284668,6700,0.0,
2007-04-23 00:00:00+00:00,64.68000030517578,64.69999694824219,64.52999877929688,43.39762115478516,1800,0.0,
2007-04-24 00:00:00+00:00,64.86000061035156,65.2699966430664,64.61000061035156,43.70682907104492,14400,0.0,
2007-04-25 00:00:00+00:00,65.3499984741211,65.61000061035156,65.27999877929688,44.10343170166016,2000,0.0,
2007-04-26 00:00:00+00:00,65.61000061035156,65.61000061035156,65.20999908447266,43.9622802734375,2700,0.0,
2007-04-27 00:00:00+00:00,64.8499984741211,64.8499984741211,64.8499984741211,43.59255599975586,100,0.0,
2007-04-30 00:00:00+00:00,64.51000213623047,64.51000213623047,63.880001068115234,42.94051742553711,600,0.0,
2007-05-01 00:00:00+00:00,63.880001068115234,63.880001068115234,63.880001068115234,42.94051742553711,0,0.0,
2007-05-02 00:00:00+00:00,65.0,65.11000061035156,64.91000366210938,43.70011901855469,1200,0.0,
2007-05-03 00:00:00+00:00,65.77999877929688,65.83999633789062,65.66000366210938,44.20427322387695,10700,0.0,
2007-05-04 00:00:00+00:00,66.43000030517578,66.48999786376953,66.33999633789062,44.594146728515625,700,0.0,
2007-05-07 00:00:00+00:00,66.5999984741211,66.66000366210938,66.5999984741211,44.80924987792969,4600,0.0,
2007-05-08 00:00:00+00:00,66.48999786376953,66.48999786376953,66.01000213623047,44.37232208251953,2600,0.0,
2007-05-09 00:00:00+00:00,66.27999877929688,66.45999908447266,66.0999984741211,44.67480850219727,1400,0.0,
2007-05-10 00:00:00+00:00,66.4000015258789,66.4000015258789,65.62000274658203,44.13705825805664,2000,0.0,
2007-05-11 00:00:00+00:00,66.66000366210938,67.0999984741211,66.66000366210938,45.10503768920898,10000,0.0,
2007-05-14 00:00:00+00:00,67.19999694824219,67.19999694824219,66.80000305175781,44.93025588989258,2800,0.0,
2007-05-15 00:00:00+00:00,67.01000213623047,67.06999969482422,66.61000061035156,44.7756462097168,800,0.0,
2007-05-16 00:00:00+00:00,67.0,67.6500015258789,67.0,45.4747428894043,1500,0.0,
2007-05-17 00:00:00+00:00,67.3499984741211,67.69000244140625,67.3499984741211,45.50162506103516,2400,0.0,
2007-05-18 00:00:00+00:00,67.70999908447266,67.8499984741211,67.70999908447266,45.60918045043945,600,0.0,
2007-05-21 00:00:00+00:00,68.01000213623047,68.18000030517578,67.9000015258789,45.64278793334961,3200,0.0,
2007-05-22 00:00:00+00:00,68.2699966430664,68.2699966430664,68.25,45.87805938720703,200,0.0,
2007-05-23 00:00:00+00:00,68.5,68.58000183105469,68.06999969482422,45.831016540527344,9600,0.0,
2007-05-24 00:00:00+00:00,67.8499984741211,68.0999984741211,66.7699966430664,44.88320159912109,1100,0.0,
2007-05-25 00:00:00+00:00,67.69999694824219,67.7300033569336,67.38999938964844,45.508338928222656,2000,0.0,
