date,IOSP_Open,IOSP_High,IOSP_Low,IOSP_Close,IOSP_Volume,IOSP_Dividends,IOSP_Stock Splits
1998-05-13 00:00:00+00:00,15.0,17.125,15.0,13.01033878326416,329800,0.0,
1998-05-14 00:00:00+00:00,16.75,16.96875,16.5,12.98606300354004,779400,0.0,
1998-05-15 00:00:00+00:00,16.71875,16.71875,16.25,12.621965408325195,45200,0.0,
1998-05-18 00:00:00+00:00,16.3125,16.3125,15.75,12.233600616455078,6400,0.0,
1998-05-19 00:00:00+00:00,15.6875,15.6875,14.0,10.874312400817873,275400,0.0,
1998-05-20 00:00:00+00:00,14.0,14.0,14.0,10.874312400817873,4800,0.0,
1998-05-21 00:00:00+00:00,14.0,14.0,14.0,10.874312400817873,0,0.0,
1998-05-22 00:00:00+00:00,14.0,14.0625,11.75,9.417928695678713,1117000,0.0,
1998-05-26 00:00:00+00:00,12.0,12.0,11.21875,8.835376739501953,1335200,0.0,
1998-05-27 00:00:00+00:00,11.40625,11.625,10.5625,8.2042818069458,797600,0.0,
1998-05-28 00:00:00+00:00,10.6875,11.375,10.6875,8.447010040283203,1562400,0.0,
1998-05-29 00:00:00+00:00,10.75,11.0625,10.75,8.471282005310059,399400,0.0,
1998-06-01 00:00:00+00:00,10.9375,10.9375,9.9375,8.010095596313477,454000,0.0,
1998-06-02 00:00:00+00:00,10.3125,10.375,9.625,7.670272350311279,496600,0.0,
1998-06-03 00:00:00+00:00,9.8125,10.4375,9.8125,7.864456653594971,327200,0.0,
1998-06-04 00:00:00+00:00,10.125,10.125,9.875,7.767366409301758,370400,0.0,
1998-06-05 00:00:00+00:00,9.625,10.125,9.625,7.864456653594971,511800,0.0,
1998-06-08 00:00:00+00:00,10.09375,10.34375,10.0,7.961548805236816,452600,0.0,
1998-06-09 00:00:00+00:00,10.1875,10.875,10.1875,8.22855281829834,387800,0.0,
1998-06-10 00:00:00+00:00,10.59375,10.96875,10.5625,8.398458480834961,469200,0.0,
1998-06-11 00:00:00+00:00,10.8125,10.8125,10.25,7.961548805236816,422000,0.0,
1998-06-12 00:00:00+00:00,10.15625,10.15625,9.625,7.621726989746094,562800,0.0,
1998-06-15 00:00:00+00:00,9.78125,10.0,9.6875,7.548906803131103,602800,0.0,
1998-06-16 00:00:00+00:00,9.59375,9.875,9.28125,7.378993988037109,505400,0.0,
1998-06-17 00:00:00+00:00,9.1875,9.65625,9.1875,7.378993988037109,406800,0.0,
1998-06-18 00:00:00+00:00,9.5,9.5,9.34375,7.354725360870361,142000,0.0,
