date,VIRX_Open,VIRX_High,VIRX_Low,VIRX_Close,VIRX_Volume,VIRX_Dividends,VIRX_Stock Splits
2005-09-27 00:00:00+00:00,8955.7890625,8955.7890625,8084.21044921875,8210.5263671875,1182,,
2005-09-28 00:00:00+00:00,8311.5791015625,8311.5791015625,7894.73681640625,7894.73681640625,200,,
2005-09-29 00:00:00+00:00,8058.947265625,8084.21044921875,7957.89453125,7957.89453125,35,,
2005-09-30 00:00:00+00:00,8488.4208984375,8526.3154296875,7894.73681640625,8450.5263671875,113,,
2005-10-03 00:00:00+00:00,8538.947265625,8538.947265625,8210.5263671875,8463.158203125,31,,
2005-10-04 00:00:00+00:00,8589.4736328125,8589.4736328125,8336.841796875,8538.947265625,44,,
2005-10-05 00:00:00+00:00,8652.6318359375,8652.6318359375,8336.841796875,8336.841796875,43,,
2005-10-06 00:00:00+00:00,8854.7373046875,8854.7373046875,7402.10546875,8084.21044921875,108,,
2005-10-07 00:00:00+00:00,7541.052734375,7920.0,7541.052734375,7894.73681640625,14,,
2005-10-10 00:00:00+00:00,7920.0,8147.36865234375,7894.73681640625,8147.36865234375,15,,
2005-10-11 00:00:00+00:00,8210.5263671875,8273.6845703125,7894.73681640625,8071.5791015625,21,,
2005-10-12 00:00:00+00:00,7920.0,8058.947265625,7894.73681640625,7894.73681640625,25,,
2005-10-13 00:00:00+00:00,7894.73681640625,8147.36865234375,7730.5263671875,7831.5791015625,10,,
2005-10-14 00:00:00+00:00,7831.5791015625,8021.052734375,7831.5791015625,7882.10546875,4,,
2005-10-17 00:00:00+00:00,8273.6845703125,8273.6845703125,7970.5263671875,7970.5263671875,2,,
2005-10-18 00:00:00+00:00,8210.5263671875,8273.6845703125,7578.947265625,8008.4208984375,18,,
2005-10-19 00:00:00+00:00,8248.4208984375,8248.4208984375,7541.052734375,7768.4208984375,26,,
2005-10-20 00:00:00+00:00,8021.052734375,8021.052734375,7578.947265625,7743.15771484375,19,,
2005-10-21 00:00:00+00:00,8021.052734375,8021.052734375,7275.78955078125,7452.63134765625,19,,
2005-10-24 00:00:00+00:00,8084.21044921875,8084.21044921875,7389.4736328125,7743.15771484375,2,,
2005-10-25 00:00:00+00:00,7882.10546875,8058.947265625,7515.78955078125,7692.63134765625,8,,
2005-10-26 00:00:00+00:00,7440.0,7768.4208984375,7440.0,7768.4208984375,13,,
2005-10-27 00:00:00+00:00,7768.4208984375,7768.4208984375,7578.947265625,7578.947265625,7,,
2005-10-28 00:00:00+00:00,7743.15771484375,7743.15771484375,7326.31591796875,7578.947265625,2,,
2005-10-31 00:00:00+00:00,7578.947265625,7578.947265625,7187.36865234375,7313.68408203125,16,,
2005-11-01 00:00:00+00:00,7187.36865234375,7187.36865234375,6176.84228515625,6568.4208984375,44,,
2005-11-02 00:00:00+00:00,6328.4208984375,6858.947265625,6240.0,6315.78955078125,38,,
2005-11-03 00:00:00+00:00,6618.947265625,6618.947265625,5835.78955078125,5924.21044921875,50,,
2005-11-04 00:00:00+00:00,6290.5263671875,6492.63134765625,5658.947265625,6088.4208984375,41,,
2005-11-07 00:00:00+00:00,6480.0,6631.5791015625,6265.26318359375,6505.26318359375,87,,
2005-11-08 00:00:00+00:00,7376.84228515625,7376.84228515625,5368.4208984375,6543.15771484375,125,,
2005-11-09 00:00:00+00:00,6694.73681640625,6694.73681640625,6000.0,6063.15771484375,66,,
2005-11-10 00:00:00+00:00,6442.10546875,6442.10546875,6000.0,6126.31591796875,4,,
2005-11-11 00:00:00+00:00,5962.10546875,6568.4208984375,5936.84228515625,6442.10546875,14,,
2005-11-14 00:00:00+00:00,6454.73681640625,6922.10546875,6126.31591796875,6581.052734375,694,,
2005-11-15 00:00:00+00:00,6328.4208984375,6707.36865234375,6315.78955078125,6530.5263671875,10,,
