date,GROW_Open,GROW_High,GROW_Low,GROW_Close,GROW_Volume,GROW_Dividends,GROW_Stock Splits
1985-04-24 00:00:00+00:00,0.0,1.875,1.8125,1.1745811700820925,468000,0.0,
1985-04-25 00:00:00+00:00,0.0,2.0625,2.0,1.296089768409729,362800,0.0,
1985-04-26 00:00:00+00:00,0.0,2.0,1.9375,1.255587458610535,115800,0.0,
1985-04-29 00:00:00+00:00,0.0,2.0,1.9375,1.255587458610535,2600,0.0,
1985-04-30 00:00:00+00:00,0.0,2.0,1.875,1.2150832414627075,27400,0.0,
1985-05-01 00:00:00+00:00,0.0,2.0,1.875,1.2150832414627075,74600,0.0,
1985-05-02 00:00:00+00:00,0.0,2.0,1.9375,1.255587458610535,35200,0.0,
1985-05-03 00:00:00+00:00,0.0,2.0,1.9375,1.255587458610535,28000,0.0,
1985-05-06 00:00:00+00:00,0.0,2.0,1.9375,1.255587458610535,36000,0.0,
1985-05-07 00:00:00+00:00,0.0,2.0,1.9375,1.255587458610535,74000,0.0,
1985-05-08 00:00:00+00:00,0.0,2.0625,1.9375,1.255587458610535,260000,0.0,
1985-05-09 00:00:00+00:00,0.0,2.0625,2.0,1.296089768409729,149000,0.0,
1985-05-10 00:00:00+00:00,0.0,2.25,2.125,1.3770949840545654,167600,0.0,
1985-05-13 00:00:00+00:00,0.0,2.3125,2.25,1.4580994844436646,178400,0.0,
1985-05-14 00:00:00+00:00,0.0,2.5,2.4375,1.5796087980270386,136400,0.0,
1985-05-15 00:00:00+00:00,0.0,2.5,2.4375,1.5796087980270386,55200,0.0,
1985-05-16 00:00:00+00:00,0.0,2.5625,2.5,1.6201127767562866,82200,0.0,
1985-05-17 00:00:00+00:00,0.0,2.6875,2.5625,1.6606146097183228,64800,0.0,
1985-05-20 00:00:00+00:00,0.0,2.5,2.375,1.5391058921813965,108800,0.0,
1985-05-21 00:00:00+00:00,0.0,2.4375,2.375,1.5391058921813965,54400,0.0,
1985-05-22 00:00:00+00:00,0.0,2.3125,2.25,1.4580994844436646,20600,0.0,
1985-05-23 00:00:00+00:00,0.0,2.3125,2.25,1.4580994844436646,24000,0.0,
1985-05-24 00:00:00+00:00,0.0,2.3125,2.25,1.4580994844436646,2400,0.0,
1985-05-28 00:00:00+00:00,0.0,2.375,2.25,1.4580994844436646,8000,0.0,
1985-05-29 00:00:00+00:00,0.0,2.3125,2.25,1.4580994844436646,2000,0.0,
1985-05-30 00:00:00+00:00,0.0,2.375,2.25,1.4580994844436646,54400,0.0,
1985-05-31 00:00:00+00:00,0.0,2.375,2.25,1.4580994844436646,600,0.0,
1985-06-03 00:00:00+00:00,0.0,2.3125,2.25,1.4580994844436646,21000,0.0,
1985-06-04 00:00:00+00:00,0.0,2.25,2.125,1.3770949840545654,30600,0.0,
1985-06-05 00:00:00+00:00,0.0,2.1875,2.0625,1.3365927934646606,36000,0.0,
1985-06-06 00:00:00+00:00,0.0,2.125,2.0625,1.3365927934646606,5000,0.0,
1985-06-07 00:00:00+00:00,0.0,2.125,2.0625,1.3365927934646606,16600,0.0,
1985-06-10 00:00:00+00:00,0.0,2.0625,2.0,1.296089768409729,5800,0.0,
