date,ALL_Open,ALL_High,ALL_Low,ALL_Close,ALL_Volume,ALL_Dividends,ALL_Stock Splits
1993-06-03 00:00:00+00:00,14.875,15.0,14.5,7.102636814117432,56603000,0.0,
1993-06-04 00:00:00+00:00,14.5625,14.6875,14.3125,6.921294212341309,12644400,0.0,
1993-06-07 00:00:00+00:00,14.125,14.25,14.0,6.800398826599121,10043800,0.0,
1993-06-08 00:00:00+00:00,14.0625,14.125,13.8125,6.709721565246582,6974600,0.0,
1993-06-09 00:00:00+00:00,13.9375,14.25,13.9375,6.830620288848877,4043200,0.0,
1993-06-10 00:00:00+00:00,14.0625,14.125,13.9375,6.77017068862915,2605400,0.0,
1993-06-11 00:00:00+00:00,14.0,14.1875,14.0,6.77017068862915,2641600,0.0,
1993-06-14 00:00:00+00:00,14.0625,14.125,13.875,6.709721565246582,1806200,0.0,
1993-06-15 00:00:00+00:00,14.0,14.0,13.875,6.7399492263793945,2257600,0.0,
1993-06-16 00:00:00+00:00,13.9375,14.0,13.875,6.77017068862915,2391600,0.0,
1993-06-17 00:00:00+00:00,14.0,14.125,13.9375,6.77017068862915,2126800,0.0,
1993-06-18 00:00:00+00:00,14.0,14.0,13.8125,6.679498195648193,2128600,0.0,
1993-06-21 00:00:00+00:00,13.8125,13.8125,13.5625,6.619052410125732,2101000,0.0,
1993-06-22 00:00:00+00:00,13.6875,13.875,13.6875,6.709721565246582,1593600,0.0,
1993-06-23 00:00:00+00:00,13.875,14.0,13.8125,6.679498195648193,1948000,0.0,
1993-06-24 00:00:00+00:00,13.8125,14.0625,13.625,6.800398826599121,3305200,0.0,
1993-06-25 00:00:00+00:00,14.25,14.3125,14.0625,6.891067028045654,2468000,0.0,
1993-06-28 00:00:00+00:00,14.1875,14.5,14.1875,7.011958599090576,2522600,0.0,
1993-06-29 00:00:00+00:00,14.4375,14.5,14.125,6.951517581939697,1190800,0.0,
1993-06-30 00:00:00+00:00,14.5,14.625,14.4375,7.011958599090576,2553800,0.0,
1993-07-01 00:00:00+00:00,14.6875,14.75,14.3125,7.132862091064453,2857800,0.0,
1993-07-02 00:00:00+00:00,14.4375,14.4375,14.3125,6.951517581939697,1077200,0.0,
1993-07-06 00:00:00+00:00,14.4375,14.5625,14.3125,6.921294212341309,1237600,0.0,
1993-07-07 00:00:00+00:00,14.25,14.375,14.1875,6.891067028045654,1667200,0.0,
1993-07-08 00:00:00+00:00,14.3125,14.5,14.25,6.981738090515137,1588600,0.0,
1993-07-09 00:00:00+00:00,14.5625,14.625,14.25,6.891067028045654,1731200,0.0,
1993-07-12 00:00:00+00:00,14.375,14.375,13.9375,6.830620288848877,1738600,0.0,
1993-07-13 00:00:00+00:00,14.1875,14.4375,14.1875,6.921294212341309,1305000,0.0,
1993-07-14 00:00:00+00:00,14.3125,14.625,14.3125,7.072412967681885,1805600,0.0,
1993-07-15 00:00:00+00:00,14.625,14.6875,14.5625,7.102636814117432,1235400,0.0,
1993-07-16 00:00:00+00:00,14.875,15.0625,14.75,7.223530769348144,2590200,0.0,
1993-07-19 00:00:00+00:00,15.0,15.1875,14.9375,7.344426155090332,2590000,0.0,
1993-07-20 00:00:00+00:00,15.75,15.75,15.3125,7.404874801635742,3977600,0.0,
1993-07-21 00:00:00+00:00,15.4375,15.4375,14.9375,7.223530769348144,1779000,0.0,
1993-07-22 00:00:00+00:00,15.0,15.0,14.75,7.163084506988525,1095200,0.0,
1993-07-23 00:00:00+00:00,14.8125,15.0625,14.8125,7.223530769348144,1060400,0.0,
1993-07-26 00:00:00+00:00,15.0,15.25,14.9375,7.374650001525879,990000,0.0,
1993-07-27 00:00:00+00:00,15.25,15.5625,15.25,7.374650001525879,942200,0.0,
1993-07-28 00:00:00+00:00,15.25,15.3125,15.125,7.344426155090332,346200,0.0,
1993-07-29 00:00:00+00:00,15.0625,15.375,15.0,7.374650001525879,1070400,0.0,
1993-07-30 00:00:00+00:00,15.25,15.5625,15.25,7.52577018737793,1271200,0.0,
1993-08-02 00:00:00+00:00,15.5625,15.6875,15.4375,7.495547771453857,1062200,0.0,
1993-08-03 00:00:00+00:00,15.5625,15.8125,15.5625,7.586215496063232,1316000,0.0,
1993-08-04 00:00:00+00:00,15.75,15.875,15.5,7.555992126464844,752200,0.0,
