date,INUV_Open,INUV_High,INUV_Low,INUV_Close,INUV_Volume,INUV_Dividends,INUV_Stock Splits
1998-08-04 00:00:00+00:00,4.6875,5.0,4.6875,5.0,3010,,
1998-08-05 00:00:00+00:00,5.0,5.0,5.0,5.0,500,,
1998-08-06 00:00:00+00:00,5.625,5.625,5.625,5.625,1670,,
1998-08-07 00:00:00+00:00,5.625,5.625,5.625,5.625,150,,
1998-08-10 00:00:00+00:00,5.625,5.625,5.625,5.625,0,,
1998-08-11 00:00:00+00:00,5.46875,6.25,5.46875,6.25,2940,,
1998-08-12 00:00:00+00:00,6.5625,6.5625,5.625,5.625,1770,,
1998-08-13 00:00:00+00:00,4.375,5.0,4.375,4.375,3500,,
1998-08-14 00:00:00+00:00,4.0625,6.25,4.0625,6.25,2660,,
1998-08-17 00:00:00+00:00,4.0625,4.375,4.0625,4.375,1500,,
1998-08-18 00:00:00+00:00,3.75,4.0625,3.75,4.0625,4000,,
1998-08-19 00:00:00+00:00,4.0625,4.0625,4.0625,4.0625,0,,
1998-08-20 00:00:00+00:00,4.375,5.0,3.75,5.0,4730,,
1998-08-21 00:00:00+00:00,5.0,5.0,5.0,5.0,0,,
1998-08-24 00:00:00+00:00,3.75,5.0,3.75,5.0,1500,,
1998-08-25 00:00:00+00:00,2.8125,2.8125,2.8125,2.8125,2000,,
1998-08-26 00:00:00+00:00,2.8125,2.8125,2.8125,2.8125,0,,
1998-08-27 00:00:00+00:00,2.8125,2.8125,2.8125,2.8125,1300,,
1998-08-28 00:00:00+00:00,2.8125,2.8125,2.8125,2.8125,0,,
1998-08-31 00:00:00+00:00,2.8125,2.8125,2.8125,2.8125,0,,
1998-09-01 00:00:00+00:00,2.65625,2.65625,2.65625,2.65625,0,,
1998-09-02 00:00:00+00:00,2.8125,2.8125,2.8125,2.8125,0,,
1998-09-03 00:00:00+00:00,2.5,2.5,2.5,2.5,700,,
1998-09-04 00:00:00+00:00,2.5,2.5,2.34375,2.34375,4900,,
1998-09-08 00:00:00+00:00,2.1875,2.1875,2.1875,2.1875,500,,
1998-09-09 00:00:00+00:00,2.03125,2.03125,2.03125,2.03125,0,,
1998-09-10 00:00:00+00:00,2.03125,2.5,2.03125,2.03125,3100,,
1998-09-11 00:00:00+00:00,2.65625,2.65625,2.03125,2.5,4620,,
1998-09-14 00:00:00+00:00,2.5,2.5,2.5,2.5,1000,,
1998-09-15 00:00:00+00:00,2.5,2.5,2.5,2.5,0,,
1998-09-16 00:00:00+00:00,2.5,2.5,2.5,2.5,0,,
1998-09-17 00:00:00+00:00,2.1875,2.5,2.1875,2.5,8000,,
1998-09-18 00:00:00+00:00,2.5,2.5,2.5,2.5,0,,
1998-09-21 00:00:00+00:00,2.8125,2.8125,2.8125,2.8125,300,,
1998-09-22 00:00:00+00:00,2.8125,2.8125,2.8125,2.8125,0,,
1998-09-23 00:00:00+00:00,2.8125,2.8125,2.8125,2.8125,0,,
1998-09-24 00:00:00+00:00,2.5,2.5,2.5,2.5,120,,
1998-09-25 00:00:00+00:00,2.5,2.5,2.5,2.5,0,,
1998-09-28 00:00:00+00:00,3.125,3.4375,2.8125,2.8125,7570,,
1998-09-29 00:00:00+00:00,3.125,3.125,2.8125,2.8125,3000,,
1998-09-30 00:00:00+00:00,2.5,2.65625,2.5,2.65625,2000,,
1998-10-01 00:00:00+00:00,2.65625,2.65625,2.65625,2.65625,0,,
1998-10-02 00:00:00+00:00,2.65625,2.65625,2.65625,2.65625,0,,
1998-10-05 00:00:00+00:00,2.65625,2.65625,2.65625,2.65625,0,,
1998-10-06 00:00:00+00:00,2.5,2.5,2.5,2.5,290,,
1998-10-07 00:00:00+00:00,2.5,2.65625,2.5,2.65625,6000,,
1998-10-08 00:00:00+00:00,2.65625,2.65625,2.65625,2.65625,0,,
1998-10-09 00:00:00+00:00,2.5,2.8125,2.5,2.8125,2010,,
1998-10-12 00:00:00+00:00,2.8125,2.8125,2.8125,2.8125,0,,
1998-10-13 00:00:00+00:00,3.125,3.125,3.125,3.125,1900,,
1998-10-14 00:00:00+00:00,3.125,3.125,3.125,3.125,2500,,
1998-10-15 00:00:00+00:00,3.4375,3.59375,3.4375,3.4375,2080,,
1998-10-16 00:00:00+00:00,3.4375,3.4375,3.4375,3.4375,0,,
