date,NVAX_Open,NVAX_High,NVAX_Low,NVAX_Close,NVAX_Volume,NVAX_Dividends,NVAX_Stock Splits
1995-12-05 00:00:00+00:00,67.5,85.0,67.5,80.0,3595,,
1995-12-06 00:00:00+00:00,82.5,87.5,82.5,85.0,340,,
1995-12-07 00:00:00+00:00,87.5,90.0,77.5,90.0,750,,
1995-12-08 00:00:00+00:00,92.5,92.5,82.5,82.5,295,,
1995-12-11 00:00:00+00:00,85.0,87.5,85.0,87.5,75,,
1995-12-12 00:00:00+00:00,90.0,100.0,90.0,95.0,325,,
1995-12-13 00:00:00+00:00,92.5,92.5,75.0,77.5,3475,,
1995-12-14 00:00:00+00:00,76.25,78.75,71.25,75.0,1195,,
1995-12-15 00:00:00+00:00,77.5,77.5,62.5,67.5,1180,,
1995-12-18 00:00:00+00:00,67.5,68.75,60.0,67.5,1250,,
1995-12-19 00:00:00+00:00,70.0,70.0,65.0,66.25,2395,,
1995-12-20 00:00:00+00:00,65.0,80.0,65.0,72.5,4030,,
1995-12-21 00:00:00+00:00,70.0,85.0,70.0,82.5,4205,,
1995-12-22 00:00:00+00:00,80.0,80.0,72.5,73.75,1720,,
1995-12-26 00:00:00+00:00,72.5,75.0,67.5,70.0,2840,,
1995-12-27 00:00:00+00:00,72.5,73.75,68.75,70.0,2040,,
1995-12-28 00:00:00+00:00,70.0,72.5,67.5,72.5,1480,,
1995-12-29 00:00:00+00:00,70.0,75.0,67.5,75.0,6020,,
1996-01-02 00:00:00+00:00,72.5,80.0,72.5,80.0,3825,,
1996-01-03 00:00:00+00:00,80.0,81.25,78.75,80.0,4085,,
1996-01-04 00:00:00+00:00,80.0,81.25,77.5,77.5,3220,,
1996-01-05 00:00:00+00:00,77.5,77.5,75.0,77.5,565,,
1996-01-08 00:00:00+00:00,75.0,75.0,75.0,75.0,155,,
1996-01-09 00:00:00+00:00,75.0,80.0,73.75,77.5,1105,,
1996-01-10 00:00:00+00:00,72.5,75.0,70.0,70.0,1150,,
1996-01-11 00:00:00+00:00,72.5,72.5,68.75,70.0,1590,,
1996-01-12 00:00:00+00:00,70.0,70.0,67.5,68.75,630,,
1996-01-15 00:00:00+00:00,71.25,72.5,68.75,71.25,1840,,
1996-01-16 00:00:00+00:00,71.25,71.25,67.5,70.0,910,,
1996-01-17 00:00:00+00:00,68.75,70.0,65.0,70.0,1870,,
1996-01-18 00:00:00+00:00,70.0,72.5,68.75,71.25,3140,,
1996-01-19 00:00:00+00:00,71.25,73.75,70.0,71.25,1750,,
1996-01-22 00:00:00+00:00,71.25,75.0,70.0,72.5,950,,
1996-01-23 00:00:00+00:00,72.5,75.0,68.75,73.75,1430,,
1996-01-24 00:00:00+00:00,75.0,80.0,72.5,80.0,1495,,
1996-01-25 00:00:00+00:00,78.75,85.0,75.0,85.0,5090,,
1996-01-26 00:00:00+00:00,85.0,97.5,83.75,95.0,5745,,
1996-01-29 00:00:00+00:00,96.25,101.25,92.5,96.25,3085,,
1996-01-30 00:00:00+00:00,96.25,97.5,93.75,96.25,670,,
1996-01-31 00:00:00+00:00,96.25,97.5,92.5,95.0,610,,
1996-02-01 00:00:00+00:00,96.25,96.25,91.25,91.25,955,,
1996-02-02 00:00:00+00:00,90.0,92.5,87.5,91.25,1270,,
1996-02-05 00:00:00+00:00,91.25,91.25,86.25,90.0,555,,
1996-02-06 00:00:00+00:00,91.25,95.0,91.25,95.0,1290,,
1996-02-07 00:00:00+00:00,93.75,100.0,90.0,100.0,3270,,
1996-02-08 00:00:00+00:00,100.0,103.75,97.5,98.75,3405,,
1996-02-09 00:00:00+00:00,96.25,98.75,96.25,98.75,1065,,
1996-02-12 00:00:00+00:00,98.75,101.25,96.25,97.5,3835,,
1996-02-13 00:00:00+00:00,96.25,103.75,96.25,102.5,3185,,
1996-02-14 00:00:00+00:00,102.5,108.75,102.5,105.0,5260,,
1996-02-15 00:00:00+00:00,105.0,110.0,103.75,108.75,3165,,
1996-02-16 00:00:00+00:00,108.75,125.0,108.75,121.25,3305,,
1996-02-20 00:00:00+00:00,123.75,132.5,120.0,122.5,5455,,
1996-02-21 00:00:00+00:00,121.25,131.25,120.0,128.75,4925,,
1996-02-22 00:00:00+00:00,127.5,130.0,123.75,123.75,3760,,
1996-02-23 00:00:00+00:00,122.5,123.75,120.0,120.0,2740,,
1996-02-26 00:00:00+00:00,121.25,125.0,121.25,122.5,3400,,
1996-02-27 00:00:00+00:00,122.5,122.5,116.25,117.5,2255,,
1996-02-28 00:00:00+00:00,117.5,118.75,115.0,116.25,1400,,
1996-02-29 00:00:00+00:00,118.75,118.75,113.75,117.5,2895,,
1996-03-01 00:00:00+00:00,117.5,117.5,111.25,115.0,985,,
1996-03-04 00:00:00+00:00,116.25,116.25,112.5,112.5,855,,
1996-03-05 00:00:00+00:00,112.5,115.0,112.5,115.0,820,,
1996-03-06 00:00:00+00:00,113.75,113.75,112.5,112.5,795,,
1996-03-07 00:00:00+00:00,112.5,115.0,112.5,113.75,1015,,
1996-03-08 00:00:00+00:00,111.25,112.5,105.0,107.5,1590,,
1996-03-11 00:00:00+00:00,107.5,113.75,107.5,113.75,985,,
1996-03-12 00:00:00+00:00,113.75,113.75,110.0,110.0,265,,
1996-03-13 00:00:00+00:00,113.75,113.75,108.75,111.25,1295,,
1996-03-14 00:00:00+00:00,110.0,111.25,107.5,107.5,1300,,
1996-03-15 00:00:00+00:00,106.25,107.5,105.0,105.0,220,,
1996-03-18 00:00:00+00:00,105.0,110.0,102.5,107.5,630,,
1996-03-19 00:00:00+00:00,107.5,115.0,107.5,115.0,1555,,
1996-03-20 00:00:00+00:00,116.25,116.25,115.0,116.25,1365,,
1996-03-21 00:00:00+00:00,117.5,126.25,117.5,120.0,4710,,
1996-03-22 00:00:00+00:00,120.0,121.25,118.75,118.75,1120,,
1996-03-25 00:00:00+00:00,118.75,121.25,117.5,117.5,665,,
1996-03-26 00:00:00+00:00,117.5,117.5,115.0,116.25,635,,
1996-03-27 00:00:00+00:00,117.5,118.75,116.25,117.5,605,,
1996-03-28 00:00:00+00:00,117.5,121.25,117.5,121.25,2060,,
1996-03-29 00:00:00+00:00,120.0,122.5,117.5,122.5,1470,,
1996-04-01 00:00:00+00:00,120.0,122.5,112.5,113.75,1545,,
1996-04-02 00:00:00+00:00,112.5,120.0,110.0,118.75,995,,
1996-04-03 00:00:00+00:00,117.5,117.5,116.25,116.25,535,,
1996-04-04 00:00:00+00:00,115.0,121.25,115.0,120.0,1095,,
1996-04-08 00:00:00+00:00,117.5,120.0,115.0,115.0,470,,
1996-04-09 00:00:00+00:00,115.0,116.25,112.5,113.75,330,,
1996-04-10 00:00:00+00:00,115.0,118.75,112.5,112.5,1405,,
1996-04-11 00:00:00+00:00,115.0,115.0,110.0,111.25,570,,
1996-04-12 00:00:00+00:00,110.0,111.25,107.5,110.0,835,,
1996-04-15 00:00:00+00:00,110.0,110.0,105.0,107.5,810,,
1996-04-16 00:00:00+00:00,110.0,112.5,107.5,111.25,755,,
1996-04-17 00:00:00+00:00,108.75,111.25,108.75,111.25,415,,
1996-04-18 00:00:00+00:00,111.25,111.25,108.75,111.25,770,,
