date,AG_Open,AG_High,AG_Low,AG_Close,AG_Volume,AG_Dividends,AG_Stock Splits
2006-11-28 00:00:00+00:00,3.900000095367432,3.900000095367432,3.7300000190734863,3.864982843399048,19800,0.0,
2006-11-29 00:00:00+00:00,3.920000076293945,3.9600000381469727,3.839999914169312,3.884803295135498,58200,0.0,
2006-11-30 00:00:00+00:00,3.940000057220459,3.940000057220459,3.839999914169312,3.9046239852905273,24300,0.0,
2006-12-01 00:00:00+00:00,3.809999942779541,3.950000047683716,3.7799999713897705,3.775790214538574,23000,0.0,
2006-12-04 00:00:00+00:00,3.890000104904175,3.950000047683716,3.799999952316284,3.8550729751586914,86200,0.0,
2006-12-05 00:00:00+00:00,3.7699999809265137,3.869999885559082,3.75,3.736149787902832,40600,0.0,
2006-12-06 00:00:00+00:00,3.690000057220459,3.7699999809265137,3.690000057220459,3.656868696212769,10400,0.0,
2006-12-07 00:00:00+00:00,3.7300000190734863,4.650000095367432,3.650000095367432,3.69650936126709,17200,0.0,
2006-12-08 00:00:00+00:00,3.640000104904175,3.799999952316284,3.609999895095825,3.6073174476623535,20300,0.0,
2006-12-11 00:00:00+00:00,3.690000057220459,3.740000009536743,3.690000057220459,3.656868696212769,900,0.0,
2006-12-12 00:00:00+00:00,3.740000009536743,3.740000009536743,3.740000009536743,3.7064194679260254,3000,0.0,
2006-12-13 00:00:00+00:00,3.7799999713897705,3.849999904632568,3.759999990463257,3.7460601329803462,15500,0.0,
2006-12-14 00:00:00+00:00,3.930000066757202,4.039999961853027,3.910000085830689,3.8947134017944336,4700,0.0,
2006-12-15 00:00:00+00:00,4.0,4.03000020980835,3.900000095367432,3.964085102081299,20000,0.0,
2006-12-18 00:00:00+00:00,3.990000009536743,4.059999942779541,3.9700000286102295,3.954174518585205,20900,0.0,
2006-12-19 00:00:00+00:00,4.0,4.010000228881836,3.910000085830689,3.964085102081299,15600,0.0,
2006-12-20 00:00:00+00:00,3.940000057220459,4.03000020980835,3.940000057220459,3.9046239852905273,9000,0.0,
