date,CJJD_Open,CJJD_High,CJJD_Low,CJJD_Close,CJJD_Volume,CJJD_Dividends,CJJD_Stock Splits
2009-10-01 00:00:00+00:00,849.5999755859375,849.5999755859375,849.5999755859375,849.5999755859375,0,,
2009-10-02 00:00:00+00:00,849.5999755859375,849.5999755859375,849.5999755859375,849.5999755859375,0,,
2009-10-05 00:00:00+00:00,1128.0,1128.0,1128.0,1128.0,0,,
2009-10-06 00:00:00+00:00,1128.0,1128.0,1128.0,1128.0,0,,
2009-10-07 00:00:00+00:00,1128.0,1128.0,1128.0,1128.0,0,,
2009-10-08 00:00:00+00:00,1128.0,1128.0,1128.0,1128.0,0,,
2009-10-09 00:00:00+00:00,1128.0,1128.0,1128.0,1128.0,0,,
2009-10-12 00:00:00+00:00,1128.0,1128.0,1128.0,1128.0,0,,
2009-10-13 00:00:00+00:00,1200.0,1200.0,1200.0,1200.0,1,,
2009-10-14 00:00:00+00:00,1200.0,1200.0,1200.0,1200.0,2,,
2009-10-15 00:00:00+00:00,1224.0,1248.0,1200.0,1248.0,5,,
2009-10-16 00:00:00+00:00,1248.0,1296.0,1248.0,1296.0,1,,
2009-10-19 00:00:00+00:00,1200.0,1200.0,1200.0,1200.0,2,,
2009-10-20 00:00:00+00:00,1200.0,1200.0,1200.0,1200.0,0,,
2009-10-21 00:00:00+00:00,1128.0,1128.0,1128.0,1128.0,1,,
2009-10-22 00:00:00+00:00,1296.0,1296.0,1296.0,1296.0,1,,
2009-10-23 00:00:00+00:00,1296.0,1296.0,1296.0,1296.0,0,,
2009-10-26 00:00:00+00:00,1320.0,1344.0,1320.0,1344.0,4,,
2009-10-27 00:00:00+00:00,1344.0,1344.0,1344.0,1344.0,0,,
2009-10-28 00:00:00+00:00,1344.0,1344.0,1344.0,1344.0,0,,
2009-10-29 00:00:00+00:00,1344.0,1344.0,1344.0,1344.0,0,,
2009-10-30 00:00:00+00:00,1344.0,1344.0,1344.0,1344.0,0,,
2009-11-02 00:00:00+00:00,1344.0,1344.0,1344.0,1344.0,0,,
2009-11-03 00:00:00+00:00,1344.0,1344.0,1344.0,1344.0,0,,
2009-11-04 00:00:00+00:00,1344.0,1344.0,1344.0,1344.0,0,,
2009-11-05 00:00:00+00:00,1344.0,1344.0,1344.0,1344.0,0,,
2009-11-06 00:00:00+00:00,1200.0,1200.0,1132.800048828125,1132.800048828125,4,,
2009-11-09 00:00:00+00:00,1132.800048828125,1132.800048828125,1132.800048828125,1132.800048828125,0,,
2009-11-10 00:00:00+00:00,1132.800048828125,1132.800048828125,1132.800048828125,1132.800048828125,0,,
2009-11-11 00:00:00+00:00,1132.800048828125,1132.800048828125,1132.800048828125,1132.800048828125,0,,
2009-11-12 00:00:00+00:00,1320.0,1344.0,1320.0,1344.0,4,,
2009-11-13 00:00:00+00:00,1272.0,1272.0,1272.0,1272.0,5,,
2009-11-16 00:00:00+00:00,1272.0,1272.0,1272.0,1272.0,0,,
2009-11-17 00:00:00+00:00,1272.0,1272.0,1272.0,1272.0,0,,
2009-11-18 00:00:00+00:00,1272.0,1272.0,1272.0,1272.0,0,,
2009-11-19 00:00:00+00:00,1272.0,1272.0,1272.0,1272.0,0,,
2009-11-20 00:00:00+00:00,1272.0,1272.0,1272.0,1272.0,0,,
2009-11-23 00:00:00+00:00,1272.0,1272.0,1272.0,1272.0,0,,
2009-11-24 00:00:00+00:00,1272.0,1272.0,1272.0,1272.0,0,,
2009-11-25 00:00:00+00:00,1272.0,1272.0,1272.0,1272.0,0,,
2009-11-27 00:00:00+00:00,1272.0,1272.0,1272.0,1272.0,0,,
2009-11-30 00:00:00+00:00,1272.0,1272.0,1272.0,1272.0,0,,
2009-12-01 00:00:00+00:00,1272.0,1272.0,1272.0,1272.0,0,,
2009-12-02 00:00:00+00:00,1272.0,1272.0,1272.0,1272.0,0,,
2009-12-03 00:00:00+00:00,1272.0,1272.0,1200.0,1200.0,2,,
2009-12-04 00:00:00+00:00,1200.0,1200.0,1200.0,1200.0,0,,
2009-12-07 00:00:00+00:00,1200.0,1200.0,1200.0,1200.0,0,,
2009-12-08 00:00:00+00:00,1200.0,1200.0,1200.0,1200.0,0,,
2009-12-09 00:00:00+00:00,1008.0,1008.0,1008.0,1008.0,1,,
2009-12-10 00:00:00+00:00,1008.0,1008.0,1008.0,1008.0,0,,
2009-12-11 00:00:00+00:00,1008.0,1008.0,1008.0,1008.0,0,,
2009-12-14 00:00:00+00:00,1008.0,1008.0,1008.0,1008.0,0,,
2009-12-15 00:00:00+00:00,1008.0,1008.0,1008.0,1008.0,0,,
2009-12-16 00:00:00+00:00,1008.0,1008.0,1008.0,1008.0,0,,
2009-12-17 00:00:00+00:00,1008.0,1008.0,1008.0,1008.0,0,,
2009-12-18 00:00:00+00:00,1008.0,1008.0,1008.0,1008.0,0,,
2009-12-21 00:00:00+00:00,1008.0,1008.0,1008.0,1008.0,0,,
2009-12-22 00:00:00+00:00,1008.0,1008.0,1008.0,1008.0,0,,
2009-12-23 00:00:00+00:00,1008.0,1008.0,1008.0,1008.0,0,,
2009-12-24 00:00:00+00:00,1008.0,1008.0,1008.0,1008.0,0,,
